LAU1	NAME1	NAME2	POP
SFO07	Ботевград	Botevgrad	19594
DOB28	Добрич	Dobrich	86292
KRZ08	Джебел	Dzhebel	3092
HKV29	Симеоновград	Simeonovgrad	6255
PER22	Калище	Kalishte	368
SLS10	Дулово	Dulovo	6412
DOB27	Тервел	Tervel	5810
DOB20	Крушари	Krushari	1261
SLS15	Голеш	Golesh	1517
SFO43	Своге	Svoge	7746
BLG13	Рибново	Ribnovo	2796
SHU07	Ясенково	Yasenkovo	1944
SFO45	Сливница	Slivnitsa	7273
RAZ36	Цар Калоян	Tsar Kaloyan	3455
KRZ15	Крумовград	Krumovgrad	4700
KRZ14	Бенковски	Benkovski	2239
KRZ16	Кърджали	Kardzhali	43031
SFO56	Мирково	Mirkovo	1570
DOB29	Шабла	Shabla	3229
VID30	Ново село	Novo selo	1033
VID33	Дреновец	Drenovets	1251
SFO57	Чавдар	Chavdar	1216
VID37	Горни Лом	Gorni Lom	652
PVN08	Гулянци	Gulyantsi	2990
SHU10	Върбица	Varbitsa	3294
BGS21	Созопол	Sozopol	4370
GAB05	Габрово	Gabrovo	54950
PAZ04	Белово	Belovo	3595
BGS04	Бургас	Burgas	203017
PAZ06	Брацигово	Bratsigovo	3939
BGS06	Средец	Sredets	8859
BGS01	Айтос	Aytos	19462
VRC21	Криводол	Krivodol	2780
PAZ03	Батак	Batak	2981
PDV33	Съединение	Saedinenie	5519
BGS09	Карнобат	Karnobat	17608
VTR31	Стражица	Strazhitsa	4346
VTR32	Сухиндол	Suhindol	1735
HKV11	Ивайловград	Ivaylovgrad	3469
HKV17	Любимец	Lyubimets	7159
HKV19	Караманци	Karamantsi	1289
HKV18	Маджарово	Madzharovo	601
BLG53	Якоруда	Yakoruda	5453
BLG52	Хаджидимово	Hadzhidimovo	2565
VAR14	Девня	Devnya	7930
TGV23	Опака	Opaka	2620
SHU18	Тодор Икономово	Todor Ikonomovo	2260
SFO09	Годеч	Godech	4116
GAB12	Дряново	Dryanovo	7017
SFO54	Антон	Anton	1478
SFO55	Пирдоп	Pirdop	7011
VAR26	Суворово	Suvorovo	4557
SFO59	Долна баня	Dolna banya	4547
KRZ02	Ардино	Ardino	3692
SHU11	Тимарево	Timarevo	905
HKV28	Свиленград	Svilengrad	17882
VID22	Кула	Kula	2821
SHU23	Велики Преслав	Veliki Preslav	7345
VID25	Раковица	Rakovitsa	449
KNL04	Бобов дол	Bobov dol	5270
KNL05	Бобошево	Boboshevo	1207
BGS17	Поморие	Pomorie	13596
JAM07	Елхово	Elhovo	9786
BGS15	Несебър	Nesebar	12275
PDV25	Раковски	Rakovski	14846
BGS13	Царево	Tsarevo	5966
JAM03	Болярово	Bolyarovo	1139
PDV26	Цалапица	Tsalapitsa	3853
PDV28	Болярци	Bolyartsi	2653
BGS18	Руен	Ruen	2351
BLG49	Микрево	Mikrevo	2310
BLG28	Кресна	Kresna	3513
MON24	Лом	Lom	20949
BLG40	Сандански	Sandanski	25279
BLG42	Вълкосел	Valkosel	2446
HKV09	Димитровград	Dimitrovgrad	35504
BLG44	Симитли	Simitli	6534
RAZ29	Самуил	Samuil	1461
PAZ21	Пещера	Peshtera	16337
SFO20	Ихтиман	Ihtiman	12833
SFO25	Костенец	Kostenets	6291
SFO24	Копривщица	Koprivshtitsa	2174
KRZ35	Комунига	Komuniga	1123
SFO26	Костинброд	Kostinbrod	11661
VID16	Арчар	Archar	2293
VID15	Грамада	Gramada	1411
PDV23	Първомай	Parvomay	12533
