GDEKT	NUTS_3	LAU1	NAME1	NAME_DE	NAME_FR	NAME_IT
ZH	CH040	101	Bezirk Affoltern	Bezirk Affoltern	Bezirk Affoltern	Bezirk Affoltern
ZH	CH040	102	Bezirk Andelfingen	Bezirk Andelfingen	Bezirk Andelfingen	Bezirk Andelfingen
ZH	CH040	103	Bezirk Bülach	Bezirk Bülach	Bezirk Bülach	Bezirk Bülach
ZH	CH040	104	Bezirk Dielsdorf	Bezirk Dielsdorf	Bezirk Dielsdorf	Bezirk Dielsdorf
ZH	CH040	105	Bezirk Hinwil	Bezirk Hinwil	Bezirk Hinwil	Bezirk Hinwil
ZH	CH040	106	Bezirk Horgen	Bezirk Horgen	Bezirk Horgen	Bezirk Horgen
ZH	CH040	107	Bezirk Meilen	Bezirk Meilen	Bezirk Meilen	Bezirk Meilen
ZH	CH040	108	Bezirk Pfäffikon	Bezirk Pfäffikon	Bezirk Pfäffikon	Bezirk Pfäffikon
ZH	CH040	109	Bezirk Uster	Bezirk Uster	Bezirk Uster	Bezirk Uster
ZH	CH040	110	Bezirk Winterthur	Bezirk Winterthur	Bezirk Winterthour	Bezirk Winterthur
ZH	CH040	111	Bezirk Dietikon	Bezirk Dietikon	Bezirk Dietikon	Bezirk Dietikon
ZH	CH040	112	Bezirk Zürich	Bezirk Zürich	Bezirk Zurich	Bezirk Zurigo
BE	CH021	241	Arrondissement administratif Jura bernois	Arrondissement administratif Jura bernois	Arrondissement administratif Jura bernois	Arrondissement administratif Jura bernois
BE	CH021	242	Verwaltungskreis Biel/Bienne	Verwaltungskreis Biel (BE)	Verwaltungskreis Bienne	Verwaltungskreis Biel/Bienne
BE	CH021	243	Verwaltungskreis Seeland	Verwaltungskreis Seeland	Verwaltungskreis Seeland	Verwaltungskreis Seeland
BE	CH021	244	Verwaltungskreis Oberaargau	Verwaltungskreis Oberaargau	Verwaltungskreis Oberaargau	Verwaltungskreis Oberaargau
BE	CH021	245	Verwaltungskreis Emmental	Verwaltungskreis Emmental	Verwaltungskreis Emmental	Verwaltungskreis Emmental
BE	CH021	246	Verwaltungskreis Bern-Mittelland	Verwaltungskreis Bern-Mittelland	Verwaltungskreis Berne-Mittelland	Verwaltungskreis Berna-Mittelland
BE	CH021	247	Verwaltungskreis Thun	Verwaltungskreis Thun	Verwaltungskreis Thoune	Verwaltungskreis Thun
BE	CH021	248	Verwaltungskreis Obersimmental-Saanen	Verwaltungskreis Obersimmental-Saanen	Verwaltungskreis Obersimmental-Gessenay	Verwaltungskreis Obersimmental-Saanen
BE	CH021	249	Verwaltungskreis Frutigen-Niedersimmental	Verwaltungskreis Frutigen-Niedersimmental	Verwaltungskreis Frutigen-Niedersimmental	Verwaltungskreis Frutigen-Niedersimmental
BE	CH021	250	Verwaltungskreis Interlaken-Oberhasli	Verwaltungskreis Interlaken-Oberhasli	Verwaltungskreis Interlaken-Oberhasli	Verwaltungskreis Interlaken-Oberhasli
LU	CH061	311	Wahlkreis Luzern-Stadt	Wahlkreis Luzern-Stadt	Wahlkreis Lucerne-Stadt	Wahlkreis Lucerna-Stadt
LU	CH061	312	Wahlkreis Luzern-Land	Wahlkreis Luzern-Land	Wahlkreis Lucerne-Land	Wahlkreis Lucerna-Land
LU	CH061	313	Wahlkreis Hochdorf	Wahlkreis Hochdorf	Wahlkreis Hochdorf	Wahlkreis Hochdorf
LU	CH061	314	Wahlkreis Sursee	Wahlkreis Sursee	Wahlkreis Sursee	Wahlkreis Sursee
LU	CH061	315	Wahlkreis Willisau	Wahlkreis Willisau	Wahlkreis Willisau	Wahlkreis Willisau
LU	CH061	316	Wahlkreis Entlebuch	Wahlkreis Entlebuch	Wahlkreis Entlebuch	Wahlkreis Entlebuch
UR	CH062	400	Kanton Uri	Kanton Uri	Kanton Uri	Kanton Uri
SZ	CH063	501	Bezirk Einsiedeln	Bezirk Einsiedeln	Bezirk Einsiedeln	Bezirk Einsiedeln
SZ	CH063	502	Bezirk Gersau	Bezirk Gersau	Bezirk Gersau	Bezirk Gersau
SZ	CH063	503	Bezirk Höfe	Bezirk Höfe	Bezirk Höfe	Bezirk Höfe
SZ	CH063	504	Bezirk Küssnacht (SZ)	Bezirk Küssnacht (SZ)	Bezirk Küssnacht (SZ)	Bezirk Küssnacht (SZ)
SZ	CH063	505	Bezirk March	Bezirk March	Bezirk March	Bezirk March
SZ	CH063	506	Bezirk Schwyz	Bezirk Schwyz	Bezirk Schwytz	Bezirk Svitto
OW	CH064	600	Kanton Obwalden	Kanton Obwalden	Kanton Obwalden	Kanton Obwalden
NW	CH065	700	Kanton Nidwalden	Kanton Nidwalden	Kanton Nidwalden	Kanton Nidwalden
GL	CH051	800	Kanton Glarus	Kanton Glarus	Kanton Glaris	Kanton Glarona
ZG	CH066	900	Kanton Zug	Kanton Zug	Kanton Zoug	Kanton Zugo
FR	CH022	1001	District de la Broye	District de la Broye	District de la Broye	District de la Broye
FR	CH022	1002	District de la Glâne	District de la Glâne	District de la Glâne	District de la Glâne
FR	CH022	1003	District de la Gruyère	District de la Gruyère	District de la Gruyère	District de la Gruyère
FR	CH022	1004	District de la Sarine	District de la Sarine	District de la Sarine	District de la Sarine
FR	CH022	1005	Bezirk See / District du Lac	Bezirk See / District du Lac	Bezirk See / District du Lac	Bezirk See / District du Lac
FR	CH022	1006	Bezirk Sense	Bezirk Sense	Bezirk Sense	Bezirk Sense
FR	CH022	1007	District de la Veveyse	District de la Veveyse	District de la Veveyse	District de la Veveyse
SO	CH023	1101	Bezirk Gäu	Bezirk Gäu	Bezirk Gäu	Bezirk Gäu
SO	CH023	1102	Bezirk Thal	Bezirk Thal	Bezirk Thal	Bezirk Thal
SO	CH023	1103	Bezirk Bucheggberg	Bezirk Bucheggberg	Bezirk Bucheggberg	Bezirk Bucheggberg
SO	CH023	1104	Bezirk Dorneck	Bezirk Dorneck	Bezirk Dorneck	Bezirk Dorneck
SO	CH023	1105	Bezirk Gösgen	Bezirk Gösgen	Bezirk Gösgen	Bezirk Gösgen
SO	CH023	1106	Bezirk Wasseramt	Bezirk Wasseramt	Bezirk Wasseramt	Bezirk Wasseramt
SO	CH023	1107	Bezirk Lebern	Bezirk Lebern	Bezirk Lebern	Bezirk Lebern
SO	CH023	1108	Bezirk Olten	Bezirk Olten	Bezirk Olten	Bezirk Olten
SO	CH023	1109	Bezirk Solothurn	Bezirk Solothurn	Bezirk Soleure	Bezirk Soletta
SO	CH023	1110	Bezirk Thierstein	Bezirk Thierstein	Bezirk Thierstein	Bezirk Thierstein
