LAU1	NAME1	NAME2	POP
CZ0412	Karlovy Vary	Karlovy Vary	49326
CZ0413	Sokolov	Sokolov	23678
CZ0631	Havlíčkův Brod	Havlíčkův Brod	23234
CZ0513	Liberec	Liberec	103288
CZ0512	Jablonec nad Nisou	Jablonec nad Nisou	45510
CZ0511	Česká Lípa	Česká Lípa	37158
CZ0311	České Budějovice	České Budějovice	93513
CZ0321	Domažlice	Domažlice	11163
CZ0325	Nýřany	Nýřany	7080
CZ0207	Mladá Boleslav	Mladá Boleslav	44199
CZ0206	Mělník	Mělník	19230
CZ0205	Kutná Hora	Kutná Hora	20341
CZ0204	Kolín	Kolín	30995
CZ0203	Kladno	Kladno	68466
CZ0634	Třebíč	Třebíč	36641
CZ0201	Benešov	Benešov	16555
CZ0534	Česká Třebová	Česká Třebová	15710
CZ0635	Žďár nad Sázavou	Žďár nad Sázavou	21335
CZ0531	Chrudim	Chrudim	23061
CZ0641	Blansko	Blansko	20664
CZ0209	Brandýs nad Labem-Stará Boleslav	Brandýs nad Labem-Stará Boleslav	18249
CZ0208	Nymburk	Nymburk	14979
CZ0411	Cheb	Cheb	32355
CZ0645	Hodonín	Hodonín	24796
CZ0647	Znojmo	Znojmo	33787
CZ0632	Jihlava	Jihlava	50714
CZ0633	Pelhřimov	Pelhřimov	16124
CZ0713	Prostějov	Prostějov	43977
CZ0712	Olomouc	Olomouc	100154
CZ0715	Šumperk	Šumperk	26478
CZ0714	Přerov	Přerov	43994
CZ0326	Rokycany	Rokycany	13969
CZ0327	Tachov	Tachov	12609
CZ0533	Svitavy	Svitavy	17005
CZ0422	Chomutov	Chomutov	48710
CZ0100	Praha	Praha	1267449
CZ0532	Pardubice	Pardubice	89638
CZ0644	Břeclav	Břeclav	24941
CZ0423	Litoměřice	Litoměřice	24106
CZ0323	Plzeň	Plzeň	169858
CZ0421	Děčín	Děčín	49739
CZ0427	Ústí nad Labem	Ústí nad Labem	93248
CZ0426	Teplice	Teplice	49959
CZ0425	Most	Most	67002
CZ0424	Žatec	Žatec	19271
CZ0724	Zlín	Zlín	75171
CZ0721	Kroměříž	Kroměříž	29066
CZ0722	Uherské Hradiště	Uherské Hradiště	25254
CZ0723	Vsetín	Vsetín	26394
CZ0514	Turnov	Turnov	14349
CZ0524	Rychnov nad Kněžnou	Rychnov nad Kněžnou	11088
CZ0525	Trutnov	Trutnov	30812
CZ0522	Jičín	Jičín	16394
CZ0523	Náchod	Náchod	20267
CZ0521	Hradec Králové	Hradec Králové	92891
CZ0801	Krnov	Krnov	23992
CZ020C	Rakovník	Rakovník	16081
CZ020B	Příbram	Příbram	33058
CZ020A	Jesenice	Jesenice	8673
CZ0324	Přeštice	Přeštice	7099
CZ0315	Prachatice	Prachatice	11055
CZ0314	Písek	Písek	29838
CZ0317	Tábor	Tábor	34641
CZ0316	Strakonice	Strakonice	22902
CZ0643	Kuřim	Kuřim	11051
CZ0642	Brno	Brno	377028
CZ0313	Jindřichův Hradec	Jindřichův Hradec	21551
CZ0312	Český Krumlov	Český Krumlov	13160
CZ0711	Jeseník	Jeseník	11471
CZ0646	Vyškov	Vyškov	21250
CZ0805	Opava	Opava	57676
CZ0804	Nový Jičín	Nový Jičín	23571
CZ0806	Ostrava	Ostrava	292681
CZ0202	Beroun	Beroun	19207
CZ0322	Klatovy	Klatovy	22415
CZ0803	Havířov	Havířov	74101
CZ0802	Frýdek-Místek	Frýdek-Místek	56879
