LAU1	NAME1	NAME2	POP
092739444	Gdefr. Geb. (Lkr Kelheim)	Gdefr. Geb. (Lkr Kelheim)	0
160645051	Herbsleben	Herbsleben	2904
097795724	Monheim, St	Monheim, St	5029
091815140	Prittriching	Prittriching	2474
091815141	Pürgen	Pürgen	3476
091815142	Vilgertshofen	Vilgertshofen	2600
091815143	Schondorf am Ammersee	Schondorf am Ammersee	3944
091815144	Windach	Windach	3759
095715508	Wilburgstetten	Wilburgstetten	2076
084265009	Schwendi	Schwendi	6520
010595987	Schaalby	Schaalby	1590
145215103	Burkhardtsdorf	Burkhardtsdorf	6210
096755616	Iphofen, St	Iphofen, St	4584
096755617	Albertshofen	Albertshofen	2257
096755614	Wiesentheid, M	Wiesentheid, M	4775
096755615	Kleinlangheim, M	Kleinlangheim, M	1734
096755618	Marktbreit, St	Marktbreit, St	3834
096755619	Volkach, St	Volkach, St	8721
081275008	Rot am See	Rot am See	5305
073395001	Waldalgesheim	Waldalgesheim	4015
073395002	Bodenheim	Bodenheim	7387
033589501	Osterheide, gemfr. Bezirk	Osterheide, gemfr. Bezirk	3564
010535358	Groß Grönau	Groß Grönau	3692
010605063	Boostedt	Boostedt	5326
073395007	Nierstein, Stadt	Nierstein, Stadt	8191
073395008	Sprendlingen	Sprendlingen	4157
097715705	Mering, M	Mering, M	14175
097725709	Langenneufnach	Langenneufnach	1713
160665014	Schwarza	Schwarza	1223
097715704	Dasing	Dasing	5603
071325001	Altenkirchen (Westerwald), Stadt	Altenkirchen (Westerwald), Stadt	6221
160655002	Greußen, Stadt	Greußen, Stadt	3610
071415001	Bad Ems, Stadt	Bad Ems, Stadt	9229
010615179	Wewelsfleth	Wewelsfleth	1374
010595919	Husby	Husby	2296
071325004	Horhausen (Westerwald)	Horhausen (Westerwald)	1882
071415005	Katzenelnbogen, Stadt	Katzenelnbogen, Stadt	2231
071415004	Hahnstätten	Hahnstätten	2955
010595915	Fahrdorf	Fahrdorf	2492
071325008	Wissen, Stadt	Wissen, Stadt	8314
071415009	Braubach, Stadt	Braubach, Stadt	3044
083375004	Ühlingen-Birkendorf	Ühlingen-Birkendorf	5181
010595912	Wanderup	Wanderup	2395
160645053	Vogtei	Vogtei	4398
010625270	Trittau	Trittau	8725
097795722	Deiningen	Deiningen	1824
145245114	Limbach-Oberfrohna, Stadt	Limbach-Oberfrohna, Stadt	24059
160655006	Voigtstedt	Voigtstedt	856
094785446	Hochstadt a.Main	Hochstadt a.Main	1671
146285204	Bad Schandau, Stadt	Bad Schandau, Stadt	3761
094715445	Lisberg	Lisberg	1803
032575401	Bad Eilsen	Bad Eilsen	2480
032575403	Bad Nenndorf, Stadt	Bad Nenndorf, Stadt	10649
032575402	Lindhorst	Lindhorst	4351
032575405	Nienstädt	Nienstädt	4566
032575404	Niedernwöhren	Niedernwöhren	1978
032575407	Hagenburg, Flecken	Hagenburg, Flecken	4494
032575406	Rodenberg, Stadt	Rodenberg, Stadt	6348
091795131	Mammendorf	Mammendorf	4712
091795132	Grafrath	Grafrath	3791
081355003	Sontheim an der Brenz	Sontheim an der Brenz	5412
081355002	Heidenheim an der Brenz, Stadt	Heidenheim an der Brenz, Stadt	48048
081355001	Giengen an der Brenz, Stadt	Giengen an der Brenz, Stadt	19342
091879444	Gdefr. Geb. (Lkr Rosenheim)	Gdefr. Geb. (Lkr Rosenheim)	0
095725510	Lonnerstadt, M	Lonnerstadt, M	1998
097795721	Oettingen i.Bay., St	Oettingen i.Bay., St	5166
130755553	Ducherow	Ducherow	2558
120635302	Friesack, Stadt	Friesack, Stadt	2794
084155001	Engstingen	Engstingen	5213
130755554	Jarmen, Stadt	Jarmen, Stadt	3015
120635309	Rhinow, Stadt	Rhinow, Stadt	1625
097785758	Babenhausen, M	Babenhausen, M	5488
120645410	Neuhardenberg	Neuhardenberg	2715
084155003	Münsingen, Stadt	Münsingen, Stadt	14399
120625211	Gröden	Gröden	1373
120715107	Peitz, Stadt	Peitz, Stadt	4445
094755431	Schauenstein, St	Schauenstein, St	1977
120685807	Temnitztal	Temnitztal	1461
120685805	Neustadt (Dosse), Stadt	Neustadt (Dosse), Stadt	3435
120685804	Lindow (Mark), Stadt	Lindow (Mark), Stadt	2966
150815051	Beetzendorf	Beetzendorf	3236
094755432	Sparneck, M	Sparneck, M	1639
010545417	Sankt Peter-Ording	Sankt Peter-Ording	3968
083165004	Herbolzheim, Stadt	Herbolzheim, Stadt	10738
083165005	Endingen am Kaiserstuhl, Stadt	Endingen am Kaiserstuhl, Stadt	9225
083165006	Waldkirch, Stadt	Waldkirch, Stadt	21561
160715012	Nohra	Nohra	1652
083165001	Denzlingen	Denzlingen	13498
083165002	Elzach, Stadt	Elzach, Stadt	7161
083165003	Emmendingen, Stadt	Emmendingen, Stadt	27383
010585864	Nortorf, Stadt	Nortorf, Stadt	6650
160755050	Neustadt an der Orla, Stadt	Neustadt an der Orla, Stadt	8237
160755051	Remptendorf	Remptendorf	3512
097809444	Gdefr. Geb. (Lkr Oberallgäu)	Gdefr. Geb. (Lkr Oberallgäu)	0
145235125	Reichenbach im Vogtland, Stadt	Reichenbach im Vogtland, Stadt	18680
146275238	Lampertswalde	Lampertswalde	2614
145235120	Netzschkau, Stadt	Netzschkau, Stadt	4041
091739444	Gdefr. Geb. (Lkr Bad Tölz-Wolfratshausen)	Gdefr. Geb. (Lkr Bad Tölz-Wolfratshausen)	0
145235122	Oelsnitz/Vogtl., Stadt	Oelsnitz/Vogtl., Stadt	10492
145235107	Falkenstein/Vogtl., Stadt	Falkenstein/Vogtl., Stadt	8300
082365003	Maulbronn, Stadt	Maulbronn, Stadt	6463
010585895	Hohenwestedt	Hohenwestedt	5229
082365001	Wiernsheim	Wiernsheim	6682
082365007	Neuhausen	Neuhausen	5228
082365006	Neulingen	Neulingen	6815
082365005	Neuenbürg, Stadt	Neuenbürg, Stadt	7903
082365004	Mühlacker, Stadt	Mühlacker, Stadt	25649
010565642	Appen	Appen	4854
160715013	Berlstedt	Berlstedt	1760
083275001	Mühlheim an der Donau, Stadt	Mühlheim an der Donau, Stadt	3577
146285230	Klingenberg	Klingenberg	6843
160655052	Ebeleben, Stadt	Ebeleben, Stadt	2809
160695052	Schleusingen, Stadt	Schleusingen, Stadt	5342
160625006	Harztor	Harztor	6059
146265203	Bad Muskau, Stadt	Bad Muskau, Stadt	3646
160745050	Stadtroda, Stadt	Stadtroda, Stadt	5892
091775125	Hohenpolding	Hohenpolding	1510
083155007	Merzhausen	Merzhausen	5211
083155006	Heitersheim, Stadt	Heitersheim, Stadt	6139
083155005	Gundelfingen	Gundelfingen	11555
083155004	Ehrenkirchen	Ehrenkirchen	7253
083155003	Kirchzarten	Kirchzarten	9898
083155002	Breisach am Rhein, Stadt	Breisach am Rhein, Stadt	15315
083155001	Bad Krozingen, Stadt	Bad Krozingen, Stadt	18692
120605011	Chorin	Chorin	2265
083155009	Bötzingen	Bötzingen	5325
083155008	Hinterzarten	Hinterzarten	2514
073405008	Contwig	Contwig	4832
073405009	Thaleischweiler-Fröschen	Thaleischweiler-Fröschen	3375
150885051	Obhausen	Obhausen	2261
073395003	Gau-Algesheim, Stadt	Gau-Algesheim, Stadt	6762
094775436	Marktleugast, M	Marktleugast, M	3184
033605407	Bad Bevensen, Stadt	Bad Bevensen, Stadt	9060
033605404	Suhlendorf	Suhlendorf	2510
033605405	Suderburg	Suderburg	4549
073405001	Dahn, Stadt	Dahn, Stadt	4595
033605408	Wrestedt	Wrestedt	6541
073405003	Lemberg	Lemberg	3913
073405004	Rodalben, Stadt	Rodalben, Stadt	6952
092775241	Bad Birnbach, M	Bad Birnbach, M	5678
073405006	Waldfischbach-Burgalben	Waldfischbach-Burgalben	4786
073395005	Heidesheim am Rhein	Heidesheim am Rhein	7609
096735637	Fladungen, St	Fladungen, St	2322
096735634	Sulzfeld	Sulzfeld	1661
096735635	Hohenroth	Hohenroth	3458
094775438	Kasendorf, M	Kasendorf, M	2467
073395006	Nieder-Olm, Stadt	Nieder-Olm, Stadt	9790
094765433	Teuschnitz, St	Teuschnitz, St	2020
160775050	Gößnitz, Stadt	Gößnitz, Stadt	3511
092729444	Gdefr. Geb. (Lkr Freyung-Grafenau)	Gdefr. Geb. (Lkr Freyung-Grafenau)	0
094759444	Gdefr. Geb. (Lkr Hof)	Gdefr. Geb. (Lkr Hof)	0
096735638	Hollstadt	Hollstadt	1524
096735639	Ostheim v.d.Rhön, St	Ostheim v.d.Rhön, St	3388
032559502	Eimen, gemfr. Gebiet	Eimen, gemfr. Gebiet	0
032559503	Eschershausen, gemfr. Gebiet	Eschershausen, gemfr. Gebiet	0
