LAU1	NAME1	NAME2	POP
217	Vestervang Sogn		11031
210	Karlebo Sogn		19412
760	Skjern Sogn		8092
766	Hedensted Sogn		8018
661	Holstebro Sogn		11613
219	Præstevang Sogn		7709
492	Marstal Sogn		2961
573	Varde Sogn		14994
540	Christians Sogn		10797
340	Sorø Sogn		5318
400	Rønne Sogn		11393
810	Brønderslev Sogn		12742
813	Abildgård Sogn		8621
665	Lemvig Sogn		4506
671	Struer Sogn		8313
710	Hadsten Sogn		8011
260	Torup Sogn		9547
330	Sankt Peders Sogn		9914
265	Roskilde Domsogn		19427
269	Solrød Sogn		8911
410	Middelfart Sogn		12898
411	Christiansø Sogn		91
530	Grindsted Sogn		10406
825	Byrum Sogn		808
370	Sankt Peders Sogn		9442
820	Aars Sogn		8719
376	Nykøbing F Sogn		16666
706	Ebeltoft-Dråby-Handrup Sogn		8696
707	Grenaa Sogn		13826
190	Farum Sogn		20205
270	Helsinge Sogn		8035
390	Vordingborg Sogn		12633
250	Slangerup Sogn		7341
791	Viborg Domsogn		8385
420	Vissenbjerg Sogn		5799
360	Sankt Nikolai Sogn		8824
580	Aabenraa Sogn		16106
440	Kerteminde-Drigstrup Sogn		6347
306	Nykøbing Sj Sogn		6215
240	Ølstykke Sogn		14948
101	Vesterbro Sogn		44140
851	Vejgaard Sogn		13481
846	Hobro Sogn		10444
787	Thisted Sogn		11881
840	Buderup Sogn		7532
849	Jetsmark Sogn		6310
510	Haderslev Vor Frue Domsogn		13752
430	Ringe Sogn		6867
740	Balle Sogn		11125
621	Kristkirkens Sogn		12500
450	Nyborg Sogn		14598
336	Strøby Sogn		5326
607	Hannerup Sogn		9942
575	Vejen Sogn		9050
259	Herfølge Sogn		12227
253	Kildebrønde Sogn		18081
175	Rødovre Sogn		12506
173	Kongens Lyngby Sogn		13287
746	Skanderborg Sogn		15477
183	Ishøj Sogn		21578
730	Kristrup Sogn		9047
187	Vallensbæk Sogn		15385
185	Skelgårds Sogn		13602
630	Sankt Nikolaj Sogn		11836
751	Christians Sogn		14755
756	Ikast Sogn		10413
561	Sædden Sogn		10534
563	Nordby Sogn		2974
461	Fredens Sogn		14921
316	Sankt Nikolai Sogn		12840
169	Tåstrup Nykirke Sogn		15054
165	Herstedøster Sogn		9671
167	Avedøre Sogn		15771
223	Hørsholm Sogn		12354
161	Glostrup Sogn		22461
163	Lindehøj Sogn		16976
860	Sankt Catharinæ Sogn		13888
727	Odder Sogn		12450
151	Ballerup Sogn		14061
741	Samsø Sogn		3710
153	Brøndby Strand Sogn		14581
155	Store Magleby Sogn		9922
157	Ordrup Sogn		12650
159	Stengård Sogn		12385
550	Tønder Sogn		7901
230	Birkerød Sogn		14462
657	Gjellerup Sogn		8568
320	Haslev Sogn		11866
326	Raklev Sogn		6066
329	Ringsted Sogn		17510
201	Lillerød Sogn		9929
147	Frederiksberg Sogn		16475
773	Nykøbing M Sogn		9077
779	Skive Sogn		10328
615	Klostersogn		12529
482	Rudkøbing Sogn		3985
480	Otterup Sogn		5153
350	Kirke Hvalsø Sogn		4464
479	Vor Frue Sogn		7941
