LAU1	NAME1	NAME2	POP
1304	Δημοτική Κοινότητα Νέων Μουδανιών	Municipal Commune of Nea Moudania	9342
1305	Δημοτική Κοινότητα Νέου Μαρμαρά	Municipal Commune of Neos Marmaras	3352
4301	Δημοτική Κοινότητα Σπαρτιατών	Municipal Commune of Sparti	17408
6104	ΨΕΥΔΟΔΗΜΟΤΙΚΗ ΚΟΙΝΟΤΗΤΑ ΛΕΙΨΩΝ	Municipal Commune of Lipsi (psevdo)	790
1301	Δημοτική Κοινότητα Πολυγύρου	Municipal Commune of Polygyros	7459
1302	Δημοτική Κοινότητα Ιερισσού	Municipal Commune of Ierissos	3455
1303	Δημοτική Κοινότητα Κασσανδρείας	Municipal Commune of Kassandria	3075
6103	ΨΕΥΔΟΔΗΜΟΤΙΚΗ ΚΟΙΝΟΤΗΤΑ ΑΣΤΥΠΑΛΑΙΑΣ	Municipal Commune of Astypalea (psevdo)	1334
7001	Δημοτική Κοινότητα Τήνου	Municipal Commune of Tinos	4864
4005	Δημοτική Κοινότητα Λεωνιδίου	Municipal Commune of Leonidio	3826
5102	Δημοτική Κοινότητα Κερατσινίου	Municipal Commune of Keratsini	77077
6903	ΨΕΥΔΟΔΗΜΟΤΙΚΗ ΚΟΙΝΟΤΗΤΑ ΣΥΜΗΣ	Municipal Commune of Symi (psevdo)	2590
6101	ΨΕΥΔΟΔΗΜΟΤΙΚΗ ΚΟΙΝΟΤΗΤΑ ΚΑΛΥΜΝΙΩΝ	Municipal Commune of Kalymnos (psevdo)	16179
5103	ΨΕΥΔΟΔΗΜΟΤΙΚΗ ΚΟΙΝΟΤΗΤΑ ΚΟΡΥΔΑΛΛΟΥ	Municipal Commune of Korydallos (psevdo)	63445
5502	ΨΕΥΔΟΔΗΜΟΤΙΚΗ ΚΟΙΝΟΤΗΤΑ ΑΓΙΟΥ ΕΥΣΤΡΑΤΙΟΥ	Municipal Commune of Aghios Efstratios (psevdo)	270
5501	Δημοτική Κοινότητα Μυριναίων	Municipal Commune of Myrina	5711
4707	ΨΕΥΔΟΔΗΜΟΤΙΚΗ ΚΟΙΝΟΤΗΤΑ ΧΑΪΔΑΡΙΟΥ	Municipal Commune of Chaidari (psevdo)	46897
4706	ΨΕΥΔΟΔΗΜΟΤΙΚΗ ΚΟΙΝΟΤΗΤΑ ΠΕΤΡΟΥΠΟΛΕΩΣ	Municipal Commune of Petroupoli (psevdo)	58979
4705	ΨΕΥΔΟΔΗΜΟΤΙΚΗ ΚΟΙΝΟΤΗΤΑ ΙΛΙΟΥ	Municipal Commune of Ilio (psevdo)	84793
4704	ΨΕΥΔΟΔΗΜΟΤΙΚΗ ΚΟΙΝΟΤΗΤΑ ΑΙΓΑΛΕΩ	Municipal Commune of Aegaleo (psevdo)	69946
4703	Δημοτική Κοινότητα Αγίων Αναργύρων	Municipal Commune of Aghii Anargyri	34168
4305	Δημοτική Κοινότητα Νεαπόλεως	Municipal Commune of Neapoli	3130
4701	ΨΕΥΔΟΔΗΜΟΤΙΚΗ ΚΟΙΝΟΤΗΤΑ ΠΕΡΙΣΤΕΡΙΟΥ	Municipal Commune of Peristeri (psevdo)	139981
6001	Δημοτική Κοινότητα Εμπορείου	Municipal Commune of Emporio	3085
4901	Δημοτική Κοινότητα Αχαρνών	Municipal Commune of Acharnes	100743
4602	ΨΕΥΔΟΔΗΜΟΤΙΚΗ ΚΟΙΝΟΤΗΤΑ ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ	Municipal Commune of Aghia Paraskevi (psevdo)	59704
4903	Δημοτική Κοινότητα Αγίου Στεφάνου	Municipal Commune of Aghios Stefanos	10015
4304	Δημοτική Κοινότητα Σκάλας	Municipal Commune of Skala	3089
4905	Δημοτική Κοινότητα Κερατέας	Municipal Commune of Keratea	14763
4904	ΨΕΥΔΟΔΗΜΟΤΙΚΗ ΚΟΙΝΟΤΗΤΑ ΚΡΩΠΙΑΣ	Municipal Commune of Koropi (psevdo)	30307
4907	ΨΕΥΔΟΔΗΜΟΤΙΚΗ ΚΟΙΝΟΤΗΤΑ ΜΑΡΚΟΠΟΥΛΟΥ ΜΕΣΟΓΑΙΑΣ	Municipal Commune of Markopoulo Messogheas (psevdo)	20040
