LAU1	NAME1	NAME2	POP
151	Laihia	Laihela	8090
061	Ikaalinen	Ikalis	7207
153	Närpiö	Närpes	9387
152	Vaasa	Vasa	67619
212	Jomala	Jomala	4648
213	Föglö	Föglö	554
071	Lahti	Lahtis	118743
194	Kemijärvi	Kemijärvi	7766
197	Sodankylä	Sodankylä	8782
196	Kittilä	Kittilä	6416
191	Rovaniemi	Rovaniemi	61838
063	Valkeakoski	Valkeakoski	21332
193	Ylitornio	Övertorneå	4291
192	Tornio	Torneå	22199
133	Keuruu	Keuruu	10117
011	Helsinki	Helsingfors	628208
131	Jyväskylä	Jyväskylä	137368
014	Raasepori	Raseborg	28405
015	Porvoo	Borgå	49928
113	Juankoski	Juankoski	4804
134	Jämsä	Jämsä	21542
177	Ylivieska	Ylivieska	15039
176	Nivala	Nivala	10876
175	Haapavesi	Haapavesi	7167
138	Saarijärvi	Saarijärvi	9915
173	Ii	Ii	9663
051	Hämeenlinna	Tavastehus	68011
171	Oulu	Uleåborg	198525
053	Forssa	Forssa	17422
044	Kankaanpää	Kankaanpää	11769
174	Raahe	Brahestad	25165
211	Maarianhamina - Mariehamn	Mariehamn	11461
112	Kuopio	Kuopio	112117
068	Sastamala	Sastamala	25220
182	Kajaani	Kajana	37622
178	Kuusamo	Kuusamo	15688
181	Kuhmo	Kuhmo	8806
162	Kokkola	Karleby	47570
052	Riihimäki	Riihimäki	29269
091	Lappeenranta	Villmanstrand	72875
146	Alajärvi	Alajärvi	10006
144	Alavus	Alavus	12044
093	Imatra	Imatra	27835
142	Seinäjoki	Seinäjoki	61530
064	Tampere	Tammerfors	225118
141	Kauhajoki	Kauhajoki	13875
069	Mänttä-Vilppula	Mänttä-Vilppula	10604
082	Kotka	Kotka	54319
081	Kouvola	Kouvola	85855
025	Loimaa	Loimaa	16467
024	Uusikaupunki	Nystad	15510
122	Joensuu	Joensuu	75514
124	Kitee	Kitee	10832
125	Lieksa	Lieksa	11772
023	Turku	Åbo	185908
022	Salo	Salo	53890
154	Pietarsaari	Jakobstad	19436
103	Savonlinna	Nyslott	35523
016	Loviisa	Lovisa	15311
101	Mikkeli	S:t Michel	54665
043	Pori	Björneborg	85363
161	Kaustinen	Kaustby	4305
041	Rauma	Raumo	39809
105	Pieksämäki	Pieksämäki	18801
115	Suonenjoki	Suonenjoki	7390
021	Parainen	Pargas	15457
132	Joutsa	Joutsa	4688
135	Äänekoski	Äänekoski	19646
114	Varkaus	Varkaus	21638
111	Iisalmi	Idensalmi	21945
