LAU1	NAME1	NAME2	POP
041	Kiskunhalas	Kiskunhalas	27714
098	Hajdúhadház	Hajdúhadház	12724
099	Hajdúnánás	Hajdúnánás	17172
090	Pannonhalma	Pannonhalma	3960
091	Sopron	Sopron	61780
092	Tét	Tét	4020
093	Balmazújváros	Balmazújváros	17448
094	Berettyóújfalu	Berettyóújfalu	15008
095	Debrecen	Debrecen	203506
096	Derecske	Derecske	8734
097	Hajdúböszörmény	Hajdúböszörmény	31224
133	Pilisvörösvár	Pilisvörösvár	13895
132	Nagykőrös	Nagykőrös	23694
131	Nagykáta	Nagykáta	12432
130	Monor	Monor	17853
137	Nagymaros	Nagymaros	4721
136	Szigetszentmiklós	Szigetszentmiklós	35656
135	Szentendre	Szentendre	25542
134	Ráckeve	Ráckeve	9960
149	Csenger	Csenger	4870
138	Vác	Vác	33169
040	Kiskunfélegyháza	Kiskunfélegyháza	29153
999	Budapest	Budapest	1757618
025	Sásd	Sásd	3094
024	Bóly	Bóly	3887
122	Tura	Tura	7694
123	Budaörs	Budaörs	28045
124	Cegléd	Cegléd	35885
125	Dabas	Dabas	16623
126	Dunakeszi	Dunakeszi	41846
127	Érd	Érd	63993
128	Gödöllő	Gödöllő	32720
129	Gyál	Gyál	22920
029	Pécsvárad	Pécsvárad	4026
028	Pécs	Pécs	145985
198	Zalaszentgrót	Zalaszentgrót	6552
195	Letenye	Letenye	4157
194	Lenti	Lenti	7828
197	Zalaegerszeg	Zalaegerszeg	58959
196	Nagykanizsa	Nagykanizsa	48241
191	Veszprém	Veszprém	60761
144	Marcali	Marcali	11541
193	Keszthely	Keszthely	20116
192	Zirc	Zirc	6960
115	Tatabánya	Tatabánya	66791
114	Tata	Tata	23613
038	Kecskemét	Kecskemét	111836
039	Kiskőrös	Kiskőrös	14164
111	Kisbér	Kisbér	5348
110	Esztergom	Esztergom	28102
113	Oroszlány	Oroszlány	18068
112	Komárom	Komárom	18957
032	Szentlőrinc	Szentlőrinc	6465
033	Szigetvár	Szigetvár	10656
030	Sellye	Sellye	2614
031	Siklós	Siklós	9248
119	Diósjenő	Diósjenő	2768
118	Pásztó	Pásztó	9312
034	Bácsalmás	Bácsalmás	6586
035	Baja	Baja	35718
174	Tamási	Tamási	8179
050	Orosháza	Orosháza	28356
172	Paks	Paks	19305
052	Szarvas	Szarvas	16275
053	Szeghalom	Szeghalom	9078
178	Kőszeg	Kőszeg	11702
108	Heves	Heves	10695
109	Recsk	Recsk	2673
148	Baktalórántháza	Baktalórántháza	3987
049	Mezőkovácsháza	Mezőkovácsháza	6141
048	Gyula	Gyula	30658
102	Püspökladány	Püspökladány	14605
103	Bélapátfalva	Bélapátfalva	3041
045	Békés	Békés	19433
101	Nyíradony	Nyíradony	7768
043	Kunszentmiklós	Kunszentmiklós	8334
107	Hatvan	Hatvan	20366
104	Eger	Eger	54609
105	Füzesabony	Füzesabony	7637
139	Vecsés	Vecsés	20463
054	Cigánd	Cigánd	3044
151	Ibrány	Ibrány	6751
150	Fehérgyarmat	Fehérgyarmat	8089
176	Celldömölk	Celldömölk	10927
074	Mórahalom	Mórahalom	5938
047	Gyomaendrőd	Gyomaendrőd	13295
152	Kemecse	Kemecse	4815
058	Kazincbarcika	Kazincbarcika	27487
059	Mezőcsát	Mezőcsát	5882
179	Sárvár	Sárvár	14716
046	Békéscsaba	Békéscsaba	60334
177	Körmend	Körmend	11472
055	Edelény	Edelény	9739
056	Encs	Encs	6402
057	Abaújszántó	Abaújszántó	3062
173	Szekszárd	Szekszárd	33032
051	Sarkad	Sarkad	9911
171	Dombóvár	Dombóvár	18688
170	Bonyhád	Bonyhád	13471
044	Tiszakécske	Tiszakécske	11553
070	Csongrád	Csongrád	16564
106	Gyöngyös	Gyöngyös	30190
175	Tolna	Tolna	11147
071	Hódmezővásárhely	Hódmezővásárhely	44795
042	Kiskunmajsa	Kiskunmajsa	11381
182	Vasvár	Vasvár	4266
183	Ajka	Ajka	28487
180	Szentgotthárd	Szentgotthárd	8867
181	Szombathely	Szombathely	77866
186	Devecser	Devecser	4330
187	Pápa	Pápa	31190
184	Balatonalmádi	Balatonalmádi	8535
185	Balatonfüred	Balatonfüred	13224
188	Sümeg	Sümeg	6189
189	Tapolca	Tapolca	15582
061	Miskolc	Miskolc	159554
060	Mezőkövesd	Mezőkövesd	16394
063	Putnok	Putnok	6718
062	Ózd	Ózd	33493
065	Sátoraljaújhely	Sátoraljaújhely	14956
064	Sárospatak	Sárospatak	12256
067	Szikszó	Szikszó	5410
066	Szerencs	Szerencs	9013
069	Tokaj	Tokaj	4419
068	Tiszaújváros	Tiszaújváros	16168
