LAU1	NAME1	NAME2	POP
3183612	Nisko	Nisko	22422
3183611	Mielec	Mielec	60644
1143006	Grójec	Grójec	25463
5020365	Wałbrzych	Wałbrzych	115453
3183618	Stalowa Wola	Stalowa Wola	62924
2122161	Kraków	Kraków	761069
4305963	Leszno	Leszno	64559
6285608	Kętrzyn	Kętrzyn	27732
6285609	Lidzbark Warmiński	Lidzbark Warmiński	16200
4306264	Poznań	Poznań	542348
6285601	Bartoszyce	Bartoszyce	24196
4326604	Goleniów	Goleniów	35716
4326605	Gryfice	Gryfice	23945
3183361	Krosno	Krosno	46775
4326607	Kamień Pomorski	Kamień Pomorski	14389
5163211	Strzelce Opolskie	Strzelce Opolskie	31040
1101716	Tomaszów Mazowiecki	Tomaszów Mazowiecki	63960
1101712	Radomsko	Radomsko	47070
1101710	Sulejów	Sulejów	16245
3061214	Puławy	Puławy	48650
3061216	Ryki	Ryki	20655
3061211	Łuków	Łuków	30477
3061212	Opole Lubelskie	Opole Lubelskie	17633
6224112	Słupsk	Słupsk	17049
6040717	Wąbrzeźno	Wąbrzeźno	13887
6040712	Rypin	Rypin	16629
3203912	Suwałki	Suwałki	7457
6224207	Kwidzyn	Kwidzyn	38650
6040661	Bydgoszcz	Bydgoszcz	355645
6040663	Toruń	Toruń	202689
6224364	Sopot	Sopot	37231
6224361	Gdańsk	Gdańsk	462249
6224362	Gdynia	Gdynia	247478
4306031	Złotów	Złotów	18440
6285415	Ostróda	Ostróda	33517
6285412	Nowe Miasto Lubawskie	Nowe Miasto Lubawskie	11101
3203909	Sejny	Sejny	5583
6224108	Lębork	Lębork	35388
6224101	Bytów	Bytów	25198
6285461	Elbląg	Elbląg	121642
3061004	Hrubieszów	Hrubieszów	18287
2244863	Chorzów	Chorzów	109757
3061006	Krasnystaw	Krasnystaw	19116
3061003	Chełm	Chełm	14332
3061002	Biłgoraj	Biłgoraj	26826
2244869	Katowice	Katowice	299910
3183321	Lesko	Lesko	11516
4305929	Wolsztyn	Wolsztyn	30400
4326606	Gryfino	Gryfino	32117
4305922	Rawicz	Rawicz	30170
2245108	Mikołów	Mikołów	39923
2244915	Wodzisław Śląski	Wodzisław Śląski	48677
2244911	Racibórz	Racibórz	55492
2244912	Czerwionka-Leszczyny	Czerwionka-Leszczyny	42024
1143005	Grodzisk Mazowiecki	Grodzisk Mazowiecki	45259
4305810	Ślesin	Ślesin	14028
5020319	Świdnica	Świdnica	58377
4081462	Zielona Góra	Zielona Góra	138711
2122404	Dąbrowa Tarnowska	Dąbrowa Tarnowska	21138
2122402	Brzesko	Brzesko	36295
1142730	Szydłowiec	Szydłowiec	19025
1142736	Zwoleń	Zwoleń	15290
4081303	Międzyrzecz	Międzyrzecz	25113
4081301	Kostrzyn nad Odrą	Kostrzyn nad Odrą	18031
4081307	Sulęcin	Sulęcin	16023
4081306	Drezdenko	Drezdenko	17447
4081305	Słubice	Słubice	20009
6040818	Brześć Kujawski	Brześć Kujawski	11580
6040811	Piotrków Kujawski	Piotrków Kujawski	9370
2244461	Bielsko-Biała	Bielsko-Biała	172591
4326418	Łobez	Łobez	14291
4326415	Szczecinek	Szczecinek	40440
4326301	Białogard	Białogard	24437
4326417	Wałcz	Wałcz	25882
1147164	Siedlce	Siedlce	76942
4326410	Dębno	Dębno	20923
4326412	Pyrzyce	Pyrzyce	19667
4326416	Połczyn-Zdrój	Połczyn-Zdrój	15601
4306019	Piła	Piła	74140
2122262	Nowy Sącz	Nowy Sącz	83903
4081412	Wschowa	Wschowa	21579
4081411	Żary	Żary	38287
4081410	Żagań	Żagań	26235
3265205	Końskie	Końskie	36048
3265204	Piekoszów	Piekoszów	16321
3265207	Ostrowiec Świętokrzyski	Ostrowiec Świętokrzyski	70677
2244664	Częstochowa	Częstochowa	228179
6040864	Włocławek	Włocławek	113041
3183462	Przemyśl	Przemyśl	62720
4326562	Szczecin	Szczecin	405657
3183506	Kolbuszowa	Kolbuszowa	24891
2244507	Lubliniec	Lubliniec	24105
1101915	Skierniewice	Skierniewice	7392
1101913	Rawa Mazowiecka	Rawa Mazowiecka	17608
2244766	Gliwice	Gliwice	183392
2245068	Jaworzno	Jaworzno	92847
2245065	Dąbrowa Górnicza	Dąbrowa Górnicza	122712
2122205	Gorlice	Gorlice	28059
2122207	Limanowa	Limanowa	24834
5163102	Głubczyce	Głubczyce	22776
5163101	Brzeg	Brzeg	36469
5163107	Nysa	Nysa	57710
5163106	Namysłów	Namysłów	25749
6285404	Pasłęk	Pasłęk	19590
1142513	Mława	Mława	31030
3183603	Dębica	Dębica	46389
3183608	Nowa Sarzyna	Nowa Sarzyna	21654
4305913	Włoszakowice	Włoszakowice	9324
4305911	Kościan	Kościan	23745
4305915	Nowy Tomyśl	Nowy Tomyśl	26207
4305914	Międzychód	Międzychód	18612
5020216	Polkowice	Polkowice	27387
5020211	Lubin	Lubin	73352
5020302	Dzierżoniów	Dzierżoniów	33946
5163208	Olesno	Olesno	17941
5163209	Ozimek	Ozimek	19786
5163203	Kędzierzyn-Koźle	Kędzierzyn-Koźle	62399
5163204	Kluczbork	Kluczbork	36406
5163205	Krapkowice	Krapkowice	23148
1101762	Piotrków Trybunalski	Piotrków Trybunalski	75183
6040702	Brodnica	Brodnica	28471
6040706	Grudziądz	Grudziądz	12363
6040704	Chełmno	Chełmno	20215
6040705	Golub-Dobrzyń	Golub-Dobrzyń	12849
1143018	Piaseczno	Piaseczno	79741
4305827	Turek	Turek	27743
4305823	Słupca	Słupca	13933
6046719	Żnin	Żnin	24435
6046710	Nakło nad Notecią	Nakło nad Notecią	32289
3203904	Grajewo	Grajewo	22171
3203901	Augustów	Augustów	30400
3203908	Mońki	Mońki	15155
3203862	Łomża	Łomża	62737
3061163	Lublin	Lublin	340727
6224213	Starogard Gdański	Starogard Gdański	48309
6224214	Tczew	Tczew	60052
6224216	Sztum	Sztum	18727
6285506	Giżycko	Giżycko	29726
1101811	Poddębice	Poddębice	15857
1101814	Sieradz	Sieradz	42890
