LAU1	NAME1	NAME2	POP
1304	Rio Tinto	Rio Tinto	50713
1305	União das freguesias de Cristelos, Boim e Ordem	União das freguesias de Cristelos, Boim e Ordem	7411
1306	Cidade da Maia	Cidade da Maia	40134
1307	Marco	Marco	11014
1301	União das freguesias de Amarante (São Gonçalo), Madalena, Cepelos e Gatão	União das freguesias de Amarante (São Gonçalo), Madalena, Cepelos e Gatão	11840
1302	União das freguesias de Campelo e Ovil	União das freguesias de Campelo e Ovil	3938
1303	União das freguesias de Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure	União das freguesias de Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure	17990
1818	União das freguesias de Sernancelhe e Sarzeda	União das freguesias de Sernancelhe e Sarzeda	1713
1308	União das freguesias de São Mamede de Infesta e Senhora da Hora	União das freguesias de São Mamede de Infesta e Senhora da Hora	50869
1309	Paços de Ferreira	Paços de Ferreira	9085
1512	Setúbal (São Sebastião)	Setúbal (São Sebastião)	52542
1815	União das freguesias de São João da Pesqueira e Várzea de Trevões	União das freguesias de São João da Pesqueira e Várzea de Trevões	2380
1610	União das freguesias de Vila Nova de Cerveira e Lovelhe	União das freguesias de Vila Nova de Cerveira e Lovelhe	1875
3103	Santo António	Santo António	27385
4701	Horta (Matriz)	Horta (Matriz)	2562
1404	Alpiarça	Alpiarça	7702
1409	União das freguesias de Coruche, Fajarda e Erra	União das freguesias de Coruche, Fajarda e Erra	11756
1408	Santa Margarida da Coutada	Santa Margarida da Coutada	1788
4301	São Mateus da Calheta	São Mateus da Calheta	3757
0309	Póvoa de Lanhoso (Nossa Senhora do Amparo)	Póvoa de Lanhoso (Nossa Senhora do Amparo)	5048
0308	Creixomil	Creixomil	9641
0307	Fafe	Fafe	15703
0306	União das freguesias de Esposende, Marinhas e Gandra	União das freguesias de Esposende, Marinhas e Gandra	11111
0305	União das freguesias de Britelo, Gémeos e Ourilhe	União das freguesias de Britelo, Gémeos e Ourilhe	3670
0304	União das freguesias de Refojos de Basto, Outeiro e Painzela	União das freguesias de Refojos de Basto, Outeiro e Painzela	6755
0303	Braga (São Vítor)	Braga (São Vítor)	29642
0302	Arcozelo	Arcozelo	12840
0301	União das freguesias de Ferreiros, Prozelo e Besteiros	União das freguesias de Ferreiros, Prozelo e Besteiros	4573
1317	União das freguesias de Mafamude e Vilar do Paraíso	União das freguesias de Mafamude e Vilar do Paraíso	52422
1316	Vila do Conde	Vila do Conde	28636
1315	Ermesinde	Ermesinde	38798
1314	União das freguesias de Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães	União das freguesias de Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães	21538
1313	União das freguesias da Póvoa de Varzim, Beiriz e Argivai	União das freguesias da Póvoa de Varzim, Beiriz e Argivai	34266
1312	Paranhos	Paranhos	44298
1311	Penafiel	Penafiel	15552
1310	Paredes	Paredes	19834
1013	Pedrógão Grande	Pedrógão Grande	2550
