LAU1	NAME1	NAME2	POP
24	Umeå	Umeå	120777
03	Uppsala	Uppsala	210126
13	Halmstad	Halmstad	96952
01	Stockholm	Stockholm	923516
06	Jönköping	Jönköping	133310
07	Växjö	Växjö	88108
04	Eskilstuna	Eskilstuna	102065
05	Linköping	Linköping	152966
19	Västerås	Västerås	145218
18	Örebro	Örebro	144200
08	Kalmar	Kalmar	65704
09	Gotland	Gotland	57391
22	Sundsvall	Sundsvall	97633
21	Gävle	Gävle	98877
23	Östersund	Östersund	61066
12	Malmö	Malmö	322574
17	Karlstad	Karlstad	89245
14	Göteborg	Göteborg	548190
20	Falun	Falun	57062
25	Luleå	Luleå	76088
10	Karlskrona	Karlskrona	65380
