LAU1	NAME1	NAME2	POP
58	Tržič	Tržič	14872
09	Grosuplje	Grosuplje	20059
54	Rogaška Slatina	Rogaška Slatina	10958
51	Slovenske Konjice	Slovenske Konjice	14623
43	Radlje ob Dravi	Radlje ob Dravi	6215
60	Vrhnika	Vrhnika	16848
61	Zagorje ob Savi	Zagorje ob Savi	16650
62	Žalec	Žalec	21306
64	Maribor	Maribor	111832
35	Mozirje	Mozirje	4056
68	Ruše	Ruše	7150
52	Šentjur 	Šentjur 	18990
24	Ljubljana	Ljubljana	288307
03	Celje	Celje	49077
01	Ajdovščina	Ajdovščina	19047
06	Domžale	Domžale	35278
07	Dravograd	Dravograd	8885
22	Lendava	Lendva	10538
05	Črnomelj	Črnomelj	14407
46	Ribnica	Ribnica	9347
47	Sevnica	Sevnica	17510
44	Radovljica	Radovljica	18816
45	Ravne na Koroškem	Ravne na Koroškem	11342
42	Ptuj	Ptuj	23129
29	Ljutomer	Ljutomer	11491
40	Piran	Pirano	17829
41	Postojna	Postojna	16068
59	Velenje	Velenje	32747
02	Brežice	Brežice	24254
56	Trbovlje	Trbovlje	16339
39	Ormož	Ormož	12316
38	Novo mesto	Novo mesto	36503
50	Slovenska Bistrica	Slovenska Bistrica	25413
30	Logatec	Logatec	13752
20	Laško	Laško	13156
14	Jesenice	Jesenice	20858
11	Idrija	Idrija	11927
10	Hrastnik	Hrastnik	9316
13	Izola	Isola	15962
12	Ilirska Bistrica	Ilirska Bistrica	13594
15	Kamnik	Kamnik	29362
04	Cerknica	Cerknica	11402
17	Koper	Capodistria	51045
16	Kočevje	Kočevje	16005
55	Tolmin	Tolmin	11281
18	Kranj	Kranj	56115
57	Trebnje	Trebnje	12354
23	Litija	Litija	15099
37	Nova Gorica	Nova Gorica	31798
36	Murska Sobota	Murska Sobota	18924
53	Škofja Loka	Škofja Loka	22927
34	Metlika	Metlika	8382
19	Krško	Krško	25884
21	Lenart	Lenart	8275
48	Sežana	Sežana	13160
49	Slovenj Gradec	Slovenj Gradec	16720
08	Gornja Radgona	Gornja Radgona	8467
65	Šentilj	Šentilj	8339
