LAU1	NAME1	NAME2	POP
605	Krupina	Krupina	7945
308	Púchov	Púchov	17962
607	Poltár	Poltár	5738
606	Lučenec	Lučenec	28099
601	Banská Bystrica	Banská Bystrica	78758
709	Snina	Snina	20174
603	Brezno	Brezno	21215
602	Banská Štiavnica	Banská Štiavnica	10210
704	Levoča	Levoča	14811
705	Medzilaborce	Medzilaborce	6639
706	Poprad	Poprad	52037
707	Prešov	Prešov	89959
609	Rimavská Sobota	Rimavská Sobota	24217
701	Bardejov	Bardejov	32912
702	Humenné	Humenné	33945
703	Kežmarok	Kežmarok	16558
608	Revúca	Revúca	12466
708	Sabinov	Sabinov	12717
305	Partizánske	Partizánske	23247
613	Žiar nad Hronom	Žiar nad Hronom	19370
304	Nové Mesto nad Váhom	Nové Mesto nad Váhom	20084
508	Ružomberok	Ružomberok	27284
604	Detva	Detva	14887
407	Zlaté Moravce	Zlaté Moravce	11787
406	Topoľčany	Topoľčany	26196
405	Šaľa	Šaľa	22714
404	Nové Zámky	Nové Zámky	38721
403	Nitra	Nitra	77670
402	Levice	Levice	33773
401	Komárno	Komárno	34333
509	Turčianske Teplice	Turčianske Teplice	6504
810	Spišská Nová Ves	Spišská Nová Ves	37594
811	Trebišov	Trebišov	24500
504	Kysucké Nové Mesto	Kysucké Nové Mesto	15324
505	Liptovský Mikuláš	Liptovský Mikuláš	31534
502	Čadca	Čadca	24579
302	Dubnica nad Váhom	Dubnica nad Váhom	24497
501	Bytča	Bytča	11306
201	Dunajská Streda	Dunajská Streda	22652
309	Trenčín	Trenčín	55698
203	Hlohovec	Hlohovec	22079
202	Sereď	Sereď	15923
205	Senica	Senica	20380
204	Piešťany	Piešťany	27855
207	Trnava	Trnava	65596
206	Skalica	Skalica	14806
612	Nová Baňa	Nová Baňa	7480
301	Bánovce nad Bebravou	Bánovce nad Bebravou	18823
610	Veľký Krtíš	Veľký Krtíš	12255
611	Zvolen	Zvolen	42868
713	Vranov nad Topľou	Vranov nad Topľou	22762
712	Svidník	Svidník	11289
711	Stropkov	Stropkov	10713
307	Prievidza	Prievidza	47143
506	Martin	Martin	55687
108	Senec	Senec	18658
306	Považská Bystrica	Považská Bystrica	40373
507	Námestovo	Námestovo	7908
102	Bratislava - mestská časť Ružinov	Bratislava - urban part Ružinov	71443
103	Bratislava - mestská časť Nové Mesto	Bratislava - urban part Nové Mesto	37650
101	Bratislava - mestská časť Staré Mesto	Bratislava - urban part Staré Mesto	39470
106	Malacky	Malacky	17253
107	Pezinok	Pezinok	22467
104	Bratislava - mestská časť Karlova Ves	Bratislava - urban part Karlova Ves	33260
105	Bratislava - mestská časť Petržalka	Bratislava - urban part Petržalka	103935
802	Košice - mestská časť Sídlisko Ťahanovce	Košice - urban part Sídlisko Ťahanovce	22735
803	Košice - mestská časť Západ	Košice - urban part Západ	40325
503	Dolný Kubín	Dolný Kubín	19196
809	Sobrance	Sobrance	6092
808	Rožňava	Rožňava	19397
303	Myjava	Myjava	11953
710	Stará Ľubovňa	Stará Ľubovňa	16347
511	Žilina	Žilina	81114
510	Tvrdošín	Tvrdošín	9252
801	Gelnica	Gelnica	6140
807	Michalovce	Michalovce	39455
806	Moldava nad Bodvou	Moldava nad Bodvou	11260
805	Košice - mestská časť Nad jazerom	Košice - urban part Nad jazerom	25213
804	Košice - mestská časť Dargovských hrdinov	Košice - urban part Dargovských hrdinov	26563
