NAME1	LAU1	NUTS3
Bahçelievler	2005	TR100
Araç	1140	TR821
Kestel	1960	TR411
Sarıyer	1604	TR100
Kocaali	1818	TR422
Yenişehir	9991	TR411
Gemerek	1342	TR722
Ayvacık	1160	TR831
Tekkeköy	1849	TR831
Ardeşen	1146	TR904
Emet	1304	TR333
Beytüşşebap	1189	TRC33
Pınarbaşı	1576	TR721
Siverek	1630	TRC21
Zeytinburnu	1739	TR100
Arıcak	1762	TRB12
Laçin	1972	TR833
Kurtalan	1495	TRC34
Gördes	1362	TR331
Posof	1579	TRA24
Kemer	1959	TR613
Battalgazi	1772	TRB11
Kahta	1425	TRC12
Hafik	1376	TR722
Gerze	1349	TR823
Halfeti	1378	TRC21
Murgul	1828	TR905
Ladik	1501	TR831
Çaykara	1244	TR901
Yalvaç	1717	TR612
Fındıklı	1332	TR904
Kofçaz	1480	TR213
Dicle	1278	TRC22
Niğde	9969	TR713
Dargeçit	1787	TRC31
Çaldıran	1786	TRB21
Çekerek	1245	TR723
Gediz	1339	TR333
Kızılören	1961	TR332
Osmaneli	1559	TR413
Altınova	2019	TR425
Dernekpazarı	1909	TR901
Adilcevaz	1106	TRB23
Kırkağaç	1470	TR331
Araklı	1141	TR901
Gemlik	1343	TR411
Ulus	1701	TR813
Sultandağı	1639	TR332
Senirkent	1615	TR612
Kulp	1490	TRC22
Akçaabat	1113	TR901
Kazımpaşa	9958	TR422
Şişli	1663	TR100
Vakfıkebir	1709	TR901
Kalkandere	1428	TR904
Mazıdağı	1519	TRC31
Samandağ	1591	TR631
Altınözü	1131	TR631
Şemdinli	1656	TRB24
Karapürçek	1955	TR422
Çayeli	1241	TR904
Gürsu	1935	TR411
Gölcük	1355	TR421
Çukurca	1261	TRB24
Uluborlu	1699	TR612
Dereli	1272	TR903
Sincik	1985	TRC12
Ermenek	1316	TR522
Çamaş	1891	TR902
Bergama	1181	TR310
Sarız	1605	TR721
Şarkışla	1650	TR722
Başmakçı	1771	TR332
Manavgat	1512	TR611
İmranlı	1407	TR722
Atakum	2072	TR831
Bahçe	1165	TR633
Narlıdere	2013	TR310
Sarıkamış	1601	TRA22
Karayazı	1444	TRA11
Gevaş	1350	TRB21
Kelkit	1458	TR906
Sarayköy	1597	TR322
Serik	1616	TR611
Kızıltepe	1474	TRC31
Zile	1740	TR832
Karacabey	1434	TR411
Beyağaç	1888	TR322
Acıpayam	1102	TR322
Osmaniye	9971	TR633
Beykoz	1185	TR100
İnebolu	1410	TR821
Mardin	9966	TRC31
Mihalgazi	1973	TR412
Şabanözü	1649	TR822
Diyarbakır	9929	TRC22
Orhangazi	1554	TR411
Termal	2026	TR425
Erzurum	9936	TRA11
Yapraklı	1718	TR822
Sütçüler	1648	TR612
Bursa	9922	TR411
Darende	1265	TRB11
Sason	1607	TRC32
Savur	1609	TRC31
Eceabat	1293	TR222
Vezirköprü	1712	TR831
İhsangazi	1805	TR821
Şirvan	1662	TRC34
Seydiler	1984	TR821
Besni	1182	TRC12
Yıldırım	1859	TR411
Ahırlı	1868	TR521
Olur	1551	TRA11
Hayrabolu	1388	TR211
Yalova	9987	TR425
Ceylanpınar	1220	TRC21
Yenipazar	9990	TR413
Sinanpaşa	1626	TR332
Çerkezköy	1250	TR211
Tunceli	9984	TRB14
Hınıs	1392	TRA11
Fethiye	1331	TR323
Buldan	1214	TR322
Pülümür	1581	TRB14
Canik	2073	TR831
Eflani	1296	TR812
Bozkurt	1889	TR821
Torbalı	1682	TR310
Elazığ	9932	TRB12
Bünyan	1218	TR721
Gölköy	1358	TR902
Kağıthane	1810	TR100
Bozkır	1207	TR521
Göle	1356	TRA24
Domaniç	1288	TR333
Giresun	9939	TR903
Yıldızeli	1731	TR722
Kargamış	9954	TRC11
Karaburun	1432	TR310
Pertek	1574	TRB14
Ezine	1326	TR222
Tonya	1681	TR901
Burdur	9920	TR613
Oğuzlar	1976	TR833
Kaynarca	1453	TR422
Bahçesaray	1770	TRB21
Orta	1555	TR822
Beyşehir	1188	TR521
Derebucak	1789	TR521
Güngören	2010	TR100
Karamürsel	1440	TR421
Konyaaltı	2038	TR611
Ayvalık	1161	TR221
Karamanlı	1813	TR613
Eskil	1921	TR712
Üsküdar	1708	TR100
Beşiktaş	1183	TR100
Afşin	1107	TR632
Pehlivanköy	1572	TR213
Beydağ	1776	TR310
İnhisar	1948	TR413
Sürmene	1647	TR901
Of	1548	TR901
Kırıkkale	9960	TR711
Hanak	1380	TRA24
Hakkari	9942	TRB24
Kıbrıscık	1466	TR424
Demre	1811	TR611
Pınarbaşı	1576	TR821
Yazlık	9988	TR422
Saraydüzü	1981	TR823
İspir	1416	TRA11
Günyüzü	1934	TR412
Sinop	9978	TR823
Mutki	1537	TRB23
Hemşin	1943	TR904
Ünye	1706	TR902
Alaşehir	1127	TR331
Bolu	9919	TR424
Çarşamba	1234	TR831
Gürün	1373	TR722
Oğuzeli	1549	TRC11
Kuşadası	1497	TR321
Gölpazarı	1359	TR413
Foça	1334	TR310
Dikmen	1910	TR823
Koçarlı	1479	TR321
Seben	1610	TR424
Ahlat	1112	TRB23
Doğubayazıt	1287	TRA21
Ilıca	9945	TRA11
Malatya	9964	TRB11
Muğla	9967	TR323
Boztepe	1890	TR715
Güroymak	1798	TRB23
Küre	1499	TR821
