NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP,AREA
AT112,n.a.,10101,no,Eisenstadt,Eisenstadt,14226,42843400
AT112,n.a.,10201,no,Rust,Rust,1911,19989600
AT112,n.a.,10301,no,Breitenbrunn am Neusiedler See,Breitenbrunn am Neusiedler See,1913,25720300
AT112,n.a.,10302,no,Donnerskirchen,Donnerskirchen,1746,33919200
AT112,n.a.,10303,no,Großhöflein,Großhöflein,2067,14249300
AT112,n.a.,10304,no,Hornstein,Hornstein,2914,37035700
AT112,n.a.,10305,no,Klingenbach,Klingenbach,1246,4820300
AT112,n.a.,10306,no,Leithaprodersdorf,Leithaprodersdorf,1187,18937500
AT112,n.a.,10307,no,Mörbisch am See,Mörbisch am See,2272,28011600
AT112,n.a.,10308,no,Müllendorf,Müllendorf,1388,12780100
AT112,n.a.,10309,no,Neufeld an der Leitha,Neufeld an der Leitha,3234,4242200
AT112,n.a.,10310,no,Oggau am Neusiedler See,Oggau am Neusiedler See,1766,52083700
AT112,n.a.,10311,no,Oslip,Oslip,1250,17817300
AT112,n.a.,10312,no,Purbach am Neusiedler See,Purbach am Neusiedler See,2835,45745500
AT112,n.a.,10313,no,Sankt Margarethen im Burgenland,Sankt Margarethen im Burgenland,2661,26514000
AT112,n.a.,10314,no,Schützen am Gebirge,Schützen am Gebirge,1396,21175400
AT112,n.a.,10315,no,Siegendorf,Siegendorf,2950,23036900
AT112,n.a.,10316,no,Steinbrunn,Steinbrunn,2597,15394200
AT112,n.a.,10317,no,Trausdorf an der Wulka,Trausdorf an der Wulka,2036,15422600
AT112,n.a.,10318,no,Wimpassing an der Leitha,Wimpassing an der Leitha,1451,7905300
AT112,n.a.,10319,no,Wulkaprodersdorf,Wulkaprodersdorf,1920,12208900
AT112,n.a.,10320,no,Loretto,Loretto,466,2377800
AT112,n.a.,10321,no,Stotzing,Stotzing,838,12890200
AT112,n.a.,10322,no,Zillingtal,Zillingtal,925,13091100
AT112,n.a.,10323,no,Zagersdorf,Zagersdorf,1008,7293900
AT113,n.a.,10401,no,Bocksdorf,Bocksdorf,796,9984600
AT113,n.a.,10402,no,Burgauberg-Neudauberg,Burgauberg-Neudauberg,1366,10905800
AT113,n.a.,10403,no,Eberau,Eberau,936,30721400
AT113,n.a.,10404,no,Gerersdorf-Sulz,Gerersdorf-Sulz,1003,21615100
AT113,n.a.,10405,no,Güssing,Güssing,3660,49283600
AT113,n.a.,10406,no,Güttenbach,Güttenbach,891,15886500
AT113,n.a.,10407,no,Heiligenbrunn,Heiligenbrunn,810,33491700
AT113,n.a.,10408,no,Kukmirn,Kukmirn,2021,40475000
AT113,n.a.,10409,no,Neuberg im Burgenland,Neuberg im Burgenland,954,17596100
AT113,n.a.,10410,no,Neustift bei Güssing,Neustift bei Güssing,502,11436400
AT113,n.a.,10411,no,Olbendorf,Olbendorf,1477,17366400
AT113,n.a.,10412,no,Ollersdorf im Burgenland,Ollersdorf im Burgenland,980,8850500
AT113,n.a.,10413,no,Sankt Michael im Burgenland,Sankt Michael im Burgenland,997,18363100
AT113,n.a.,10414,no,Stegersbach,Stegersbach,2616,17762100
AT113,n.a.,10415,no,Stinatz,Stinatz,1341,9493300
AT113,n.a.,10416,no,Strem,Strem,919,23762300
AT113,n.a.,10417,no,Tobaj,Tobaj,1423,58102200
AT113,n.a.,10418,no,Hackerberg,Hackerberg,367,3865200
AT113,n.a.,10419,no,Wörterberg,Wörterberg,530,4762200
AT113,n.a.,10420,no,Großmürbisch,Großmürbisch,245,7915200
AT113,n.a.,10421,no,Inzenhof,Inzenhof,341,5969600
AT113,n.a.,10422,no,Kleinmürbisch,Kleinmürbisch,239,4290300
AT113,n.a.,10423,no,Tschanigraben,Tschanigraben,59,1708100
AT113,n.a.,10424,no,Heugraben,Heugraben,204,6468100
AT113,n.a.,10425,no,Rohr im Burgenland,Rohr im Burgenland,393,8372000
AT113,n.a.,10426,no,Bildein,Bildein,338,15903200
AT113,n.a.,10427,no,Rauchwart,Rauchwart,459,17502700
AT113,n.a.,10428,no,Moschendorf,Moschendorf,399,13172500
AT113,n.a.,10501,no,Deutsch Kaltenbrunn,Deutsch Kaltenbrunn,1717,24178900
AT113,n.a.,10502,no,Eltendorf,Eltendorf,946,20570500
AT113,n.a.,10503,no,Heiligenkreuz im Lafnitztal,Heiligenkreuz im Lafnitztal,1244,23768100
AT113,n.a.,10504,no,Jennersdorf,Jennersdorf,4127,37901800
AT113,n.a.,10505,no,Minihof-Liebau,Minihof-Liebau,1092,16258200
AT113,n.a.,10506,no,Mogersdorf,Mogersdorf,1154,12761200
AT113,n.a.,10507,no,Neuhaus am Klausenbach,Neuhaus am Klausenbach,950,19976600
AT113,n.a.,10508,no,Rudersdorf,Rudersdorf,2207,21422900
AT113,n.a.,10509,no,Sankt Martin an der Raab,Sankt Martin an der Raab,2008,42983600
AT113,n.a.,10510,no,Weichselbaum,Weichselbaum,729,12167200
AT113,n.a.,10511,no,Königsdorf,Königsdorf,725,15664900
AT113,n.a.,10512,no,Mühlgraben,Mühlgraben,390,5542500
AT112,n.a.,10601,no,Draßburg,Draßburg,1184,9669500
