NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP,AREA
BE211,n.a.,11001,no,Aartselaar,Aartselaar,14268,10926126
BE211,n.a.,11002,no,Antwerpen ,Anvers,516684,204514194
BE211,n.a.,11004,no,Boechout,Boechout,12849,20655116
BE211,n.a.,11005,no,Boom,Boom,17737,7365385
BE211,n.a.,11007,no,Borsbeek,Borsbeek,10534,3918657
BE211,n.a.,11008,no,Brasschaat,Brasschaat,37668,38494822
BE211,n.a.,11009,no,Brecht,Brecht,28566,90838469
BE211,n.a.,11013,no,Edegem,Edegem,21599,8652220
BE211,n.a.,11016,no,Essen ,Essen ,18604,47482511
BE211,n.a.,11018,no,Hemiksem,Hemiksem,11157,5438191
BE211,n.a.,11021,no,Hove,Hove,8147,5986958
BE211,n.a.,11022,no,Kalmthout ,Kalmthout ,18342,59447386
BE211,n.a.,11023,no,Kapellen,Kapellen,27167,37113055
BE211,n.a.,11024,no,Kontich ,Kontich ,20881,23669000
BE211,n.a.,11025,no,Lint,Lint,8949,5572851
BE211,n.a.,11029,no,Mortsel ,Mortsel ,25581,7784176
BE211,n.a.,11030,no,Niel,Niel,10147,5270786
BE211,n.a.,11035,no,Ranst ,Ranst ,19250,43583746
BE211,n.a.,11037,no,Rumst ,Rumst ,15161,19903814
BE211,n.a.,11038,no,Schelle ,Schelle ,8258,7799064
BE211,n.a.,11039,no,Schilde ,Schilde ,19430,35989363
BE211,n.a.,11040,no,Schoten ,Schoten ,34070,29552113
BE211,n.a.,11044,no,Stabroek,Stabroek,18512,21506498
BE211,n.a.,11050,no,Wijnegem,Wijnegem,9365,7859684
BE211,n.a.,11052,no,Wommelgem ,Wommelgem ,12594,13006528
BE211,n.a.,11053,no,Wuustwezel,Wuustwezel,20221,89426565
BE211,n.a.,11054,no,Zandhoven ,Zandhoven ,12770,40100910
BE211,n.a.,11055,no,Zoersel ,Zoersel ,21782,38650820
BE211,n.a.,11056,no,Zwijndrecht ,Zwijndrecht ,18960,17818636
BE211,n.a.,11057,no,Malle ,Malle ,15164,51985948
BE212,n.a.,12002,no,Berlaar ,Berlaar ,11209,24571878
BE212,n.a.,12005,no,Bonheiden ,Bonheiden ,14720,29266469
BE212,n.a.,12007,no,Bornem,Bornem,21048,45758250
BE212,n.a.,12009,no,Duffel,Duffel,17275,22712439
BE212,n.a.,12014,no,Heist-op-den-Berg ,Heist-op-den-Berg ,42117,86459749
BE212,n.a.,12021,no,Lier,Lierre,34916,49703065
BE212,n.a.,12025,no,Mechelen,Malines ,84494,65187751
BE212,n.a.,12026,no,Nijlen,Nijlen,22657,39091325
BE212,n.a.,12029,no,Putte ,Putte ,17242,34955804
BE212,n.a.,12030,no,Puurs ,Puurs ,17017,33411147
BE212,n.a.,12034,no,Sint-Amands ,Sint-Amands ,8339,15575837
BE212,n.a.,12035,no,Sint-Katelijne-Waver,Sint-Katelijne-Waver,20608,36116313
BE212,n.a.,12040,no,Willebroek,Willebroek,25755,27405375
BE213,n.a.,13001,no,Arendonk,Arendonk,13526,55382004
BE213,n.a.,13002,no,Baarle-Hertog ,Baerle-Duc,2669,7478767
BE213,n.a.,13003,no,Balen ,Balen ,22179,72881801
BE213,n.a.,13004,no,Beerse,Beerse,17835,37479848
BE213,n.a.,13006,no,Dessel,Dessel,9429,27030251
