NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP,AREA
BG413,BLG52,00014,no,Абланица,Ablanitsa,2534,33663000
BG315,LOV18,00028,no,Абланица,Ablanitsa,137,23610000
BG332,DOB20,00031,no,Абрит,Abrit,204,19673000
BG342,SLV11,00045,no,Мокрен,Mokren,852,78701000
BG413,BLG53,00059,no,Аврамово,Avramovo,699,5284000
BG425,KRZ02,00062,no,Аврамово,Avramovo,2,6197000
BG331,VAR01,00084,no,Аврен,Avren,729,58364000
BG425,KRZ15,00093,no,Аврен,Avren,356,35229000
BG322,GAB29,00103,no,Агатово,Agatovo,294,36488000
BG322,GAB35,00117,no,Азманите,Azmanite,7,0
BG425,KRZ14,00120,no,Върбен,Varben,524,5854000
BG413,BLG03,00134,no,Изгрев,Izgrev,566,6306000
BG425,KRZ16,00148,no,Айрово,Ayrovo,605,0
BG341,BGS01,00151,no,Айтос,Aytos,19462,79033000
BG423,PAZ04,00165,no,Аканджиево,Akandzhievo,449,11606000
BG311,VID09,00179,no,Акациево,Akatsievo,67,3486000
BG331,VAR02,00182,no,Аксаково,Aksakovo,7853,18958000
BG424,SML11,00196,no,Аламовци,Alamovtsi,247,18371000
BG425,KRZ08,00206,no,Албанци,Albantsi,3,807000
BG334,TGV35,00215,no,Алваново,Alvanovo,172,14860000
BG412,SFO45,00223,no,Алдомировци,Aldomirovtsi,1332,36582000
BG321,VTR28,00237,no,Алеково,Alekovo,554,34698000
BG325,SLS01,00240,no,Алеково,Alekovo,409,49570000
BG423,PAZ19,00254,no,Алеко Константиново,Aleko Konstantinovo,2729,15864000
BG332,DOB20,00268,no,Александрия,Aleksandria,65,35032000
BG341,BGS17,00271,no,Александрово,Aleksandrovo,100,11093000
BG321,VTR28,00285,no,Александрово,Aleksandrovo,212,11686000
BG315,LOV18,00299,no,Александрово,Aleksandrovo,1443,41690000
BG344,SZR24,00309,no,Александрово,Aleksandrovo,1606,78630000
BG334,TGV35,00312,no,Александрово,Aleksandrovo,240,15469000
BG422,HKV34,00326,no,Александрово,Aleksandrovo,297,21601000
