GDEKT,NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,NAME_2_LAT,NAME_DE,NAME_FR,NAME_IT,GDENAMK,GDEBZNA,GDEKTNA,GDEMUTDAT
ZH,CH040,101,1,Aeugst am Albis,Aeugst am Albis,Aeugst am Albis,Aeugst am Albis,Aeugst am Albis,Bezirk Affoltern,Zürich,11/15/1976
ZH,CH040,101,2,Affoltern am Albis,Affoltern am Albis,Affoltern am Albis,Affoltern am Albis,Affoltern am Albis,Bezirk Affoltern,Zürich,1/1/1960
ZH,CH040,101,3,Bonstetten,Bonstetten,Bonstetten,Bonstetten,Bonstetten,Bezirk Affoltern,Zürich,1/1/1960
ZH,CH040,101,4,Hausen am Albis,Hausen am Albis,Hausen am Albis,Hausen am Albis,Hausen am Albis,Bezirk Affoltern,Zürich,1/1/1960
ZH,CH040,101,5,Hedingen,Hedingen,Hedingen,Hedingen,Hedingen,Bezirk Affoltern,Zürich,1/1/1960
ZH,CH040,101,6,Kappel am Albis,Kappel am Albis,Kappel am Albis,Kappel am Albis,Kappel am Albis,Bezirk Affoltern,Zürich,1/1/1960
ZH,CH040,101,7,Knonau,Knonau,Knonau,Knonau,Knonau,Bezirk Affoltern,Zürich,1/1/1960
ZH,CH040,101,8,Maschwanden,Maschwanden,Maschwanden,Maschwanden,Maschwanden,Bezirk Affoltern,Zürich,1/1/1960
ZH,CH040,101,9,Mettmenstetten,Mettmenstetten,Mettmenstetten,Mettmenstetten,Mettmenstetten,Bezirk Affoltern,Zürich,1/1/1960
ZH,CH040,101,10,Obfelden,Obfelden,Obfelden,Obfelden,Obfelden,Bezirk Affoltern,Zürich,1/1/1960
ZH,CH040,101,11,Ottenbach,Ottenbach,Ottenbach,Ottenbach,Ottenbach,Bezirk Affoltern,Zürich,1/1/1960
ZH,CH040,101,12,Rifferswil,Rifferswil,Rifferswil,Rifferswil,Rifferswil,Bezirk Affoltern,Zürich,1/1/1960
ZH,CH040,101,13,Stallikon,Stallikon,Stallikon,Stallikon,Stallikon,Bezirk Affoltern,Zürich,1/1/1960
ZH,CH040,101,14,Wettswil am Albis,Wettswil am Albis,Wettswil am Albis,Wettswil am Albis,Wettswil am Albis,Bezirk Affoltern,Zürich,11/15/1976
ZH,CH040,102,21,Adlikon,Adlikon,Adlikon,Adlikon,Adlikon,Bezirk Andelfingen,Zürich,1/1/1960
ZH,CH040,102,22,Benken (ZH),Benken (ZH),Benken (ZH),Benken (ZH),Benken (ZH),Bezirk Andelfingen,Zürich,1/1/1960
ZH,CH040,102,23,Berg am Irchel,Berg am Irchel,Berg am Irchel,Berg am Irchel,Berg am Irchel,Bezirk Andelfingen,Zürich,1/1/1960
ZH,CH040,102,24,Buch am Irchel,Buch am Irchel,Buch am Irchel,Buch am Irchel,Buch am Irchel,Bezirk Andelfingen,Zürich,1/1/2013
ZH,CH040,102,25,Dachsen,Dachsen,Dachsen,Dachsen,Dachsen,Bezirk Andelfingen,Zürich,1/1/1960
ZH,CH040,102,26,Dorf,Dorf,Dorf,Dorf,Dorf,Bezirk Andelfingen,Zürich,1/1/1960
ZH,CH040,102,27,Feuerthalen,Feuerthalen,Feuerthalen,Feuerthalen,Feuerthalen,Bezirk Andelfingen,Zürich,1/1/1960
ZH,CH040,102,28,Flaach,Flaach,Flaach,Flaach,Flaach,Bezirk Andelfingen,Zürich,1/1/1960
ZH,CH040,102,29,Flurlingen,Flurlingen,Flurlingen,Flurlingen,Flurlingen,Bezirk Andelfingen,Zürich,1/1/1960
ZH,CH040,102,30,Andelfingen,Andelfingen,Andelfingen,Andelfingen,Andelfingen,Bezirk Andelfingen,Zürich,1/1/1970
ZH,CH040,102,31,Henggart,Henggart,Henggart,Henggart,Henggart,Bezirk Andelfingen,Zürich,1/1/1960
ZH,CH040,102,32,Humlikon,Humlikon,Humlikon,Humlikon,Humlikon,Bezirk Andelfingen,Zürich,1/1/1960
ZH,CH040,102,33,Kleinandelfingen,Kleinandelfingen,Kleinandelfingen,Kleinandelfingen,Kleinandelfingen,Bezirk Andelfingen,Zürich,1/1/1960
ZH,CH040,102,34,Laufen-Uhwiesen,Laufen-Uhwiesen,Laufon-Uhwiesen,Laufen-Uhwiesen,Laufen-Uhwiesen,Bezirk Andelfingen,Zürich,1/1/1960
ZH,CH040,102,35,Marthalen,Marthalen,Marthalen,Marthalen,Marthalen,Bezirk Andelfingen,Zürich,1/1/1960
ZH,CH040,102,36,Oberstammheim,Oberstammheim,Oberstammheim,Oberstammheim,Oberstammheim,Bezirk Andelfingen,Zürich,1/1/1960
ZH,CH040,102,37,Ossingen,Ossingen,Ossingen,Ossingen,Ossingen,Bezirk Andelfingen,Zürich,1/1/1960
ZH,CH040,102,38,Rheinau,Rheinau,Rheinau,Rheinau,Rheinau,Bezirk Andelfingen,Zürich,1/1/1960
ZH,CH040,102,39,Thalheim an der Thur,Thalheim an der Thur,Thalheim an der Thur,Thalheim an der Thur,Thalheim an der Thur,Bezirk Andelfingen,Zürich,1/1/1960
ZH,CH040,102,40,Trüllikon,Trüllikon,Trüllikon,Trüllikon,Trüllikon,Bezirk Andelfingen,Zürich,1/1/1960
ZH,CH040,102,41,Truttikon,Truttikon,Truttikon,Truttikon,Truttikon,Bezirk Andelfingen,Zürich,1/1/1960
ZH,CH040,102,42,Unterstammheim,Unterstammheim,Unterstammheim,Unterstammheim,Unterstammheim,Bezirk Andelfingen,Zürich,1/1/1960
ZH,CH040,102,43,Volken,Volken,Volken,Volken,Volken,Bezirk Andelfingen,Zürich,1/1/1960
ZH,CH040,102,44,Waltalingen,Waltalingen,Waltalingen,Waltalingen,Waltalingen,Bezirk Andelfingen,Zürich,1/1/1960
ZH,CH040,103,51,Bachenbülach,Bachenbülach,Bachenbülach,Bachenbülach,Bachenbülach,Bezirk Bülach,Zürich,1/1/1960
ZH,CH040,103,52,Bassersdorf,Bassersdorf,Bassersdorf,Bassersdorf,Bassersdorf,Bezirk Bülach,Zürich,1/1/1960
ZH,CH040,103,53,Bülach,Bülach,Bülach,Bülach,Bülach,Bezirk Bülach,Zürich,1/1/1960
ZH,CH040,103,54,Dietlikon,Dietlikon,Dietlikon,Dietlikon,Dietlikon,Bezirk Bülach,Zürich,1/1/1960
ZH,CH040,103,55,Eglisau,Eglisau,Eglisau,Eglisau,Eglisau,Bezirk Bülach,Zürich,1/1/1960
