NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP,AREA
CY000,1,1000,no,Λευκωσία,Lefkosia ,n.a.,50629100
CY000,1,1010,no,Άγιος Δομέτιος,Agios Dometios,n.a.,11838200
CY000,1,1011,no,Έγκωμη Λευκωσίας,Egkomi Lefkosias,n.a.,9904840
CY000,1,1012,no,Στρόβολος,Strovolos ,n.a.,24893000
CY000,1,1013,no,Αγλαντζιά ή Αγλαγγιά,Aglantzia or Aglangia,n.a.,31181600
CY000,1,1014,no,Ορτάκιοϊ (Μιντζέλι),Ortakioï (Mintzeli),n.a.,7524350
CY000,1,1015,no,Τράχωνας,Trachonas,n.a.,6281600
CY000,1,1021,no,Λακατάμεια,Lakatameia  ,n.a.,27444000
CY000,1,1022,no,Συνοικισμός Ανθούπολης,Synoikismos Anthoupolis,n.a.,442000
CY000,1,1023,no,Λατσιά ή Λακκιά,Latsia or Lakkia,n.a.,16272000
CY000,1,1024,no,Γέρι,Geri,n.a.,33366200
CY000,1,1100,no,Σιά,Sia,n.a.,17279500
CY000,1,1101,no,Μαθιάτης,Mathiatis,n.a.,21049500
CY000,1,1102,no,Αλάμπρα,Alampra,n.a.,16320100
CY000,1,1103,no,Αγία Βαρβάρα Λευκωσίας,Agia Varvara Lefkosias,n.a.,24240000
CY000,1,1104,no,Κοτσιάτης,Kotsiatis,n.a.,5107490
CY000,1,1105,no,Νήσου,Nisou,n.a.,9557780
CY000,1,1106,no,Πέρα Χωριό,Pera Chorio,n.a.,8279370
CY000,1,1107,no,Δάλι,Dali ,n.a.,31319700
CY000,1,1108,no,Λύμπια,Lympia,n.a.,23003300
CY000,1,1109,no,Λυθροδόντας ,Lythrodontas,n.a.,41963800
CY000,1,1110,no,Λουρουκίνα,Louroukina,n.a.,28905100
CY000,1,1120,no,Ποταμιά,Potamia,n.a.,10990800
CY000,1,1121,no,'Αγιος Σωζόμενος,Agios Sozomenos,n.a.,10987400
CY000,1,1122,no,Πυρόγι,Pyrogi,n.a.,8392020
CY000,1,1123,no,Μαργό,Margo,n.a.,17579900
CY000,1,1124,no,Αγιά (Aγιά Κεπίρ),Agia (Agia Kepir),n.a.,15060800
CY000,1,1125,no,Τύμβου,Tymvou,n.a.,27409400
CY000,1,1130,no,Μόρα,Mora,n.a.,21548300
CY000,1,1131,no,Μια Μηλιά,Mia Milia,n.a.,17116900
CY000,1,1132,no,Μάνδρες Λευκωσίας,Mandres Lefkosias,n.a.,18202300
CY000,1,1133,no,Παλαίκυθρο,Palaikythro,n.a.,19471300
CY000,1,1134,no,'Εξω Μετόχι,Exo Metochi,n.a.,12682100
CY000,1,1135,no,Επιχό,Epicho,n.a.,12443800
CY000,1,1136,no,Βώνη,Voni,n.a.,4662060
CY000,1,1137,no,Τραχώνι Λευκωσίας,Trachoni Lefkosias,n.a.,2877620
CY000,1,1138,no,Νέο Χωριό Λευκωσίας,Neo Chorio Lefkosias,n.a.,17809900
CY000,1,1139,no,Κυθρέα,Kythrea ,n.a.,32783000
CY000,1,1141,no,Μπέϊκιοϊ,Beikioï,n.a.,2135820
CY000,1,1142,no,Πέτρα του Διγενή,Petra tou Digeni,n.a.,4291870
CY000,1,1143,no,Καλυβάκια,Kalyvakia,n.a.,9840960
CY000,1,1144,no,Κουρού Μοναστήρι,Kourou Monastiri,n.a.,3539990
CY000,1,1200,no,Καμπί,Kampi,n.a.,5362150
CY000,1,1201,no,Φαρμακάς,Farmakas,n.a.,16053600
CY000,1,1202,no,Απλίκι,Apliki,n.a.,3753520
CY000,1,1203,no,Λαζανιάς ,Lazanias ,n.a.,41262200
CY000,1,1204,no,Γούρρη,Gourri,n.a.,16924100
CY000,1,1205,no,Φικάρδου ,Fikardou ,n.a.,6630500
CY000,1,1206,no,Άγιος Επιφάνιος Ορεινής,Agios Epifanios Oreinis,n.a.,17359300
CY000,1,1207,no,Καλό Χωριό Ορεινής,Kalo Chorio Oreinis,n.a.,8517490
CY000,1,1208,no,Μαλούντα,Malounta,n.a.,6560020
CY000,1,1209,no,Κλήρου,Klirou,n.a.,18738900
CY000,1,1210,no,Αρεδιού,Arediou,n.a.,11928300
CY000,1,1211,no,Άγιος Ιωάννης Μαλούντας,Agios Ioannis Malountas,n.a.,13936800
CY000,1,1212,no,Αγροκηπιά,Agrokipia,n.a.,9239830
CY000,1,1213,no,Μιτσερό ,Mitsero ,n.a.,24643300
CY000,1,1220,no,Καπέδες,Kapedes,n.a.,20854400
CY000,1,1221,no,Καταλιόντας,Kataliontas,n.a.,4865780
CY000,1,1222,no,Αναλιόντας ,Analiontas ,n.a.,10605800
CY000,1,1223,no,Καμπιά,Kampia,n.a.,12683700
CY000,1,1224,no,Μαργί,Margi,n.a.,9332180
CY000,1,1225,no,Τσέρι,Tseri,n.a.,27050400
CY000,1,1226,no,Πολιτικό ,Politiko ,n.a.,17756900
CY000,1,1227,no,Πέρα,Pera,n.a.,22040900
CY000,1,1228,no,Επισκοπειό,Episkopeio,n.a.,4292810
CY000,1,1229,no,Ψιμολόφου,Psimolofou,n.a.,9296140
CY000,1,1230,no,Εργάτες,Ergates,n.a.,11394900
CY000,1,1231,no,Ανάγεια,Anageia,n.a.,3954800
CY000,1,1232,no,Πάνω Δευτερά,Pano Deftera,n.a.,17441600
CY000,1,1233,no,Κάτω Δευτερά,Kato Deftera,n.a.,7413410
CY000,1,1240,no,Άγιοι Τριμιθιάς,Agioi Trimithias,n.a.,18938000
CY000,1,1241,no,Παλαιομέτοχο,Palaiometocho,n.a.,35115100
CY000,1,1242,no,Δένεια,Deneia,n.a.,13310500
CY000,1,1243,no,Κοκκινοτριμιθιά,Kokkinotrimithia,n.a.,23795900
CY000,1,1244,no,Μάμμαρη,Mammari,n.a.,19542800
CY000,1,1245,no,Γερόλακκος,Gerolakkos,n.a.,45981700
CY000,1,1246,no,Αγία Μαρίνα Σκυλλούρας,Agia Marina Skyllouras,n.a.,20524500
CY000,1,1247,no,Σκυλλούρα,Skylloura,n.a.,18123600
CY000,1,1248,no,Άγιος Βασίλειος,Agios Vasileios,n.a.,14467700
CY000,1,1249,no,Δύο Ποταμοί,Dyo Potamoi,n.a.,5026990
CY000,1,1250,no,Κανλί (Κανλίκιογιου),Kanli (Kanlikiogiou),n.a.,8294840
CY000,1,1251,no,Κιόνελι,Kioneli,n.a.,24681900
CY000,1,1300,no,Παλαιχώρι Μόρφου,Palaichori Morfou,n.a.,16651300
CY000,1,1301,no,Ασκάς,Askas,n.a.,8195890
CY000,1,1302,no,Άλωνα,Alona,n.a.,7793220
CY000,1,1303,no,Φτερικούδι,Fterikoudi,n.a.,13743000
CY000,1,1304,no,Πολύστυπος,Polystypos,n.a.,2490600
CY000,1,1305,no,Λαγουδερά,Lagoudera,n.a.,7938420
