NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP,AREA
CZ072,CZ0724,500011,no,Želechovice nad Dřevnicí,Želechovice nad Dřevnicí,1885,16025787
CZ071,CZ0715,500020,no,Petrov nad Desnou,Petrov nad Desnou,1201,12087013
CZ080,CZ0804,500046,no,Libhošť,Libhošť,1648,8196534
CZ072,CZ0723,500062,no,Krhová,Krhová,1976,8053513
CZ072,CZ0723,500071,no,Poličná,Poličná,1722,11050058
CZ041,CZ0412,500101,01/01/2016,Bražec,Bražec,219,12609347
CZ041,CZ0412,500127,01/01/2016,Doupovské Hradiště,Doupovské Hradiště,151,20879259
CZ071,CZ0712,500135,01/01/2016,Kozlov,Kozlov,273,45762422
CZ071,CZ0714,500151,01/01/2016,Luboměř pod Strážnou,Luboměř pod Strážnou,104,9564198
CZ071,CZ0712,500160,01/01/2016,Město Libavá,Město Libavá,552,29327350
CZ031,CZ0312,500194,01/01/2016,Polná na Šumavě,Polná na Šumavě,183,19161166
CZ080,CZ0804,500259,no,Veřovice,Veřovice,1970,16591526
CZ080,CZ0806,500291,no,Vřesina,Vřesina,2896,8652925
CZ071,CZ0712,500496,no,Olomouc,Olomouc,100154,103334587
CZ071,CZ0712,500526,no,Bělkovice-Lašťany,Bělkovice-Lašťany,2240,15296507
CZ071,CZ0712,500623,no,Bílá Lhota,Bílá Lhota,1130,18217079
CZ071,CZ0712,500801,no,Blatec,Blatec,636,6584764
CZ071,CZ0712,500852,no,Bohuňovice,Bohuňovice,2535,12572855
CZ071,CZ0712,500861,no,Bouzov,Bouzov,1538,42310910
CZ071,CZ0712,500879,no,Bystročice,Bystročice,786,8012363
CZ071,CZ0712,501476,no,Dlouhá Loučka,Dlouhá Loučka,1934,26619089
CZ071,CZ0712,501646,no,Dolany,Dolany,2709,23772411
CZ071,CZ0712,501751,no,Drahanovice,Drahanovice,1688,13530057
CZ071,CZ0712,501794,no,Dub nad Moravou,Dub nad Moravou,1588,15230496
CZ071,CZ0712,501841,no,Grygov,Grygov,1487,12721367
CZ071,CZ0712,502146,no,Hlubočky,Hlubočky,4268,23607486
CZ071,CZ0712,502235,no,Hněvotín,Hněvotín,1778,11726925
CZ071,CZ0712,502405,no,Hnojice,Hnojice,638,9739879
CZ071,CZ0712,502545,no,Horka nad Moravou,Horka nad Moravou,2420,11938325
CZ071,CZ0712,502839,no,Cholina,Cholina,732,8989676
CZ071,CZ0712,503142,no,Jívová,Jívová,575,15278377
CZ071,CZ0712,503304,no,Kožušany-Tážaly,Kožušany-Tážaly,876,6270286
CZ020,CZ0208,503410,no,Žitovlice,Žitovlice,182,6594169
CZ071,CZ0712,503444,no,Litovel,Litovel,9879,46398358
CZ071,CZ0712,503622,no,Luká,Luká,844,14841669
CZ071,CZ0712,503657,no,Lutín,Lutín,3206,8202062
CZ071,CZ0712,503738,no,Majetín,Majetín,1179,9499887
CZ032,CZ0327,503916,no,Kostelec,Kostelec,567,30882243
CZ071,CZ0712,503941,no,Libavá,Libavá,0,235489332
CZ071,CZ0712,504246,no,Mladeč,Mladeč,751,12066515
CZ053,CZ0531,504301,no,Dřenice,Dřenice,377,2546376
CZ071,CZ0712,504441,no,Náklo,Náklo,1538,11459470
CZ071,CZ0712,504505,no,Náměšť na Hané,Náměšť na Hané,2020,18651816
CZ071,CZ0712,504785,no,Paseka,Paseka,1273,22834989
CZ053,CZ0531,504807,no,Lány,Lány,274,4637441
CZ053,CZ0531,504921,no,Třibřichy,Třibřichy,301,4151035
CZ053,CZ0531,504955,no,Dvakačovice,Dvakačovice,172,3629834
CZ053,CZ0531,505005,no,Bítovany,Bítovany,421,3489347
CZ071,CZ0712,505013,no,Příkazy,Příkazy,1305,13968823
CZ053,CZ0531,505030,no,Dolní Bezděkov,Dolní Bezděkov,180,1751068
CZ071,CZ0712,505081,no,Senice na Hané,Senice na Hané,1808,19257405
CZ052,CZ0523,505099,no,Červená Hora,Červená Hora,198,2097970
CZ071,CZ0712,505111,no,Slatinice,Slatinice,1553,7779344
CZ053,CZ0533,505145,no,Březová nad Svitavou,Březová nad Svitavou,1719,12702509
CZ071,CZ0712,505161,no,Štěpánov,Štěpánov,3485,26840549
CZ071,CZ0712,505188,no,Šternberk,Šternberk,13551,48788689
