NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP,AREA
DEF01,n.a.,01001000,no,"Flensburg, Stadt","Flensburg, Stadt",85942,56740000
DEF02,n.a.,01002000,no,"Kiel, Landeshauptstadt","Kiel, Landeshauptstadt",246306,118650000
DEF03,n.a.,01003000,no,"Lübeck, Hansestadt","Lübeck, Hansestadt",216253,214210000
DEF04,n.a.,01004000,no,"Neumünster, Stadt","Neumünster, Stadt",79197,71630000
DEF05,010515175,01051001,no,Albersdorf,Albersdorf,3482,17120000
DEF05,010515175,01051002,no,Arkebek,Arkebek,206,6920000
DEF05,010515163,01051003,no,Averlak,Averlak,584,9070000
DEF05,010515175,01051004,no,Bargenstedt,Bargenstedt,917,11900000
DEF05,010515169,01051005,no,Barkenholm,Barkenholm,168,5110000
DEF05,010515175,01051006,no,Barlt,Barlt,802,22880000
DEF05,010515169,01051008,no,Bergewöhrden,Bergewöhrden,35,2640000
DEF05,010515163,01051010,no,Brickeln,Brickeln,204,6070000
DEF05,n.a.,01051011,no,"Brunsbüttel, Stadt","Brunsbüttel, Stadt",12740,65230000
DEF05,010515163,01051012,no,Buchholz,Buchholz,997,14560000
DEF05,010515178,01051013,no,Büsum,Büsum,4786,8480000
DEF05,010515178,01051014,no,Büsumer Deichhausen,Büsumer Deichhausen,352,2870000
DEF05,010515175,01051015,no,Bunsoh,Bunsoh,782,11750000
DEF05,010515163,01051016,no,Burg (Dithmarschen),Burg (Dithmarschen),4147,11230000
DEF05,010515175,01051017,no,Busenwurth,Busenwurth,305,10090000
DEF05,010515169,01051019,no,Dellstedt,Dellstedt,746,21770000
DEF05,010515169,01051020,no,Delve,Delve,685,15840000
DEF05,010515166,01051021,no,Diekhusen-Fahrstedt,Diekhusen-Fahrstedt,741,7460000
DEF05,010515163,01051022,no,Dingen,Dingen,615,7020000
DEF05,010515169,01051023,no,Dörpling,Dörpling,609,7820000
DEF05,010515163,01051024,no,Eddelak,Eddelak,1360,9210000
DEF05,010515163,01051026,no,Eggstedt,Eggstedt,753,12790000
DEF05,010515175,01051027,no,Elpersbüttel,Elpersbüttel,873,30170000
DEF05,010515175,01051028,no,Epenwöhrden,Epenwöhrden,786,13520000
DEF05,010515169,01051030,no,Fedderingen,Fedderingen,275,9690000
DEF05,010515163,01051032,no,Frestedt,Frestedt,363,10320000
DEF05,010515178,01051033,no,Friedrichsgabekoog,Friedrichsgabekoog,53,8620000
DEF05,010515166,01051034,no,Friedrichskoog,Friedrichskoog,2565,53350000
DEF05,010515169,01051035,no,Gaushorn,Gaushorn,179,6450000
DEF05,010515169,01051036,no,Glüsing,Glüsing,116,4690000
DEF05,010515163,01051037,no,Großenrade,Großenrade,483,10400000
DEF05,010515169,01051038,no,Groven,Groven,87,7900000
DEF05,010515175,01051039,no,Gudendorf,Gudendorf,392,6040000
DEF05,010515178,01051043,no,Hedwigenkoog,Hedwigenkoog,212,16360000
DEF05,n.a.,01051044,no,"Heide, Stadt","Heide, Stadt",21422,31970000
DEF05,010515178,01051045,no,Hellschen-Heringsand-Unterschaar,Hellschen-Heringsand-Unterschaar,182,7020000
DEF05,010515166,01051046,no,Helse,Helse,868,11440000
DEF05,010515169,01051047,no,Hemme,Hemme,514,16530000
DEF05,010515172,01051048,no,Hemmingstedt,Hemmingstedt,2833,16010000
DEF05,010515169,01051049,no,Hennstedt,Hennstedt,1949,21930000
DEF05,010515178,01051050,no,Hillgroven,Hillgroven,71,3600000
DEF05,010515163,01051051,no,Hochdonn,Hochdonn,1147,5460000
DEF05,010515169,01051052,no,Hövede,Hövede,60,2940000
DEF05,010515169,01051053,no,Hollingstedt,Hollingstedt,303,9740000
DEF05,010515175,01051054,no,Immenstedt,Immenstedt,106,3090000
DEF05,010515166,01051057,no,Kaiser-Wilhelm-Koog,Kaiser-Wilhelm-Koog,338,13060000
DEF05,010515169,01051058,no,Karolinenkoog,Karolinenkoog,146,17550000
DEF05,010515169,01051060,no,Kleve,Kleve,427,12810000
DEF05,010515169,01051061,no,Krempel,Krempel,597,4830000
DEF05,010515166,01051062,no,Kronprinzenkoog,Kronprinzenkoog,814,28850000
DEF05,010515175,01051063,no,Krumstedt,Krumstedt,505,15890000
DEF05,010515163,01051064,no,Kuden,Kuden,631,11370000
DEF05,010515169,01051065,no,Lehe,Lehe,1060,18630000
DEF05,010515172,01051067,no,Lieth,Lieth,380,4660000
DEF05,010515169,01051068,no,Linden,Linden,846,11620000
DEF05,010515172,01051069,no,Lohe-Rickelshof,Lohe-Rickelshof,2096,5390000
DEF05,010515169,01051071,no,Lunden,Lunden,1667,4650000
DEF05,010515166,01051072,no,"Marne, Stadt","Marne, Stadt",5690,4830000
DEF05,010515166,01051073,no,Marnerdeich,Marnerdeich,386,1310000
DEF05,010515175,01051074,no,"Meldorf, Stadt","Meldorf, Stadt",7267,21250000
DEF05,010515172,01051075,no,Neuenkirchen,Neuenkirchen,993,25140000
DEF05,010515166,01051076,no,Neufeld,Neufeld,602,10410000
DEF05,010515166,01051077,no,Neufelderkoog,Neufelderkoog,121,9760000
DEF05,010515175,01051078,no,Nindorf,Nindorf,1153,8730000
DEF05,010515178,01051079,no,Norddeich,Norddeich,401,6900000
DEF05,010515169,01051080,no,Norderheistedt,Norderheistedt,150,4330000
DEF05,010515172,01051081,no,Norderwöhrden,Norderwöhrden,291,18470000
DEF05,010515172,01051082,no,Nordhastedt,Nordhastedt,2775,26560000
DEF05,010515175,01051083,no,Odderade,Odderade,324,11260000
DEF05,010515178,01051084,no,Oesterdeichstrich,Oesterdeichstrich,259,4640000
DEF05,010515175,01051085,no,Offenbüttel,Offenbüttel,262,13950000
DEF05,010515175,01051086,no,Osterrade,Osterrade,406,17090000
DEF05,010515172,01051087,no,Ostrohe,Ostrohe,949,6670000
DEF05,010515169,01051088,no,Pahlen,Pahlen,1196,10800000
DEF05,010515163,01051089,no,Quickborn,Quickborn,184,6950000
DEF05,010515166,01051090,no,Ramhusen,Ramhusen,156,4800000
DEF05,010515169,01051092,no,Rehm-Flehde-Bargen,Rehm-Flehde-Bargen,522,14620000
DEF05,010515178,01051093,no,Reinsbüttel,Reinsbüttel,428,6830000
DEF05,010515169,01051096,no,Sankt Annen,Sankt Annen,322,14890000
DEF05,010515163,01051097,no,Sankt Michaelisdonn,Sankt Michaelisdonn,3432,23060000
DEF05,010515175,01051098,no,Sarzbüttel,Sarzbüttel,702,13390000
DEF05,010515175,01051099,no,Schafstedt,Schafstedt,1266,18160000
DEF05,010515169,01051100,no,Schalkholz,Schalkholz,586,12500000
DEF05,010515169,01051102,no,Schlichting,Schlichting,252,12500000
DEF05,010515166,01051103,no,Schmedeswurth,Schmedeswurth,190,5910000
DEF05,010515175,01051104,no,Schrum,Schrum,68,5000000
DEF05,010515178,01051105,no,Schülp,Schülp,414,9270000
DEF05,010515172,01051107,no,Stelle-Wittenwurth,Stelle-Wittenwurth,426,10710000
DEF05,010515178,01051108,no,Strübbel,Strübbel,89,4400000
