NUTS_3,LAU1_NAT_CODE,LAU1_NAME,CHANGE,LAU2_NAT_CODE,NAME_1,NAME_2_LAT,POP,AREA
DK011,101,København,no,7002,Helligånds Sogn,,4793,900000
DK011,101,København,no,7003,Trinitatis Sogn,,3600,600000
DK011,101,København,no,7011,Bethlehem Sogn,,2948,100000
DK011,101,København,no,7024,Valby Sogn,,9191,900000
DK011,101,København,no,7026,Timotheus Sogn,,11237,1200000
DK011,101,København,no,7027,Vigerslev Sogn,,8579,1800000
DK011,101,København,no,7028,Aalholm Sogn,,7953,1300000
DK011,101,København,no,7036,Holmens Sogn,,2868,500000
DK011,101,København,no,7037,Garnisons Sogn,,3120,500000
DK011,101,København,no,7038,Frederiks Sogn,,3297,200000
DK011,101,København,no,7039,Sankt Pauls Sogn,,4050,300000
DK011,101,København,no,7040,Østervold Sogn,,6890,500000
DK011,101,København,no,7041,Kastels Sogn,,6773,1200000
DK011,101,København,no,7043,Rosenvænget Sogn,,15515,500000
DK011,101,København,no,7044,Sankt Jakobs Sogn,,13456,800000
DK011,101,København,no,7046,Hans Egedes Sogn,,7236,1000000
DK011,101,København,no,7050,Anna Sogn,,7505,200000
DK011,101,København,no,7051,Sankt Stefans Sogn,,12721,500000
DK011,101,København,no,7053,Kingo-Samuel Sogn,,21790,1100000
DK011,101,København,no,7054,Aldersro Sogn,,8077,900000
DK011,101,København,no,7055,Kildevælds Sogn,,10646,600000
DK011,101,København,no,7056,Sions Sogn,,9954,2500000
DK011,101,København,no,7057,Hyltebjerg Sogn,,10515,1900000
DK011,101,København,no,7058,Vanløse Sogn,,11801,2100000
DK011,101,København,no,7059,Advents Sogn,,7641,1100000
DK011,101,København,no,7060,Grøndals Sogn,,8984,1100000
DK011,101,København,no,7061,Ansgarkirkens Sogn,,10377,600000
DK011,101,København,no,7062,Kapernaums Sogn,,9854,600000
DK011,101,København,no,7063,Tagensbo Sogn,,7902,400000
DK011,101,København,no,7064,Bispebjerg Sogn,,11331,1800000
DK011,101,København,no,7065,Emdrup Sogn,,4974,1400000
DK011,101,København,no,7066,Lundehus Sogn,,6977,1400000
DK011,101,København,no,7067,Husum Sogn,,10554,2100000
DK011,101,København,no,7068,Brønshøj Sogn,,9098,1700000
DK011,101,København,no,7070,Husumvold Sogn,,9139,2400000
DK011,101,København,no,7080,Islands Brygges Sogn,,15826,3500000
DK011,101,København,no,7081,Christians Sogn,,7408,600000
DK011,101,København,no,7082,Vor Frelsers Sogn,,14638,5500000
DK011,101,København,no,7083,Nathanaels Sogn,,8019,300000
DK011,101,København,no,7084,Sundby Sogn,,17062,1400000
DK011,101,København,no,7085,Allehelgens Sogn,,10401,1100000
DK011,101,København,no,7086,Filips Sogn,,11712,700000
DK011,101,København,no,7087,Sundkirkens Sogn,,7820,1400000
DK011,101,København,no,7088,Højdevangs Sogn,,12740,1900000
DK011,101,København,no,7089,Simon Peters Sogn,,9995,2000000
DK011,101,København,no,7090,Solvang Sogn,,20089,12700000
DK011,147,Frederiksberg,no,7102,Sankt Lukas Sogn,,7146,300000
DK011,147,Frederiksberg,no,7103,Solbjerg Sogn,,9744,800000
DK011,147,Frederiksberg,no,7104,Lindevang Sogn,,14034,1000000
DK011,147,Frederiksberg,no,7105,Flintholm Sogn,,10173,1100000
DK011,147,Frederiksberg,no,7106,Sankt Thomas Sogn,,9271,500000
DK011,147,Frederiksberg,no,7107,Mariendals Sogn,,14299,1000000
DK011,147,Frederiksberg,no,7108,Godthaabs Sogn,,11395,1200000
DK011,147,Frederiksberg,no,7109,Sankt Markus Sogn,,11400,700000
DK012,157,Gentofte,no,7110,Helleruplund Sogn,,6620,2100000
DK012,157,Gentofte,no,7111,Gentofte Sogn,,5776,2200000
DK012,157,Gentofte,no,7112,Jægersborg Sogn,,7762,4200000
DK012,157,Gentofte,no,7113,Vangede Sogn,,10706,4400000
DK012,157,Gentofte,no,7114,Dyssegård Sogn,,9764,2400000
DK012,157,Gentofte,no,7115,Ordrup Sogn,,12650,4300000
DK012,157,Gentofte,no,7116,Skovshoved Sogn,,7582,2800000
DK012,157,Gentofte,no,7117,Hellerup Sogn,,7480,1600000
DK012,157,Gentofte,no,7118,Maglegårds Sogn,,6289,1600000
DK012,173,Lyngby-Taarbæk,no,7119,Kongens Lyngby Sogn,,13287,6900000
DK012,173,Lyngby-Taarbæk,no,7120,Christians Sogn,,9352,2000000
