NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP,AREA
EE008,0084,0105,no,Abja,Abja,2159,290180000
EE001,0037,0112,no,Aegviidu,Aegviidu,709,11950000
EE008,0065,0117,no,Ahja,Ahja,998,72120000
EE007,0044,0122,no,Alajõe,Alajõe,581,108970000
EE008,0078,0126,no,Alatskivi,Alatskivi,1279,128490000
EE006,0051,0129,no,Albu,Albu,1176,257050000
EE006,0051,0134,no,Ambla,Ambla,2013,166600000
EE001,0037,0140,no,Anija,Anija,5474,520970000
EE008,0086,0143,no,Antsla,Antsla,3325,270810000
EE004,0067,0149,no,Are,Are,1279,159910000
EE007,0044,0154,no,Aseri,Aseri,1598,67130000
EE004,0067,0160,no,Audru,Audru,5726,388690000
EE007,0044,0164,no,Avinurme,Avinurme,1267,193610000
EE008,0078,0170,no,Elva,Elva,5679,9910000
EE004,0039,0175,no,Emmaste,Emmaste,1200,199120000
EE008,0086,0181,no,Haanja,Haanja,1084,170830000
EE004,0057,0183,no,Haapsalu,Haapsalu,10146,11090000
EE008,0078,0185,no,Haaslava,Haaslava,1971,109860000
EE004,0067,0188,no,Halinga,Halinga,2871,363330000
EE006,0059,0190,no,Haljala,Haljala,2470,181970000
EE008,0084,0192,no,Halliste,Halliste,1479,266550000
EE004,0057,0195,no,Hanila,Hanila,1428,233870000
EE001,0037,0198,no,Harku,Harku,13456,159020000
EE008,0082,0203,no,Helme,Helme,1985,312820000
EE004,0039,0204,no,Hiiu,Hiiu,4544,387270000
EE008,0082,0208,no,Hummuli,Hummuli,829,162540000
EE004,0067,0213,no,Häädemeeste,Häädemeeste,2522,390540000
EE007,0044,0224,no,Iisaku,Iisaku,1213,257560000
EE007,0044,0229,no,Illuka,Illuka,1000,538090000
EE006,0051,0234,no,Imavere,Imavere,897,139610000
EE006,0070,0240,no,Juuru,Juuru,1429,152440000
EE001,0037,0245,no,Jõelähtme,Jõelähtme,6095,211410000
EE008,0049,0248,no,Jõgeva,Jõgeva,4344,458860000
EE008,0049,0249,no,Jõgeva,Jõgeva,5340,3940000
EE007,0044,0251,no,Jõhvi,Jõhvi,11786,123930000
EE006,0051,0257,no,Järva-Jaani,Järva-Jaani,1554,126720000
EE006,0070,0260,no,Järvakandi,Järvakandi,1256,4850000
EE006,0059,0272,no,Kadrina,Kadrina,4896,353940000
EE006,0070,0277,no,Kaiu,Kaiu,1253,261070000
EE008,0078,0279,no,Kallaste,Kallaste,808,2260000
EE008,0078,0282,no,Kambja,Kambja,2599,188980000
EE008,0065,0285,no,Kanepi,Kanepi,2390,231460000
EE006,0051,0288,no,Kareda,Kareda,582,91660000
EE008,0082,0289,no,Karula,Karula,959,229910000
EE006,0070,0292,no,Kehtna,Kehtna,4405,507100000
EE001,0037,0295,no,Keila,Keila,4681,179520000
EE001,0037,0296,no,Keila,Keila,9577,11220000
EE001,0037,0297,no,Kernu,Kernu,1990,174770000
EE004,0074,0301,no,Kihelkonna,Kihelkonna,750,247750000
EE004,0067,0303,no,Kihnu,Kihnu,682,17330000
EE001,0037,0304,no,Kiili,Kiili,4945,100380000
EE007,0044,0309,no,Kiviõli,Kiviõli,5429,11810000
EE006,0051,0314,no,Koeru,Koeru,2110,236910000
EE006,0070,0317,no,Kohila,Kohila,6770,230110000
EE007,0044,0320,no,Kohtla,Kohtla,1554,101580000
EE007,0044,0322,no,Kohtla-Järve,Kohtla-Järve,35928,41770000
EE007,0044,0323,no,Kohtla-Nõmme,Kohtla-Nõmme,998,4630000
EE006,0051,0325,no,Koigi,Koigi,955,204220000
EE008,0084,0328,no,Kolga-Jaani,Kolga-Jaani,1429,313120000
EE008,0078,0331,no,Konguta,Konguta,1428,107590000
EE004,0067,0334,no,Koonga,Koonga,1051,439660000
EE001,0037,0338,no,Kose,Kose,7066,532850000
EE004,0057,0342,no,Kullamaa,Kullamaa,1111,224530000
EE006,0059,0345,no,Kunda,Kunda,3136,10080000
EE004,0074,0349,no,Kuressaare,Kuressaare,13449,15500000
EE001,0037,0353,no,Kuusalu,Kuusalu,6496,709460000
EE008,0065,0354,no,Kõlleste,Kõlleste,1022,150310000
EE008,0084,0357,no,Kõo,Kõo,1047,149440000
EE008,0084,0360,no,Kõpu,Kõpu,633,258930000
EE004,0039,0368,no,Käina,Käina,2074,188680000
EE006,0070,0375,no,Käru,Käru,609,214910000
EE006,0059,0381,no,Laekvere,Laekvere,1512,352110000
