NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP,AREA
ES211,no,01001,no,Alegría-Dulantzi,Alegría-Dulantzi,,19945872
ES211,no,01002,no,Amurrio,Amurrio,,96352890
ES211,no,01003,no,Aramaio,Aramaio,,73274027
ES211,no,01004,no,Artziniega,Artziniega,,27446805
ES211,no,01006,no,Armiñón,Armiñón,,12944326
ES211,no,01008,no,Arratzua-Ubarrundia,Arratzua-Ubarrundia,,57409889
ES211,no,01009,no,Asparrena,Asparrena,,65181607
ES211,no,01010,no,Ayala,Aiara,,140864560
ES211,no,01011,no,Baños de Ebro,Mañueta,,9459752
ES211,no,01013,no,Barrundia,Barrundia,,97423400
ES211,no,01014,no,Berantevilla,Berantevilla,,35730031
ES211,no,01016,no,Bernedo,Bernedo,,130442902
ES211,no,01017,no,Campezo,Kanpezu,,85360875
ES211,no,01018,no,Zigoitia,Zigoitia,,102069376
ES211,no,01019,no,Kripan,Kripan,,12515990
ES211,no,01020,no,Kuartango,Kuartango,,84034771
ES211,no,01021,no,Elburgo,Burgelu,,32093031
ES211,no,01022,no,Elciego,Elciego,,16323129
ES211,no,01023,no,Elvillar,Bilar,,17502228
ES211,no,01027,no,Iruraiz-Gauna,Iruraiz-Gauna,,47128628
ES211,no,01028,no,Labastida,Bastida,,38169756
ES211,no,01030,no,Lagrán,Lagrán,,45620200
ES211,no,01031,no,Laguardia,Laguardia,,81085140
ES211,no,01032,no,Lanciego,Lantziego,,24196239
ES211,no,01033,no,Lapuebla de Labarca,Lapuebla de Labarca,,5987767
ES211,no,01034,no,Leza,Leza,,9922543
ES211,no,01036,no,Laudio,Llodio,,37446385
ES211,no,01037,no,Arraia-Maeztu,Arraia-Maeztu,,123107942
ES211,no,01039,no,Moreda de Álava,Moreda Araba,,8671106
ES211,no,01041,no,Navaridas,Navaridas,,8916398
ES211,no,01042,no,Okondo,Okondo,,30063286
ES211,no,01043,no,Oyón-Oion,Oyón-Oion,,45177474
ES211,no,01044,no,Peñacerrada-Urizaharra,Peñacerrada-Urizaharra,,62175400
ES211,no,01046,no,Erriberagoitia,Ribera Alta,,119782131
ES211,no,01047,no,Ribera Baja,Erribera Beitia,,25360438
ES211,no,01049,no,Añana,Añana,,21923285
ES211,no,01051,no,Salvatierra,Agurain,,37769884
ES211,no,01052,no,Samaniego,Samaniego,,10637610
ES211,no,01053,no,San Millán,Donemiliaga,,85406985
ES211,no,01054,no,Urkabustaiz,Urkabustaiz,,60848426
ES211,no,01055,no,Valdegovía,Gaubea,,238273360
ES211,no,01056,no,Harana,Valle de Arana,,39121857
ES211,no,01057,no,Villabuena de Álava,Eskuernaga,,8479289
ES211,no,01058,no,Legutio,Legutio,,45853184
ES211,no,01059,no,Vitoria-Gasteiz,Vitoria-Gasteiz,,276812008
ES211,no,01060,no,Yécora,Iekora,,18802483
ES211,no,01061,no,Zalduondo,Zalduondo,,12025417
ES211,no,01062,no,Zambrana,Zambrana,,39506249
ES211,no,01063,no,Zuia,Zuia,,122486671
ES211,no,01901,no,Iruña Oka,Iruña de Oca,,53250072
ES211,no,01902,no,Lantarón,Lantarón,,67489609
ES421,no,02001,no,Abengibre,Abengibre,,30769225
ES421,no,02002,no,Alatoz,Alatoz,,63855135
ES421,no,02003,no,Albacete,Albacete,,1125911148
ES421,no,02004,no,Albatana,Albatana,,30522595
ES421,no,02005,no,Alborea,Alborea,,72051825
ES421,no,02006,no,Alcadozo,Alcadozo,,99582424
ES421,no,02007,no,Alcalá del Júcar,Alcalá del Júcar,,146824446
ES421,no,02008,no,Alcaraz,Alcaraz,,370533125
ES421,no,02009,no,Almansa,Almansa,,531911048
ES421,no,02010,no,Alpera,Alpera,,178472745
ES421,no,02011,no,Ayna,Ayna,,146807662
ES421,no,02012,no,Balazote,Balazote,,65153733
ES421,no,02013,no,Balsa de Ves,Balsa de Ves,,76349273
ES421,no,02014,no,"Ballestero, El","Ballestero, El",,138693693
ES421,no,02015,no,Barrax,Barrax,,189859526
ES421,no,02016,no,Bienservida,Bienservida,,90734370
ES421,no,02017,no,Bogarra,Bogarra,,166014619
ES421,no,02018,no,Bonete,Bonete,,125055260
ES421,no,02019,no,"Bonillo, El","Bonillo, El",,502665074
ES421,no,02020,no,Carcelén,Carcelén,,75363731
ES421,no,02021,no,Casas de Juan Núñez,Casas de Juan Núñez,,88982779
