NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP,AREA
FI194,146,005,no,Alajärvi,Alajärvi,10006,1056740000
FI1D6,177,009,no,Alavieska,Alavieska,2687,253020000
FI194,144,010,no,Alavus,Alavus,12044,1151460000
FI1C3,071,016,no,Asikkala,Asikkala,8287,755550000
FI1B1,015,018,no,Askola,Askola,5104,218030000
FI1C1,025,019,no,Aura,Aura,3986,95580000
FI197,063,020,no,Akaa,Akaa,17043,314390000
FI200,213,035,no,Brändö,Brändö,470,1643060000
FI200,212,043,no,Eckerö,Eckerö,935,752670000
FI1D1,103,046,no,Enonkoski,Enonkoski,1473,419190000
FI1D7,196,047,no,Enontekiö,Enontekis,1861,8391350000
FI1B1,011,049,no,Espoo,Esbo,269802,528030000
FI196,041,050,no,Eura,Eura,12128,630200000
FI196,041,051,no,Eurajoki,Euraåminne,5938,643780000
FI194,146,052,no,Evijärvi,Evijärvi,2576,390710000
FI200,212,060,no,Finström,Finström,2522,172490000
FI1C2,053,061,no,Forssa,Forssa,17422,253390000
FI200,213,062,no,Föglö,Föglö,554,1869070000
FI200,212,065,no,Geta,Geta,500,605980000
FI1D6,176,069,no,Haapajärvi,Haapajärvi,7438,789110000
FI1D6,175,071,no,Haapavesi,Haapavesi,7167,1086110000
FI1D6,171,072,no,Hailuoto,Karlö,993,1082700000
FI1D5,161,074,no,Halsua,Halsua,1225,428340000
FI1C4,082,075,no,Hamina,Fredrikshamn,20851,1155120000
FI200,212,076,no,Hammarland,Hammarland,1537,1224180000
FI193,131,077,no,Hankasalmi,Hankasalmi,5240,687750000
FI1B1,014,078,no,Hanko,Hangö,8864,799990000
FI196,043,079,no,Harjavalta,Harjavalta,7296,127740000
FI1C3,071,081,no,Hartola,Hartola,2982,675380000
FI1C2,051,082,no,Hattula,Hattula,9747,427390000
FI1C2,052,086,no,Hausjärvi,Hausjärvi,8729,398780000
FI1D1,103,090,no,Heinävesi,Heinävesi,3574,1319580000
