NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP,AREA
FR711,0108,01001,,Abergement-Clémenciat,(L'),n.a.,n.a.
FR711,0101,01002,,Abergement-de-Varey,(L'),n.a.,n.a.
FR711,0101,01004,,Ambérieu-en-Bugey,,n.a.,n.a.
FR711,0122,01005,,Ambérieux-en-Dombes,,n.a.,n.a.
FR711,0104,01006,,Ambléon,,n.a.,n.a.
FR711,0101,01007,,Ambronay,,n.a.,n.a.
FR711,0101,01008,,Ambutrix,,n.a.,n.a.
FR711,0104,01009,,Andert-et-Condon,,n.a.,n.a.
FR711,0110,01010,,Anglefort,,n.a.,n.a.
FR711,0114,01011,,Apremont,,n.a.,n.a.
FR711,0110,01012,,Aranc,,n.a.,n.a.
FR711,0101,01013,,Arandas,,n.a.,n.a.
FR711,0115,01014,,Arbent,,n.a.,n.a.
FR711,0104,01015,,Arboys en Bugey,,n.a.,n.a.
FR711,0117,01016,,Arbigny,,n.a.,n.a.
FR711,0101,01017,,Argis,,n.a.,n.a.
FR711,0110,01019,,Armix,,n.a.,n.a.
FR711,0122,01021,,Ars-sur-Formans,,n.a.,n.a.
FR711,0110,01022,,Artemare,,n.a.,n.a.
FR711,0117,01023,,Asnières-sur-Saône,,n.a.,n.a.
FR711,0102,01024,,Attignat,,n.a.,n.a.
FR711,0117,01025,,Bâgé-la-Ville,,n.a.,n.a.
FR711,0117,01026,,Bâgé-le-Châtel,,n.a.,n.a.
FR711,0112,01027,,Balan,,n.a.,n.a.
FR711,0122,01028,,Baneins,,n.a.,n.a.
FR711,0118,01029,,Beaupont,,n.a.,n.a.
FR711,0121,01030,,Beauregard,,n.a.,n.a.
FR711,0114,01031,,Bellignat,,n.a.,n.a.
FR711,0112,01032,,Béligneux,,n.a.,n.a.
FR711,0103,01033,,Bellegarde-sur-Valserine,,n.a.,n.a.
FR711,0104,01034,,Belley,,n.a.,n.a.
FR711,0114,01035,,Belleydoux,,n.a.,n.a.
FR711,0110,01036,,Belmont-Luthézieu,,n.a.,n.a.
FR711,0111,01037,,Bénonces,,n.a.,n.a.
FR711,0118,01038,,Bény,,n.a.,n.a.
FR711,0110,01039,,Béon,,n.a.,n.a.
FR711,0102,01040,,Béréziat,,n.a.,n.a.
FR711,0101,01041,,Bettant,,n.a.,n.a.
FR711,0123,01042,,Bey,,n.a.,n.a.
FR711,0113,01043,,Beynost,,n.a.,n.a.
FR711,0103,01044,,Billiat,,n.a.,n.a.
FR711,0122,01045,,Birieux,,n.a.,n.a.
FR711,0123,01046,,Biziat,,n.a.,n.a.
FR711,0111,01047,,Blyes,,n.a.,n.a.
FR711,0113,01049,,Boisse,(La),n.a.,n.a.
FR711,0117,01050,,Boissey,,n.a.,n.a.
FR711,0116,01051,,Bolozon,,n.a.,n.a.
FR711,0122,01052,,Bouligneux,,n.a.,n.a.
FR711,0199,01053,,Bourg-en-Bresse,,n.a.,n.a.
FR711,0112,01054,,Bourg-Saint-Christophe,,n.a.,n.a.
FR711,0116,01056,,Boyeux-Saint-Jérôme,,n.a.,n.a.
FR711,0117,01057,,Boz,,n.a.,n.a.
FR711,0104,01058,,Brégnier-Cordon,,n.a.,n.a.
FR711,0110,01059,,Brénaz,,n.a.,n.a.
FR711,0110,01060,,Brénod,,n.a.,n.a.
FR711,0104,01061,,Brens,,n.a.,n.a.
FR711,0112,01062,,Bressolles,,n.a.,n.a.
FR711,0114,01063,,Brion,,n.a.,n.a.
FR711,0111,01064,,Briord,,n.a.,n.a.
FR711,0102,01065,,Buellas,,n.a.,n.a.
FR711,0104,01066,,Burbanche,(La),n.a.,n.a.
FR711,0116,01067,,Ceignes,,n.a.,n.a.
FR711,0116,01068,,Cerdon,,n.a.,n.a.
FR711,0107,01069,,Certines,,n.a.,n.a.
