NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP,AREA,
HR04C,,00019,no,Andrijaševci,Andrijaševci,4122,n.a.,
HR04B,,00027,no,Antunovac,Antunovac,3704,n.a.,
HR04C,,00035,no,Babina Greda,Babina Greda,3585,n.a.,
HR031,,00043,no,Bakar,Bakar,1470,n.a.,
HR036,,00051,no,Bale - Valle,Bale - Valle,1129,n.a.,
HR036,,00060,no,Barban,Barban,2715,n.a.,
HR04D,,00078,no,Barilović,Barilović,2938,n.a.,
HR031,,00086,no,Baška,Baška,1668,n.a.,
HR035,,00094,no,Baška Voda,Baška Voda,2728,n.a.,
HR04A,,00108,no,Bebrina,Bebrina,3244,n.a.,
HR043,,00116,no,Bedekovčina,Bedekovčina,8079,n.a.,
HR044,,00124,no,Bednja,Bednja,3977,n.a.,
HR04B,,00132,no,Beli Manastir,Beli Manastir,8034,n.a.,
HR046,,00159,no,Belica,Belica,3189,n.a.,
HR04B,,00167,no,Belišće,Belišće,6493,n.a.,
HR033,,00175,no,Benkovac,Benkovac,2863,n.a.,
HR047,,00183,no,Berek,Berek,1448,n.a.,
HR044,,00191,no,Beretinec,Beretinec,2179,n.a.,
HR033,,00205,no,Bibinje,Bibinje,4019,n.a.,
HR04B,,00213,no,Bilje,Bilje,5657,n.a.,
HR033,,00221,no,Biograd Na Moru,Biograd Na Moru,5495,n.a.,
HR04B,,00230,no,Bizovac,Bizovac,4502,n.a.,
HR047,,00248,no,Bjelovar,Bjelovar,40443,n.a.,
HR037,,00256,no,Blato,Blato,3583,n.a.,
HR04C,,00264,no,Bogdanovci,Bogdanovci,1957,n.a.,
HR035,,00272,no,Bol,Bol,1645,n.a.,
HR04C,,00299,no,Borovo,Borovo,5133,n.a.,
HR04D,,00302,no,Bosiljevo,Bosiljevo,1289,n.a.,
HR04C,,00329,no,Bošnjaci,Bošnjaci,3869,n.a.,
HR042,,00337,no,Brckovljani,Brckovljani,6857,n.a.,
HR042,,00345,no,Brdovec,Brdovec,11143,n.a.,
HR049,,00353,no,Brestovac,Brestovac,3752,n.a.,
HR044,,00361,no,Breznica,Breznica,2200,n.a.,
HR032,,00370,no,Brinje,Brinje,3261,n.a.,
HR031,,00388,no,Brod Moravice,Brod Moravice,865,n.a.,
HR04A,,00396,no,Brodski Stupnik,Brodski Stupnik,3033,n.a.,
HR036,,00400,no,Brtonigla - Verteneglio,Brtonigla - Verteneglio,1607,n.a.,
HR043,,00418,no,Budinščina,Budinščina,2520,n.a.,
HR036,,00434,no,Buzet,Buzet,1666,n.a.,
HR04C,,00442,no,Cerna,Cerna,4616,n.a.,
HR04A,,00469,no,Cernik,Cernik,3621,n.a.,
HR036,,00477,no,Cerovlje,Cerovlje,1671,n.a.,
HR044,,00485,no,Cestica,Cestica,5811,n.a.,
HR04D,,00493,no,Cetingrad,Cetingrad,2027,n.a.,
HR035,,00507,no,Cista Provo,Cista Provo,2377,n.a.,
HR034,,00515,no,Civljane,Civljane,240,n.a.,
HR031,,00523,no,Cres,Cres,2281,n.a.,
HR031,,00531,no,Crikvenica,Crikvenica,6880,n.a.,
HR048,,00540,no,Crnac,Crnac,1467,n.a.,
HR031,,00558,no,Čabar,Čabar,414,n.a.,
HR048,,00566,no,Čačinci,Čačinci,2775,n.a.,
HR048,,00574,no,Čađavica,Čađavica,1997,n.a.,
HR049,,00582,no,Čaglin,Čaglin,2691,n.a.,
HR046,,00604,no,Čakovec,Čakovec,15185,n.a.,
HR031,,00612,no,Čavle,Čavle,7215,n.a.,
HR047,,00639,no,Čazma,Čazma,8095,n.a.,
HR04B,,00647,no,Čeminac,Čeminac,2903,n.a.,
HR04B,,00655,no,Čepin,Čepin,11571,n.a.,
HR04B,,00663,no,Darda,Darda,6934,n.a.,
HR047,,00671,no,Daruvar,Daruvar,11612,n.a.,
HR04A,,00680,no,Davor,Davor,3004,n.a.,
HR031,,00698,no,Delnice,Delnice,4351,n.a.,
HR043,,00701,no,Desinić,Desinić,2915,n.a.,
HR047,,00710,no,Dežanovac,Dežanovac,2671,n.a.,
HR035,,00728,no,Dicmo,Dicmo,2820,n.a.,
HR031,,00744,no,Dobrinj,Dobrinj,2023,n.a.,
HR046,,00752,no,Domašinec,Domašinec,2264,n.a.,
HR035,,00779,no,Brela,Brela,1643,n.a.,
HR046,,00787,no,Donja Dubrava,Donja Dubrava,1932,n.a.,
HR043,,00795,no,Donja Stubica,Donja Stubica,2202,n.a.,
HR044,,00809,no,Donja Voća,Donja Voća,2455,n.a.,
