NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP,AREA,,,,,,,,,,,,,,,,,DEGURBA,COASTAL,URAU_CITY_ID,URAU_CITY_NAME,URAU_KERNEL_ID,URAU_KERNEL_NAME,URAU_FUA_ID,URAU_FUA_NAME,GRD_POPL,URB_CLST_GRD_POPL,HDENS_CLST_GRD_POPL
IE024,01,01001,no,Carlow Urban,Carlow Urban,n.a,156000,,,,,,,,,,,,,,,,,2,,,,,,,,,,
IE024,01,01002,no,Graigue Urban,Graigue Urban,n.a,52000,,,,,,,,,,,,,,,,,2,,,,,,,,,,
IE024,01,01003,no,Clonmore,Clonmore,n.a,2814000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01004,no,Hacketstown,Hacketstown,n.a,2206000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01005,no,Haroldstown,Haroldstown,n.a,1153000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01006,no,Kineagh,Kineagh,n.a,1803000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01007,no,Rahill,Rahill,n.a,1642000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01008,no,Rathvilly,Rathvilly,n.a,1272000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01009,no,Tiknock,Tiknock,n.a,1075000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01010,no,Williamstown,Williamstown,n.a,1553000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01011,no,Agha,Agha,n.a,1232000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01012,no,Ballinacarrig,Ballinacarrig,n.a,1614000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01013,no,Ballintemple,Ballintemple,n.a,2834000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01014,no,Ballon,Ballon,n.a,980000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01015,no,Ballyellin,Ballyellin,n.a,1579000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01016,no,Ballymoon,Ballymoon,n.a,1410000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01017,no,Borris,Borris,n.a,1608000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01018,no,Burton Hall,Burton Hall,n.a,610000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01019,no,Carlow Rural,Carlow Rural,n.a,2252000,,,,,,,,,,,,,,,,,2,,,,,,,,,,
IE024,01,01020,no,Clogrenan,Clogrenan,n.a,1777000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01021,no,Clonegall,Clonegall,n.a,2336000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01022,no,Corries,Corries,n.a,1762000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01023,no,Cranemore,Cranemore,n.a,3655000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01024,no,Fennagh,Fennagh,n.a,1896000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01025,no,Garryhill,Garryhill,n.a,2385000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01026,no,Grangeford,Grangeford,n.a,1416000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01027,no,Johnstown,Johnstown,n.a,1559000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01028,no,Kellistown,Kellistown,n.a,2001000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01029,no,Kilbride,Kilbride,n.a,1467000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01030,no,Killedmond,Killedmond,n.a,1880000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01031,no,Killerrig,Killerrig,n.a,1112000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01032,no,Leighlinbridge,Leighlinbridge,n.a,2488000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01033,no,Muinebeag Rural,Muinebeag (Bagenalstown) Rural,n.a,1484000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01034,no,Muinebeag Urban,Muinebeag (Bagenalstown) Urban,n.a,310000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01035,no,Myshall,Myshall,n.a,1728000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01036,no,Nurney,Nurney,n.a,2397000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01037,no,Oldleighlin,Oldleighlin,n.a,1935000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01038,no,Rathanna,Rathanna,n.a,2340000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01039,no,Rathornan,Rathornan,n.a,1996000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01040,no,Rathrush,Rathrush,n.a,2344000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01041,no,Ridge,Ridge,n.a,1724000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
IE024,01,01042,no,Shangarry,Shangarry,n.a,2005000,,,,,,,,,,,,,,,,,3,,,,,,,,,,
