NAME_1,LAU1_NAT_CODE,POP,AREA,LAU2_NAT_CODE
Reykjavíkurborg,IS-1,121822,273,0000
Kópavogsbær,IS-1,33205,80,1000
Seltjarnarneskaupstaður,IS-1,4411,2,1100
Garðabær,IS-1,14453,76,1300
Hafnarfjarðarkaupstaður,IS-1,27875,143,1400
Mosfellsbær,IS-1,9300,185,1604
Kjósarhreppur,IS-1,216,284,1606
Seyðisfjarðarkaupstaður,IS-7,653,213,7000
Fjarðabyggð,IS-7,4747,1164,7300
Vopnafjarðarhreppur,IS-7,674,1903,7502
Fljótsdalshreppur,IS-7,75,1516,7505
Borgarfjarðarhreppur,IS-7,135,441,7509
Breiðdalshreppur,IS-7,186,452,7613
Djúpavogshreppur,IS-7,422,1133,7617
Fljótsdalshérað,IS-7,3454,8884,7620
Sveitarfélagið Hornafjörður,IS-7,2150,6280,7708
Akureyrarkaupstaður,IS-6,18191,138,6000
Norðurþing,IS-6,2806,3729,6100
Fjallabyggð,IS-6,2037,364,6250
Dalvíkurbyggð,IS-6,1861,598,6400
Eyjafjarðarsveit,IS-6,1032,1775,6513
Hörgársveit,IS-6,567,893,6515
Svalbarðsstrandarhreppur,IS-6,414,55,6601
Grýtubakkahreppur,IS-6,364,432,6602
Skútustaðahreppur,IS-6,395,6036,6607
Tjörneshreppur,IS-6,59,199,6611
Þingeyjarsveit,IS-6,920,5988,6612
Svalbarðshreppur,IS-6,98,1155,6706
Langanesbyggð,IS-6,513,1332,6709
Sveitarfélagið Skagafjörður,IS-5,3910,4180,5200
Húnaþing vestra,IS-5,1171,3019,5508
Blönduósbær,IS-5,861,183,5604
Sveitarfélagið Skagaströnd,IS-5,488,53,5609
Skagabyggð,IS-5,99,489,5611
Húnavatnshreppur,IS-5,414,3817,5612
Akrahreppur,IS-5,194,1364,5706
Reykjanesbær,IS-2,14924,145,2000
Grindavíkurbær,IS-2,2995,425,2300
Sandgerðisbær,IS-2,1580,62,2503
Sveitarfélagið Garður,IS-2,1425,21,2504
Sveitarfélagið Vogar,IS-2,1102,165,2506
Vestmannaeyjabær,IS-8,4272,17,8000
Sveitarfélagið Árborg,IS-8,8052,158,8200
Mýrdalshreppur,IS-8,480,755,8508
Skaftárhreppur,IS-8,460,6946,8509
Ásahreppur,IS-8,216,2942,8610
Rangárþing eystra,IS-8,1749,1841,8613
Rangárþing ytra,IS-8,1548,3188,8614
Hrunamannahreppur,IS-8,794,1375,8710
Hveragerðisbær,IS-8,2384,9,8716
Sveitarfélagið Ölfus,IS-8,1885,737,8717
Grímsnes- og Grafningshreppur,IS-8,431,900,8719
Skeiða- og Gnúpverjahreppur,IS-8,518,2231,8720
Bláskógabyggð,IS-8,961,3300,8721
Flóahreppur,IS-8,616,289,8722
Akraneskaupstaður,IS-3,6767,9,3000
Skorradalshreppur,IS-3,62,216,3506
Hvalfjarðarsveit,IS-3,635,482,3511
Borgarbyggð,IS-3,3539,4926,3609
Grundarfjarðarbær,IS-3,900,148,3709
Helgafellssveit,IS-3,53,243,3710
Stykkishólmsbær,IS-3,1107,10,3711
Eyja- og Miklaholtshreppur,IS-3,144,383,3713
Snæfellsbær,IS-3,1679,684,3714
Dalabyggð,IS-3,680,2421,3811
Bolungarvíkurkaupstaður,IS-4,923,109,4100
Ísafjarðarbær,IS-4,3629,2379,4200
Reykhólahreppur,IS-4,268,1090,4502
Tálknafjarðarhreppur,IS-4,305,176,4604
Vesturbyggð,IS-4,1002,1339,4607
Súðavíkurhreppur,IS-4,204,749,4803
Árneshreppur,IS-4,54,707,4901
Kaldrananeshreppur,IS-4,112,387,4902
Strandabyggð,IS-4,473,1906,4911
