NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP 2015,AREA
ITC11,n.a.,001001,no,Agliè,Agliè,2631,13146400
ITC11,n.a.,001002,no,Airasca,Airasca,3794,15739500
ITC11,n.a.,001003,no,Ala di Stura,Ala di Stura,469,46332200
ITC11,n.a.,001004,no,Albiano d'Ivrea,Albiano d'Ivrea,1718,11731600
ITC11,n.a.,001005,no,Alice Superiore,Alice Superiore,700,7379700
ITC11,n.a.,001006,no,Almese,Almese,6401,17875900
ITC11,n.a.,001007,no,Alpette,Alpette,261,5626200
ITC11,n.a.,001008,no,Alpignano,Alpignano,17008,11919500
ITC11,n.a.,001009,no,Andezeno,Andezeno,1984,7486100
ITC11,n.a.,001010,no,Andrate,Andrate,505,9308700
ITC11,n.a.,001011,no,Angrogna,Angrogna,889,38878800
ITC11,n.a.,001012,no,Arignano,Arignano,1078,8167000
ITC11,n.a.,001013,no,Avigliana,Avigliana,12516,23217500
ITC11,n.a.,001014,no,Azeglio,Azeglio,1316,9960700
ITC11,n.a.,001015,no,Bairo,Bairo,790,7086000
ITC11,n.a.,001016,no,Balangero,Balangero,3156,13006500
ITC11,n.a.,001017,no,Baldissero Canavese,Baldissero Canavese,550,4506500
ITC11,n.a.,001018,no,Baldissero Torinese,Baldissero Torinese,3750,15405700
ITC11,n.a.,001019,no,Balme,Balme,115,62711400
ITC11,n.a.,001020,no,Banchette,Banchette,3231,2028900
ITC11,n.a.,001021,no,Barbania,Barbania,1607,12802900
ITC11,n.a.,001022,no,Bardonecchia,Bardonecchia,3215,132204900
ITC11,n.a.,001023,no,Barone Canavese,Barone Canavese,586,3986400
ITC11,n.a.,001024,no,Beinasco,Beinasco,18159,6734400
ITC11,n.a.,001025,no,Bibiana,Bibiana,3442,18598200
ITC11,n.a.,001026,no,Bobbio Pellice,Bobbio Pellice,563,94083400
ITC11,n.a.,001027,no,Bollengo,Bollengo,2137,14223600
ITC11,n.a.,001028,no,Borgaro Torinese,Borgaro Torinese,13592,14326400
ITC11,n.a.,001029,no,Borgiallo,Borgiallo,569,6964900
ITC11,n.a.,001030,no,Borgofranco d'Ivrea,Borgofranco d'Ivrea,3732,13419100
ITC11,n.a.,001031,no,Borgomasino,Borgomasino,806,12371300
ITC11,n.a.,001032,no,Borgone Susa,Borgone Susa,2229,4961700
ITC11,n.a.,001033,no,Bosconero,Bosconero,3167,10919200
ITC11,n.a.,001034,no,Brandizzo,Brandizzo,8687,6291500
ITC11,n.a.,001035,no,Bricherasio,Bricherasio,4616,22758800
ITC11,n.a.,001036,no,Brosso,Brosso,420,11135100
ITC11,n.a.,001037,no,Brozolo,Brozolo,471,8950500
ITC11,n.a.,001038,no,Bruino,Bruino,8639,5570200
ITC11,n.a.,001039,no,Brusasco,Brusasco,1665,14359400
ITC11,n.a.,001040,no,Bruzolo,Bruzolo,1524,12560000
ITC11,n.a.,001041,no,Buriasco,Buriasco,1410,14687100
ITC11,n.a.,001042,no,Burolo,Burolo,1180,5476100
ITC11,n.a.,001043,no,Busano,Busano,1687,5059200
ITC11,n.a.,001044,no,Bussoleno,Bussoleno,6094,37066600
ITC11,n.a.,001045,no,Buttigliera Alta,Buttigliera Alta,6419,8097400
ITC11,n.a.,001046,no,Cafasse,Cafasse,3451,10231300
ITC11,n.a.,001047,no,Caluso,Caluso,7586,39493100
ITC11,n.a.,001048,no,Cambiano,Cambiano,6107,14131600
ITC11,n.a.,001049,no,Campiglione Fenile,Campiglione Fenile,1390,11086500
ITC11,n.a.,001050,no,Candia Canavese,Candia Canavese,1258,9131900
ITC11,n.a.,001051,no,Candiolo,Candiolo,5669,11850100
ITC11,n.a.,001052,no,Canischio,Canischio,277,11950600
ITC11,n.a.,001053,no,Cantalupa,Cantalupa,2553,11195400
ITC11,n.a.,001054,no,Cantoira,Cantoira,564,23032200
ITC11,n.a.,001055,no,Caprie,Caprie,2086,16408000
ITC11,n.a.,001056,no,Caravino,Caravino,923,11537200
ITC11,n.a.,001057,no,Carema,Carema,774,10256200
ITC11,n.a.,001058,no,Carignano,Carignano,9261,50679700
ITC11,n.a.,001059,no,Carmagnola,Carmagnola,29079,95716300
ITC11,n.a.,001060,no,Casalborgone,Casalborgone,1930,20125300
ITC11,n.a.,001061,no,Cascinette d'Ivrea,Cascinette d'Ivrea,1485,2172600
ITC11,n.a.,001062,no,Caselette,Caselette,3060,14313800
ITC11,n.a.,001063,no,Caselle Torinese,Caselle Torinese,19136,28711900
ITC11,n.a.,001064,no,Castagneto Po,Castagneto Po,1784,11473400
ITC11,n.a.,001065,no,Castagnole Piemonte,Castagnole Piemonte,2245,17279800
ITC11,n.a.,001066,no,Castellamonte,Castellamonte,9859,38706900
ITC11,n.a.,001067,no,Castelnuovo Nigra,Castelnuovo Nigra,433,28376000
ITC11,n.a.,001068,no,Castiglione Torinese,Castiglione Torinese,6416,14134800
ITC11,n.a.,001069,no,Cavagnolo,Cavagnolo,2237,12328700
ITC11,n.a.,001070,no,Cavour,Cavour,5545,48959900
ITC11,n.a.,001071,no,Cercenasco,Cercenasco,1803,13159700
ITC11,n.a.,001072,no,Ceres,Ceres,1065,28052000
ITC11,n.a.,001073,no,Ceresole Reale,Ceresole Reale,156,99816300
ITC11,n.a.,001074,no,Cesana Torinese,Cesana Torinese,967,121702000
ITC11,n.a.,001075,no,Chialamberto,Chialamberto,345,35448400
ITC11,n.a.,001076,no,Chianocco,Chianocco,1675,18613600
ITC11,n.a.,001077,no,Chiaverano,Chiaverano,2095,12022300
ITC11,n.a.,001078,no,Chieri,Chieri,36595,54198400
ITC11,n.a.,001079,no,Chiesanuova,Chiesanuova,205,4119000
ITC11,n.a.,001080,no,Chiomonte,Chiomonte,916,26755300
ITC11,n.a.,001081,no,Chiusa di San Michele,Chiusa di San Michele,1647,5916500
ITC11,n.a.,001082,no,Chivasso,Chivasso,26749,51238500
ITC11,n.a.,001083,no,Ciconio,Ciconio,384,3163900
ITC11,n.a.,001084,no,Cintano,Cintano,258,4934500
ITC11,n.a.,001085,no,Cinzano,Cinzano,340,6196300
ITC11,n.a.,001086,no,Ciriè,Ciriè,18909,17733100
ITC11,n.a.,001087,no,Claviere,Claviere,214,2687200
ITC11,n.a.,001088,no,Coassolo Torinese,Coassolo Torinese,1547,27879200
ITC11,n.a.,001089,no,Coazze,Coazze,3287,56573500
ITC11,n.a.,001090,no,Collegno,Collegno,49905,18099600
ITC11,n.a.,001091,no,Colleretto Castelnuovo,Colleretto Castelnuovo,332,6332200
ITC11,n.a.,001092,no,Colleretto Giacosa,Colleretto Giacosa,582,4589500
ITC11,n.a.,001093,no,Condove,Condove,4638,71114200
ITC11,n.a.,001094,no,Corio,Corio,3277,41492100
ITC11,n.a.,001095,no,Cossano Canavese,Cossano Canavese,494,3238400
ITC11,n.a.,001096,no,Cuceglio,Cuceglio,997,6871000
ITC11,n.a.,001097,no,Cumiana,Cumiana,7826,60734400
ITC11,n.a.,001098,no,Cuorgnè,Cuorgnè,9906,19313700
ITC11,n.a.,001099,no,Druento,Druento,8622,27539900
ITC11,n.a.,001100,no,Exilles,Exilles,273,46548100
ITC11,n.a.,001101,no,Favria,Favria,5196,14850200
ITC11,n.a.,001102,no,Feletto,Feletto,2310,7893200
ITC11,n.a.,001103,no,Fenestrelle,Fenestrelle,544,49409800
ITC11,n.a.,001104,no,Fiano,Fiano,2695,12041600
ITC11,n.a.,001105,no,Fiorano Canavese,Fiorano Canavese,822,4345800
ITC11,n.a.,001106,no,Foglizzo,Foglizzo,2361,15642900
ITC11,n.a.,001107,no,Forno Canavese,Forno Canavese,3446,16500500
ITC11,n.a.,001108,no,Frassinetto,Frassinetto,274,24818800
ITC11,n.a.,001109,no,Front,Front,1677,10948400
ITC11,n.a.,001110,no,Frossasco,Frossasco,2864,20149100
ITC11,n.a.,001111,no,Garzigliana,Garzigliana,572,7401900
ITC11,n.a.,001112,no,Gassino Torinese,Gassino Torinese,9432,20511200
ITC11,n.a.,001113,no,Germagnano,Germagnano,1201,14444400
ITC11,n.a.,001114,no,Giaglione,Giaglione,631,33383800
ITC11,n.a.,001115,no,Giaveno,Giaveno,16455,71738700
ITC11,n.a.,001116,no,Givoletto,Givoletto,3914,12820100
ITC11,n.a.,001117,no,Gravere,Gravere,692,18987300
ITC11,n.a.,001118,no,Groscavallo,Groscavallo,204,92094900
ITC11,n.a.,001119,no,Grosso,Grosso,1018,4329700
ITC11,n.a.,001120,no,Grugliasco,Grugliasco,37966,13132300
ITC11,n.a.,001121,no,Ingria,Ingria,52,14750800
ITC11,n.a.,001122,no,Inverso Pinasca,Inverso Pinasca,730,8029400
ITC11,n.a.,001123,no,Isolabella,Isolabella,396,4771700
ITC11,n.a.,001124,no,Issiglio,Issiglio,392,5504300
ITC11,n.a.,001125,no,Ivrea,Ivrea,23606,30108000
ITC11,n.a.,001126,no,La Cassa,La Cassa,1788,12035500
ITC11,n.a.,001127,no,La Loggia,La Loggia,8874,12793100
ITC11,n.a.,001128,no,Lanzo Torinese,Lanzo Torinese,5086,10287700
ITC11,n.a.,001129,no,Lauriano,Lauriano,1478,14290200
ITC11,n.a.,001130,no,Leini,Leini,16356,32436000
ITC11,n.a.,001131,no,Lemie,Lemie,179,45676000
ITC11,n.a.,001132,no,Lessolo,Lessolo,1938,7936700
ITC11,n.a.,001133,no,Levone,Levone,442,5391300
ITC11,n.a.,001134,no,Locana,Locana,1498,132519400
ITC11,n.a.,001135,no,Lombardore,Lombardore,1742,12715900
ITC11,n.a.,001136,no,Lombriasco,Lombriasco,1050,7209700
ITC11,n.a.,001137,no,Loranzè,Loranzè,1173,4191500
ITC11,n.a.,001138,no,Lugnacco,Lugnacco,360,4883600
ITC11,n.a.,001139,no,Luserna San Giovanni,Luserna San Giovanni,7395,17741600
ITC11,n.a.,001140,no,Lusernetta,Lusernetta,506,7039900
ITC11,n.a.,001141,no,Lusigliè,Lusigliè,559,5258600
ITC11,n.a.,001142,no,Macello,Macello,1229,14140600
ITC11,n.a.,001143,no,Maglione,Maglione,440,6313000
ITC11,n.a.,001144,no,Marentino,Marentino,1351,11259500
ITC11,n.a.,001145,no,Massello,Massello,51,38259300
ITC11,n.a.,001146,no,Mathi,Mathi,3921,7070700
ITC11,n.a.,001147,no,Mattie,Mattie,687,28694600
ITC11,n.a.,001148,no,Mazzè,Mazzè,4184,27342800
ITC11,n.a.,001149,no,Meana di Susa,Meana di Susa,826,16544200
ITC11,n.a.,001150,no,Mercenasco,Mercenasco,1257,12638500
ITC11,n.a.,001151,no,Meugliano,Meugliano,80,4442100
ITC11,n.a.,001152,no,Mezzenile,Mezzenile,786,29087600
ITC11,n.a.,001153,no,Mombello di Torino,Mombello di Torino,415,4082500
ITC11,n.a.,001154,no,Mompantero,Mompantero,659,30333700
ITC11,n.a.,001155,no,Monastero di Lanzo,Monastero di Lanzo,350,17655600
ITC11,n.a.,001156,no,Moncalieri,Moncalieri,57294,47529500
ITC11,n.a.,001157,no,Moncenisio,Moncenisio,36,4500800
ITC11,n.a.,001158,no,Montaldo Torinese,Montaldo Torinese,743,4656800
ITC11,n.a.,001159,no,Montalenghe,Montalenghe,1001,6468200
ITC11,n.a.,001160,no,Montalto Dora,Montalto Dora,3406,7356800
ITC11,n.a.,001161,no,Montanaro,Montanaro,5323,20903900
ITC11,n.a.,001162,no,Monteu da Po,Monteu da Po,883,7389700
ITC11,n.a.,001163,no,Moriondo Torinese,Moriondo Torinese,823,6489600
ITC11,n.a.,001164,no,Nichelino,Nichelino,48123,20563000
ITC11,n.a.,001165,no,Noasca,Noasca,137,78051700
ITC11,n.a.,001166,no,Nole,Nole,6892,11353200
ITC11,n.a.,001167,no,Nomaglio,Nomaglio,287,3074300
ITC11,n.a.,001168,no,None,None,8005,24642500
ITC11,n.a.,001169,no,Novalesa,Novalesa,534,28554600
ITC11,n.a.,001170,no,Oglianico,Oglianico,1506,6303100
ITC11,n.a.,001171,no,Orbassano,Orbassano,23188,22208200
ITC11,n.a.,001172,no,Orio Canavese,Orio Canavese,801,7154200
ITC11,n.a.,001173,no,Osasco,Osasco,1141,5488600
ITC11,n.a.,001174,no,Osasio,Osasio,936,4577200
ITC11,n.a.,001175,no,Oulx,Oulx,3307,99787200
ITC11,n.a.,001176,no,Ozegna,Ozegna,1230,5405900
ITC11,n.a.,001177,no,Palazzo Canavese,Palazzo Canavese,837,5082000
ITC11,n.a.,001178,no,Pancalieri,Pancalieri,2038,15888100
ITC11,n.a.,001179,no,Parella,Parella,453,2688600
ITC11,n.a.,001180,no,Pavarolo,Pavarolo,1102,4405700
ITC11,n.a.,001181,no,Pavone Canavese,Pavone Canavese,3895,11540200
ITC11,n.a.,001182,no,Pecco,Pecco,223,1568000
ITC11,n.a.,001183,no,Pecetto Torinese,Pecetto Torinese,3995,9173200
ITC11,n.a.,001184,no,Perosa Argentina,Perosa Argentina,3285,26091000
ITC11,n.a.,001185,no,Perosa Canavese,Perosa Canavese,533,4708100
