NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP,AREA
LT001,11,1100,no,Alytaus miesto savivaldybė,Alytaus miesto savivaldybė,54431,39432200
LT001,15,1500,no,Druskininkų savivaldybė,Druskininkų savivaldybė,20400,453020600
LT001,33,3301,no,Alytaus seniūnija,Alytaus seniūnija,n.a.,n.a.
LT001,33,3302,no,Alovės seniūnija,Alovės seniūnija,n.a.,n.a.
LT001,33,3310,no,Butrimonių seniūnija,Butrimonių seniūnija,n.a.,n.a.
LT001,33,3317,no,Daugų seniūnija,Daugų seniūnija,n.a.,n.a.
LT001,33,3330,no,Krokialaukio seniūnija,Krokialaukio seniūnija,n.a.,n.a.
LT001,33,3338,no,Miroslavo seniūnija,Miroslavo seniūnija,n.a.,n.a.
LT001,33,3342,no,Nemunaičio seniūnija,Nemunaičio seniūnija,n.a.,n.a.
LT001,33,3348,no,Pivašiūnų seniūnija,Pivašiūnų seniūnija,n.a.,n.a.
LT001,33,3353,no,Punios seniūnija,Punios seniūnija,n.a.,n.a.
LT001,33,3359,no,Raitininkų seniūnija,Raitininkų seniūnija,n.a.,n.a.
LT001,33,3380,no,Simno seniūnija,Simno seniūnija,n.a.,n.a.
LT001,38,3805,no,Valkininkų seniūnija,Valkininkų seniūnija,n.a.,n.a.
LT001,38,3808,no,Varėnos seniūnija,Varėnos seniūnija,n.a.,n.a.
LT001,38,3813,no,Vydenių seniūnija,Vydenių seniūnija,n.a.,n.a.
LT001,38,3826,no,Kaniavos seniūnija,Kaniavos seniūnija,n.a.,n.a.
LT001,38,3838,no,Marcinkonių seniūnija,Marcinkonių seniūnija,n.a.,n.a.
LT001,38,3842,no,Matuizų seniūnija,Matuizų seniūnija,n.a.,n.a.
LT001,38,3847,no,Merkinės seniūnija,Merkinės seniūnija,n.a.,n.a.
LT001,38,3879,no,Jakėnų seniūnija,Jakėnų seniūnija,n.a.,n.a.
LT001,59,5901,no,Lazdijų miesto seniūnija,Lazdijų miesto seniūnija,n.a.,n.a.
LT001,59,5908,no,Būdviečio seniūnija,Būdviečio seniūnija,n.a.,n.a.
LT001,59,5925,no,Kapčiamiesčio seniūnija,Kapčiamiesčio seniūnija,n.a.,n.a.
LT001,59,5930,no,Krosnos seniūnija,Krosnos seniūnija,n.a.,n.a.
LT001,59,5937,no,Kučiūnų seniūnija,Kučiūnų seniūnija,n.a.,n.a.
LT001,59,5940,no,Lazdijų seniūnija,Lazdijų seniūnija,n.a.,n.a.
LT001,59,5950,no,Noragėlių seniūnija,Noragėlių seniūnija,n.a.,n.a.
LT001,59,5969,no,Seirijų seniūnija,Seirijų seniūnija,n.a.,n.a.
LT001,59,5974,no,Teizų seniūnija,Teizų seniūnija,n.a.,n.a.
LT001,59,5979,no,Šventežerio seniūnija,Šventežerio seniūnija,n.a.,n.a.
LT001,59,5984,no,Šlavantų seniūnija,Šlavantų seniūnija,n.a.,n.a.
LT001,59,5990,no,Šeštokų seniūnija,Šeštokų seniūnija,n.a.,n.a.
LT001,59,9498,no,Veisiejų seniūnija,Veisiejų seniūnija,n.a.,n.a.
LT002,12,1200,no,Birštono savivaldybė,Birštono savivaldybė,4330,121719300
LT002,19,1901,no,Centro seniūnija,Centro seniūnija,n.a.,n.a.
LT002,19,1902,no,Žaliakalnio seniūnija,Žaliakalnio seniūnija,n.a.,n.a.
LT002,19,1903,no,Šančių seniūnija,Šančių seniūnija,n.a.,n.a.
LT002,19,1904,no,Dainavos seniūnija,Dainavos seniūnija,n.a.,n.a.
LT002,19,1905,no,Gričiupio seniūnija,Gričiupio seniūnija,n.a.,n.a.
LT002,19,1906,no,Petrašiūnų seniūnija,Petrašiūnų seniūnija,n.a.,n.a.
LT002,19,1907,no,Panemunės seniūnija,Panemunės seniūnija,n.a.,n.a.
LT002,19,1908,no,Aleksoto seniūnija,Aleksoto seniūnija,n.a.,n.a.
LT002,19,1909,no,Eigulių seniūnija,Eigulių seniūnija,n.a.,n.a.
LT002,19,1910,no,Vilijampolės seniūnija,Vilijampolės seniūnija,n.a.,n.a.
LT002,19,1911,no,Šilainių seniūnija,Šilainių seniūnija,n.a.,n.a.
LT002,46,4601,no,Jonavos miesto seniūnija,Jonavos miesto seniūnija,n.a.,n.a.
LT002,46,4607,no,Bukonių seniūnija,Bukonių seniūnija,n.a.,n.a.
LT002,46,4613,no,Dumsių seniūnija,Dumsių seniūnija,n.a.,n.a.
LT002,46,4620,no,Ruklos seniūnija,Ruklos seniūnija,n.a.,n.a.
LT002,46,4624,no,Žeimių seniūnija,Žeimių seniūnija,n.a.,n.a.
LT002,46,4635,no,Kulvos seniūnija,Kulvos seniūnija,n.a.,n.a.
LT002,46,4657,no,Upninkų seniūnija,Upninkų seniūnija,n.a.,n.a.
LT002,46,4668,no,Užusalių seniūnija,Užusalių seniūnija,n.a.,n.a.
LT002,46,4677,no,Šilų seniūnija,Šilų seniūnija,n.a.,n.a.
LT002,49,4909,no,Žąslių seniūnija,Žąslių seniūnija,n.a.,n.a.
LT002,49,4913,no,Žiežmarių apylinkės seniūnija,Žiežmarių apylinkės seniūnija,n.a.,n.a.
LT002,49,4915,no,Žiežmarių seniūnija,Žiežmarių seniūnija,n.a.,n.a.
LT002,49,4917,no,Kaišiadorių miesto seniūnija,Kaišiadorių miesto seniūnija,n.a.,n.a.
