NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP,AREA
LU000,01,0101,no,Dippach,Dippech,4071,17420000
LU000,01,0102,no,Garnich,Garnech,2043,20950000
LU000,01,0103,no,Hobscheid,Habscht,3434,17550000
LU000,01,0104,no,Käerjeng,Käerjeng,10033,33670000
LU000,01,0105,no,Kehlen,Kielen,5457,28180000
LU000,01,0106,no,Koerich,Käerch,2520,18880000
LU000,01,0107,no,Kopstal,Koplescht,3448,7900000
LU000,01,0108,no,Mamer,Mamer,8695,27540000
LU000,01,0109,no,Septfontaines,Simmer,813,14960000
LU000,01,0110,no,Steinfort,Stengefort,4762,12160000
LU000,02,0201,no,Bettembourg,Beetebuerg,10400,21490000
LU000,02,0202,no,Differdange,Déifferdeng,24805,22180000
LU000,02,0203,no,Dudelange,Diddeleng,20003,21380000
LU000,02,0204,no,Esch-sur-Alzette,Esch-Uelzecht,33939,14350000
LU000,02,0205,no,Frisange,Fréiseng,4344,18430000
LU000,02,0206,no,Kayl,Keel,8247,14860000
LU000,02,0207,no,Leudelange,Leideleng,2445,13570000
LU000,02,0208,no,Mondercange,Monnerech,6510,21400000
LU000,02,0209,no,Pétange,Péiteng,17973,11930000
LU000,02,0210,no,Reckange-sur-Mess,Reckeng op der Mess,2304,20420000
LU000,02,0211,no,Roeser,Réiser,5891,23800000
LU000,02,0212,no,Rumelange,Rëmeleng,5422,6830000
LU000,02,0213,no,Sanem,Suessem,15748,24420000
LU000,02,0214,no,Schifflange,Schëffleng,9924,7710000
LU000,03,0301,no,Bertrange,Bartreng,7387,17390000
LU000,03,0302,no,Contern,Konter,3511,20550000
LU000,03,0303,no,Hesperange,Hesper,14650,27220000
LU000,03,0304,no,Luxembourg,Lëtzebuerg,115227,51460000
LU000,03,0305,no,Niederanven,Nidderaanwen,5866,41360000
LU000,03,0306,no,Sandweiler,Sandweiler,3450,7730000
LU000,03,0307,no,Schuttrange,Schëtter,4147,16100000
LU000,03,0308,no,Steinsel,Steesel,5171,21810000
LU000,03,0309,no,Strassen,Stroossen,8497,10710000
LU000,03,0310,no,Walferdange,Walfer,7818,7060000
LU000,03,0311,no,Weiler-la-Tour,Weiler,2245,17070000
LU000,04,0401,no,Colmar-Berg,Kolmer-Bierg,2115,12310000
LU000,04,0402,no,Bissen,Biissen,2879,20750000
LU000,04,0403,no,Boevange-sur-Attert,Béiwen/Attert,2280,18870000
LU000,04,0404,no,Fischbach,Fëschbesch,1174,19610000
LU000,04,0405,no,Heffingen,Hiefenech,1239,13340000
LU000,04,0406,no,Larochette,Fiels (an der),2101,15400000
LU000,04,0407,no,Lintgen,Lëntgen,2811,15250000
LU000,04,0408,no,Lorentzweiler,Luerenzweiler,3798,17450000
LU000,04,0409,no,Mersch,Miersch,9046,49740000
LU000,04,0410,no,Nommern,Noumer,1331,22440000
LU000,04,0411,no,Tuntange,Tënten,1608,18740000
LU000,05,0501,no,Clervaux,Klierf,4847,85050000
LU000,05,0502,no,Wincrange,Wëntger,4141,113360000
LU000,05,0503,no,Parc Hosingen,Parc Housen,3350,70650000
LU000,05,0504,no,Troisvierges,Ëlwen,3112,37860000
LU000,05,0505,no,Weiswampach,Wäisswampech,1678,35250000
LU000,06,0601,no,Bettendorf,Bettenduerf,2659,23240000
LU000,06,0602,no,Bourscheid,Buerschent,1751,36860000
LU000,06,0603,no,Diekirch,Dikrech,6896,12420000
LU000,06,0604,no,Erpeldange-sur-Sûre,Ierpeldeng,2396,17970000
LU000,06,0605,no,Ettelbruck,Ettelbréck,8541,15180000
LU000,06,0606,no,Feulen,Feelen,1903,22760000
LU000,06,0607,no,Mertzig,Mäerzeg,2080,11100000
LU000,06,0608,no,Reisdorf,Reisduerf,1121,14840000
LU000,06,0609,no,Schieren,Schieren,1902,10410000
LU000,06,0610,no,Vallée de l'Ernz,Aerenzdall,2570,39730000
LU000,07,0701,no,Beckerich,Biekerech,2437,28410000
LU000,07,0702,no,Preizerdaul,Préizerdaul,1621,15600000
LU000,07,0703,no,Ell,Ell,1230,21550000
LU000,07,0704,no,Rambrouch,Rammerech,4202,79090000
LU000,07,0705,no,Grosbous,Groussbus,992,20110000
LU000,07,0706,no,Redange-sur-Attert,Réiden,2609,31950000
LU000,07,0707,no,Saeul,Sëll,723,14860000
LU000,07,0708,no,Useldange,Useldeng,1658,23920000
LU000,07,0709,no,Vichten,Viichten,1188,12260000
LU000,07,0710,no,Wahl,Wal,951,19740000
LU000,08,0801,no,Boulaide,Bauschelt,1122,32130000
LU000,08,0802,no,Esch-sur-Sûre,Esch-Sauer,2572,51260000
LU000,08,0804,no,Goesdorf,Géisdref,1466,29410000
