NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP,AREA
NL112,n.a.,GM0003,no,Appingedam,,12001,24581059
NL113,n.a.,GM0005,no,Bedum,,10433,44956421
NL111,n.a.,GM0007,no,Bellingwedde,,8971,110088936
NL113,n.a.,GM0009,no,Ten Boer,,7352,45729675
NL112,n.a.,GM0010,no,Delfzijl,,25068,227499236
NL113,n.a.,GM0014,no,Groningen,,200952,83783437
NL113,n.a.,GM0015,no,Grootegast,,12155,87735563
NL113,n.a.,GM0017,no,Haren,,19076,50731605
NL113,n.a.,GM0018,no,Hoogezand-Sappemeer,,34177,72990790
NL113,n.a.,GM0022,no,Leek,,19536,64284273
NL112,n.a.,GM0024,no,Loppersum,,10042,111989194
NL113,n.a.,GM0025,no,Marum,,10305,64890524
NL230,n.a.,GM0034,no,Almere,,198145,248766091
NL111,n.a.,GM0037,no,Stadskanaal,,32621,119944106
NL113,n.a.,GM0040,no,Slochteren,,15698,158866174
NL111,n.a.,GM0047,no,Veendam,,27467,78678839
NL111,n.a.,GM0048,no,Vlagtwedde,,16422,170556626
NL230,n.a.,GM0050,no,Zeewolde,,22113,268858791
NL113,n.a.,GM0053,no,Winsum,,13633,102532174
NL113,n.a.,GM0056,no,Zuidhorn,,18794,128373181
NL121,n.a.,GM0058,no,Dongeradeel,,23932,266918772
NL121,n.a.,GM0059,no,Achtkarspelen,,28007,103980832
NL121,n.a.,GM0060,no,Ameland,,3611,268498685
NL121,n.a.,GM0063,no,het Bildt,,10525,116481918
NL121,n.a.,GM0070,no,Franekeradeel,,20265,109173640
NL121,n.a.,GM0072,no,Harlingen,,15813,387667545
NL123,n.a.,GM0074,no,Heerenveen,,50290,198165257
NL121,n.a.,GM0079,no,Kollumerland en Nieuwkruisland,,12811,116350036
NL121,n.a.,GM0080,no,Leeuwarden,,107897,170230418
NL121,n.a.,GM0081,no,Leeuwarderadeel,,10175,41461242
NL123,n.a.,GM0085,no,Ooststellingwerf,,25571,226112548
NL123,n.a.,GM0086,no,Opsterland,,29830,227641537
NL121,n.a.,GM0088,no,Schiermonnikoog,,919,199065480
