LAU2_NAT_CODE,NAME_1,NUTS_3,POP,AREA
0101,Halden,NO031,28092,642340
0104,Moss,NO031,29073,63480
0105,Sarpsborg,NO031,51053,405610
0106,Fredrikstad,NO031,71976,288110
0111,Hvaler,NO031,3961,89540
0118,Aremark,NO031,1429,318930
0119,Marker,NO031,3463,412910
0121,Rømskog,NO031,649,183130
0122,Trøgstad,NO031,5039,204490
0123,Spydeberg,NO031,5073,141990
0124,Askim,NO031,14472,69140
0125,Eidsberg,NO031,10509,235910
0127,Skiptvet,NO031,3525,101200
0128,Rakkestad,NO031,7515,434710
0135,Råde,NO031,6825,118570
0136,Rygge,NO031,13914,74140
0137,Våler,NO031,4268,256960
0138,Hobøl,NO031,4622,140390
0211,Vestby,NO012,13825,133930
0213,Ski,NO012,27479,165540
0214,Ås,NO012,15324,103120
0215,Frogn,NO012,14245,85660
0216,Nesodden,NO012,16868,61470
0217,Oppegård,NO012,24201,37030
0219,Bærum,NO012,108144,192310
0220,Asker,NO012,52922,100710
0221,Aurskog-Høland,NO012,13995,961650
0226,Sørum,NO012,14279,206580
0227,Fet,NO012,9963,176360
0228,Rælingen,NO012,15112,71680
0229,Enebakk,NO012,9893,232580
0230,Lørenskog,NO012,31853,70530
0231,Skedsmo,NO012,46146,77080
0233,Nittedal,NO012,20256,186220
0234,Gjerdrum,NO012,5464,83190
0235,Ullensaker,NO012,26934,252460
0236,Nes,NO012,18510,637340
0237,Eidsvoll,NO012,19916,456600
0238,Nannestad,NO012,10657,340990
0239,Hurdal,NO012,2581,284950
0301,Oslo,NO011,586860,453990
0402,Kongsvinger,NO021,17361,1036140
0403,Hamar,NO021,27976,350940
0412,Ringsaker,NO021,32144,1281080
0415,Løten,NO021,7251,369440
0417,Stange,NO021,18821,724210
0418,Nord-Odal,NO021,5091,508120
0419,Sør-Odal,NO021,7787,516760
0420,Eidskog,NO021,6397,640670
0423,Grue,NO021,5078,837180
0425,Åsnes,NO021,7581,1040990
0426,Våler,NO021,3869,705250
0427,Elverum,NO021,19465,1229320
0428,Trysil,NO021,6741,3014380
0429,Åmot,NO021,4329,1339870
0430,Stor-Elvdal,NO021,2680,2165970
0432,Rendalen,NO021,2029,3179670
0434,Engerdal,NO021,1458,2196580
