NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP,AREA
PL114,1101506,110150602,no,Andrespol,Andrespol,13422,23340000
PL114,1101506,110150603,no,Brójce,Brójce,6390,69020000
PL114,1101506,110150607,no,Koluszki,Koluszki,23636,157200000
PL114,1101506,110150608,no,Nowosolna,Nowosolna,4721,53980000
PL114,1101506,110150610,no,Rzgów,Rzgów,10028,66320000
PL114,1101506,110150611,no,Tuszyn,Tuszyn,12233,129900000
PL114,1101508,110150801,no,Konstantynów Łódzki,Konstantynów Łódzki,17807,27250000
PL114,1101508,110150802,no,Pabianice,Pabianice,66895,32990000
PL114,1101508,110150803,no,Dłutów,Dłutów,4495,101230000
PL114,1101508,110150804,no,Dobroń,Dobroń,7544,95460000
PL114,1101508,110150805,no,Ksawerów,Ksawerów,7673,13640000
PL114,1101508,110150806,no,Lutomiersk,Lutomiersk,8129,133920000
PL114,1101508,110150807,no,Pabianice,Pabianice,6975,87690000
PL114,1101520,110152001,no,Głowno,Głowno,14590,19840000
PL114,1101520,110152002,no,Ozorków,Ozorków,19879,15460000
PL114,1101520,110152003,no,Zgierz,Zgierz,57234,42330000
PL114,1101520,110152004,no,Aleksandrów Łódzki,Aleksandrów Łódzki,30645,116430000
PL114,1101520,110152005,no,Głowno,Głowno,4852,104770000
PL114,1101520,110152006,no,Ozorków,Ozorków,6892,95510000
PL114,1101520,110152007,no,Parzęczew,Parzęczew,5000,103890000
PL114,1101520,110152008,no,Stryków,Stryków,12445,157900000
PL114,1101520,110152009,no,Zgierz,Zgierz,13593,199050000
PL114,1101521,110152101,no,Brzeziny,Brzeziny,12542,21580000
PL114,1101521,110152102,no,Brzeziny,Brzeziny,5616,106640000
PL114,1101521,110152103,no,Dmosin,Dmosin,4537,100190000
PL114,1101521,110152104,no,Jeżów,Jeżów,3464,64090000
PL114,1101521,110152105,no,Rogów,Rogów,4774,66060000
PL113,1101661,110166101,no,Łódź,Łódź,700982,293250000
PL115,1101701,110170101,no,Bełchatów,Bełchatów,58667,34640000
PL115,1101701,110170102,no,Bełchatów,Bełchatów,10857,180360000
PL115,1101701,110170103,no,Drużbice,Drużbice,5153,113350000
PL115,1101701,110170104,no,Kleszczów,Kleszczów,5594,124760000
PL115,1101701,110170105,no,Kluki,Kluki,4309,118540000
PL115,1101701,110170106,no,Rusiec,Rusiec,5171,99910000
PL115,1101701,110170107,no,Szczerców,Szczerców,8097,128950000
PL115,1101701,110170108,no,Zelów,Zelów,15068,167090000
PL115,1101707,110170701,no,Białaczów,Białaczów,5853,114630000
PL115,1101707,110170702,no,Drzewica,Drzewica,10725,118190000
PL115,1101707,110170703,no,Mniszków,Mniszków,4737,124160000
PL115,1101707,110170704,no,Opoczno,Opoczno,34842,190640000
PL115,1101707,110170705,no,Paradyż,Paradyż,4470,81390000
PL115,1101707,110170706,no,Poświętne,Poświętne,3237,140810000
PL115,1101707,110170707,no,Sławno,Sławno,7554,129310000
PL115,1101707,110170708,no,Żarnów,Żarnów,6039,141060000
PL115,1101710,110171001,no,Aleksandrów,Aleksandrów,4384,144090000
PL115,1101710,110171002,no,Czarnocin,Czarnocin,4076,71790000
PL115,1101710,110171003,no,Gorzkowice,Gorzkowice,8542,102170000
PL115,1101710,110171004,no,Grabica,Grabica,6101,127620000
PL115,1101710,110171005,no,Łęki Szlacheckie,Łęki Szlacheckie,3570,108960000
PL115,1101710,110171006,no,Moszczenica,Moszczenica,12829,111490000
PL115,1101710,110171007,no,Ręczno,Ręczno,3566,88900000
PL115,1101710,110171008,no,Rozprza,Rozprza,12344,163080000
PL115,1101710,110171009,no,Sulejów,Sulejów,16245,188230000
PL115,1101710,110171010,no,Wola Krzysztoporska,Wola Krzysztoporska,11895,170750000
PL115,1101710,110171011,no,Wolbórz,Wolbórz,7731,151660000
PL115,1101712,110171201,no,Radomsko,Radomsko,47070,51430000
PL115,1101712,110171202,no,Dobryszyce,Dobryszyce,4395,50820000
PL115,1101712,110171203,no,Gidle,Gidle,6231,115980000
PL115,1101712,110171204,no,Gomunice,Gomunice,5922,62450000
PL115,1101712,110171205,no,Kamieńsk,Kamieńsk,6093,96440000
PL115,1101712,110171206,no,Kobiele Wielkie,Kobiele Wielkie,4478,101720000
PL115,1101712,110171207,no,Kodrąb,Kodrąb,4608,105830000
PL115,1101712,110171208,no,Lgota Wielka,Lgota Wielka,4334,63070000
PL115,1101712,110171209,no,Ładzice,Ładzice,4841,82770000
PL115,1101712,110171210,no,Masłowice,Masłowice,4228,115970000
PL115,1101712,110171211,no,Przedbórz,Przedbórz,7297,189700000
PL115,1101712,110171212,no,Radomsko,Radomsko,5621,85630000
PL115,1101712,110171213,no,Wielgomłyny,Wielgomłyny,4720,123150000
PL115,1101712,110171214,no,Żytno,Żytno,5287,197610000
PL115,1101716,110171601,no,Tomaszów Mazowiecki,Tomaszów Mazowiecki,63960,41300000
PL115,1101716,110171602,no,Będków,Będków,3323,57740000
PL115,1101716,110171603,no,Budziszewice,Budziszewice,2201,30170000
PL115,1101716,110171604,no,Czerniewice,Czerniewice,5138,128070000
PL115,1101716,110171605,no,Inowłódz,Inowłódz,3861,97830000
PL115,1101716,110171606,no,Lubochnia,Lubochnia,7211,131370000
PL115,1101716,110171607,no,Rokiciny,Rokiciny,6167,90580000
PL115,1101716,110171608,no,Rzeczyca,Rzeczyca,4717,108610000
PL115,1101716,110171609,no,Tomaszów Mazowiecki,Tomaszów Mazowiecki,10845,149820000
PL115,1101716,110171610,no,Ujazd,Ujazd,7874,96950000
PL115,1101716,110171611,no,Żelechlinek,Żelechlinek,3374,92350000
PL115,1101762,110176201,no,Piotrków Trybunalski,Piotrków Trybunalski,75183,67240000
PL116,1101803,110180301,no,Buczek,Buczek,5106,92210000
PL116,1101803,110180302,no,Łask,Łask,27899,145370000
PL116,1101803,110180303,no,Sędziejowice,Sędziejowice,6395,120040000
PL116,1101803,110180304,no,Widawa,Widawa,7502,178310000
PL116,1101803,110180305,no,Wodzierady,Wodzierady,3380,82300000
PL116,1101809,110180901,no,Działoszyn,Działoszyn,12722,120920000
PL116,1101809,110180902,no,Kiełczygłów,Kiełczygłów,4112,87200000
PL116,1101809,110180903,no,Nowa Brzeźnica,Nowa Brzeźnica,4663,135210000
