NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP,AREA
PT16D,0101,010103,no,Aguada de Cima,Aguada de Cima,4013,28393100
PT16D,0101,010109,no,Fermentelos,Fermentelos,3258,8582000
PT16D,0101,010112,no,Macinhata do Vouga,Macinhata do Vouga,3406,31954400
PT16D,0101,010119,no,Valongo do Vouga,Valongo do Vouga,4877,43201100
PT16D,0101,010121,no,União das freguesias de Águeda e Borralha,União das freguesias de Águeda e Borralha,13576,36029300
PT16D,0101,010122,no,União das freguesias de Barrô e Aguada de Baixo,União das freguesias de Barrô e Aguada de Baixo,3209,10190100
PT16D,0101,010123,no,"União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão","União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão",1611,88090300
PT16D,0101,010124,no,União das freguesias de Recardães e Espinhel,União das freguesias de Recardães e Espinhel,6036,19917800
PT16D,0101,010125,no,União das freguesias de Travassô e Óis da Ribeira,União das freguesias de Travassô e Óis da Ribeira,2305,11121900
PT16D,0101,010126,no,"União das freguesias de Trofa, Segadães e Lamas do Vouga","União das freguesias de Trofa, Segadães e Lamas do Vouga",4630,16068100
PT16D,0101,010127,no,União das freguesias do Préstimo e Macieira de Alcoba,União das freguesias do Préstimo e Macieira de Alcoba,808,41726400
PT16D,0102,010202,no,Alquerubim,Alquerubim,2381,15358600
PT16D,0102,010203,no,Angeja,Angeja,2073,21251700
PT16D,0102,010204,no,Branca,Branca,5621,30288600
PT16D,0102,010206,no,Ribeira de Fráguas,Ribeira de Fráguas,1713,26745400
PT16D,0102,010209,no,Albergaria-a-Velha e Valmaior,Albergaria-a-Velha e Valmaior,10568,46996400
PT16D,0102,010210,no,São João de Loure e Frossos,São João de Loure e Frossos,2896,18184200
PT16D,0103,010304,no,Avelãs de Caminho,Avelãs de Caminho,1252,6448700
PT16D,0103,010305,no,Avelãs de Cima,Avelãs de Cima,2185,40578000
PT16D,0103,010307,no,Moita,Moita,2484,34176100
PT16D,0103,010309,no,Sangalhos,Sangalhos,4068,16904200
PT16D,0103,010310,no,São Lourenço do Bairro,São Lourenço do Bairro,2414,15383100
PT16D,0103,010312,no,Vila Nova de Monsarros,Vila Nova de Monsarros,1713,23720400
PT16D,0103,010313,no,Vilarinho do Bairro,Vilarinho do Bairro,2764,25563300
PT16D,0103,010316,no,"União das freguesias de Amoreira da Gândara, Paredes do Bairro e Ancas","União das freguesias de Amoreira da Gândara, Paredes do Bairro e Ancas",2675,22064200
