NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP,AREA
RO121,n.a.,1017,no,Municipiul Alba Iulia,Municipiul Alba Iulia,74233,102484303
RO121,n.a.,1071,no,Ciugud,Ciugud,2982,43899674
RO121,n.a.,1151,no,Oraş Abrud,Oras Abrud,5506,39531538
RO121,n.a.,1213,no,Municipiul Aiud,Municipiul Aiud,26296,138100490
RO121,n.a.,1348,no,Municipiul Blaj,Municipiul Blaj,20978,98878263
RO121,n.a.,1455,no,Oraş Câmpeni,Oras Campeni,7629,88088825
RO121,n.a.,1696,no,Oraş Cugir,Oras Cugir,26744,327296461
RO121,n.a.,1794,no,Oraş Ocna Mureş,Oras Ocna Mures,14634,67673917
RO121,n.a.,1874,no,Municipiul Sebeş,Municipiul Sebes,32531,113855665
RO121,n.a.,1936,no,Oraş Zlatna,Oras Zlatna,7972,266831397
RO121,n.a.,2130,no,Albac,Albac,2126,53381520
RO121,n.a.,2309,no,Almaşu Mare,Almasu Mare,1287,95959757
RO121,n.a.,2381,no,Arieşeni,Arieseni,1722,99532159
RO121,n.a.,2577,no,Avram Iancu,Avram Iancu,1560,96448225
RO121,n.a.,2915,no,Oraş Baia de Arieş,Oras Baia de Aries,4074,82145121
RO121,n.a.,2988,no,Berghin,Berghin,2055,75514090
RO121,n.a.,3039,no,Bistra,Bistra,4836,127111574
RO121,n.a.,3397,no,Blandiana,Blandiana,948,74482318
RO121,n.a.,3459,no,Bucium,Bucium,1530,84666681
RO121,n.a.,3761,no,Cenade,Cenade,982,44569439
RO121,n.a.,3805,no,Cergău,Cergau,1626,47835251
RO121,n.a.,3841,no,Ceru-Băcăinţi,Ceru-Bacainti,257,47218779
RO121,n.a.,3958,no,Cetatea de Baltă,Cetatea de Balta,3173,64545680
RO121,n.a.,4008,no,Ciuruleasa,Ciuruleasa,1198,55009220
RO121,n.a.,4106,no,Câlnic,Calnic,1880,44457435
RO121,n.a.,4142,no,Cricău,Cricau,2110,50630972
RO121,n.a.,4188,no,Crăciunelu de Jos,Craciunelu de Jos,2148,25224292
RO121,n.a.,4240,no,Daia Română,Daia Romana,3148,41365548
RO121,n.a.,4268,no,Doştat,Dostat,999,43049504
RO121,n.a.,4302,no,Fărău,Farau,1623,81878741
RO121,n.a.,4366,no,Galda de Jos,Galda de Jos,4408,101255763
RO121,n.a.,4482,no,Gârbova,Garbova,2117,57791011
RO121,n.a.,4525,no,Gârda de Sus,Garda de Sus,1695,78048116
RO121,n.a.,4703,no,Hopârta,Hoparta,1194,59472080
RO121,n.a.,4767,no,Horea,Horea,2102,58567040
RO121,n.a.,4927,no,Ighiu,Ighiu,6864,129515762
RO121,n.a.,4981,no,Întregalde,intregalde,625,81953551
RO121,n.a.,5103,no,Jidvei,Jidvei,5309,104393957
RO121,n.a.,5167,no,Livezile,Livezile,1271,69140121
RO121,n.a.,5210,no,Lopadea Nouă,Lopadea Noua,2716,92754008
RO121,n.a.,5309,no,Lunca Mureşului,Lunca Muresului,2550,31492685
RO121,n.a.,5336,no,Lupşa,Lupsa,3174,121403959
RO121,n.a.,5577,no,Meteş,Metes,2833,143569467
RO121,n.a.,5700,no,Mihalţ,Mihalt,3279,65142932
RO121,n.a.,5755,no,Mirăslău,Miraslau,2122,66655360
RO121,n.a.,5826,no,Mogoş,Mogos,812,102646262
RO121,n.a.,6048,no,Noşlac,Noslac,1816,51790257
RO121,n.a.,6119,no,Ocoliş,Ocolis,590,91954581
RO121,n.a.,6164,no,Ohaba,Ohaba,675,40128954
RO121,n.a.,6217,no,Pianu,Pianu,3611,122671464
RO121,n.a.,6271,no,Poiana Vadului,Poiana Vadului,1110,32400067
RO121,n.a.,6397,no,Ponor,Ponor,576,51286519
RO121,n.a.,6468,no,Poşaga,Posaga,1065,133689664
RO121,n.a.,6547,no,Rădeşti,Radesti,1327,33047098
RO121,n.a.,6592,no,Râmetea,Rametea,1051,56525469
RO121,n.a.,6627,no,Râmeţ,Ramet,542,82345158
RO121,n.a.,6761,no,Roşia Montană,Rosia Montana,2871,42740137
RO121,n.a.,6930,no,Roşia de Secaş,Rosia de Secas,1601,52335546
RO121,n.a.,6976,no,Sălciua,Salciua,1549,78986993
RO121,n.a.,7044,no,Săliştea,Salistea,2353,60122594
RO121,n.a.,7099,no,Săsciori,Sasciori,6415,117088601
RO121,n.a.,7197,no,Scărişoara,Scarisoara,1682,55622215
RO121,n.a.,7348,no,Sâncel,Sancel,2703,51980872
RO121,n.a.,7384,no,Sântimbru,Santimbru,3018,44854577
RO121,n.a.,7446,no,Sohodol,Sohodol,1797,50435938
RO121,n.a.,7767,no,Stremţ,Stremt,2479,68930046
RO121,n.a.,7810,no,Şibot,sibot,2463,44059698
RO121,n.a.,7865,no,Şona,sona,4433,105625624
RO121,n.a.,7945,no,Şpring,spring,2590,88026060
RO121,n.a.,8014,no,Şugag,sugag,2908,243570958
RO121,n.a.,8096,no,Oraş Teiuş,Oras Teius,7512,44070335
RO121,n.a.,8158,no,Unirea,Unirea,5068,98534159
RO121,n.a.,8229,no,Vadu Moţilor,Vadu Motilor,1375,28600906
RO121,n.a.,8354,no,Valea Lungă,Valea Lunga,3134,74707978
RO121,n.a.,8425,no,Vidra,Vidra,1658,60286828
RO121,n.a.,8826,no,Vinţu de Jos,Vintu de Jos,5472,88623543
RO121,n.a.,9019,no,Cut,Cut,1269,27435407
RO121,n.a.,9026,no,Bucerdea Grânoasă,Bucerdea Granoasa,2405,41799035
RO421,n.a.,9262,no,Municipiul Arad,Municipiul Arad,179045,239574922
RO421,n.a.,9280,no,Fântânele,Fantanele,3708,40460414
RO421,n.a.,9333,no,Livada,Livada,3471,20071392
RO421,n.a.,9360,no,Şofronea,Sofronea,2750,34890003
RO421,n.a.,9397,no,Vladimirescu,Vladimirescu,12970,122452256
RO421,n.a.,9459,no,Oraş Chişineu-Criş,Oras Chisineu-Cris,8434,117554026
RO421,n.a.,9495,no,Oraş Curtici,Oras Curtici,8683,72603994
RO421,n.a.,9538,no,Oraş Ineu,Oras Ineu,9579,116872932
RO421,n.a.,9574,no,Oraş Lipova,Oras Lipova,11396,134152522
RO421,n.a.,9627,no,Oraş Nădlac,Oras Nadlac,7997,132608787
RO421,n.a.,9654,no,Oraş Pâncota,Oras Pancota,8126,64534107
RO421,n.a.,9690,no,Oraş Sebiş,Oras Sebis,6436,67600530
RO421,n.a.,9743,no,Almaş,Almas,2619,81178117
RO421,n.a.,9798,no,Apateu,Apateu,3430,90656423
RO421,n.a.,9832,no,Archiş,Archis,1545,67667185
RO421,n.a.,9887,no,Bata,Bata,1057,78267806
RO421,n.a.,9930,no,Beliu,Beliu,3024,92631835
RO421,n.a.,10006,no,Birchis,Birchis,1886,103918647
RO421,n.a.,10051,no,Bârsa,Barsa,1833,50779121
RO421,n.a.,10104,no,Bârzava,Barzava,2542,256370334
RO421,n.a.,10195,no,Bocsig,Bocsig,3396,81395956
RO421,n.a.,10239,no,Brazii,Brazii,1226,118768192
RO421,n.a.,10293,no,Buteni,Buteni,3408,95759527
RO421,n.a.,10346,no,Cărand,Carand,1159,38201181
RO421,n.a.,10373,no,Cermei,Cermei,2740,115419826
RO421,n.a.,10417,no,Chisindia,Chisindia,1314,128697232
RO421,n.a.,10453,no,Conop,Conop,2279,191463287
RO421,n.a.,10514,no,Covăsinţ,Covasint,2702,37488027
RO421,n.a.,10532,no,Craiva,Craiva,2892,114681086
RO421,n.a.,10649,no,Dezna,Dezna,1206,83080086
RO421,n.a.,10701,no,Dieci,Dieci,1490,83727553
RO421,n.a.,10765,no,Ususau,Ususau,1419,135569606
RO421,n.a.,10827,no,Felnac,Felnac,3143,50009686
RO421,n.a.,10872,no,Ghioroc,Ghioroc,4084,48610122
RO421,n.a.,10916,no,Grăniceri,Graniceri,2543,78466647
RO421,n.a.,10943,no,Gurahonţ,Gurahont,3898,170810529
RO421,n.a.,11058,no,Hălmagiu,Halmagiu,2766,97069937
RO421,n.a.,11174,no,Hălmăgel,Halmagel,1226,83693510
RO421,n.a.,11236,no,Hăşmaş,Hasmas,1268,88353504
RO421,n.a.,11307,no,Igneşti,Ignesti,721,51693687
RO421,n.a.,11352,no,Iratoşu,Iratosu,2555,46411785
RO421,n.a.,11398,no,Macea,Macea,7161,72816149
