NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP,AREA
SE110,01,0114,no,Upplands Väsby,Upplands Väsby,42661,75010000
SE110,01,0115,no,Vallentuna,Vallentuna,32380,357740000
SE110,01,0117,no,Österåker,Österåker,42130,312370000
SE110,01,0120,no,Värmdö,Värmdö,41107,448120000
SE110,01,0123,no,Järfälla,Järfälla,72429,53790000
SE110,01,0125,no,Ekerö,Ekerö,26984,217460000
SE110,01,0126,no,Huddinge,Huddinge,105311,131030000
SE110,01,0127,no,Botkyrka,Botkyrka,89425,194150000
SE110,01,0128,no,Salem,Salem,16426,54110000
SE110,01,0136,no,Haninge,Haninge,83866,457850000
SE110,01,0138,no,Tyresö,Tyresö,46177,69230000
SE110,01,0139,no,Upplands-Bro,Upplands-Bro,25789,235290000
SE110,01,0140,no,Nykvarn,Nykvarn,10192,152740000
SE110,01,0160,no,Täby,Täby,68281,60690000
SE110,01,0162,no,Danderyd,Danderyd,32421,26400000
SE110,01,0163,no,Sollentuna,Sollentuna,70251,52620000
SE110,01,0180,no,Stockholm,Stockholm,923516,187160000
SE110,01,0181,no,Södertälje,Södertälje,93202,524860000
SE110,01,0182,no,Nacka,Nacka,97986,95120000
SE110,01,0183,no,Sundbyberg,Sundbyberg,46110,8690000
SE110,01,0184,no,Solna,Solna,76158,19290000
SE110,01,0186,no,Lidingö,Lidingö,46302,30800000
SE110,01,0187,no,Vaxholm,Vaxholm,11380,57840000
SE110,01,0188,no,Norrtälje,Norrtälje,58669,2015350000
SE110,01,0191,no,Sigtuna,Sigtuna,44786,327660000
SE110,01,0192,no,Nynäshamn,Nynäshamn,27500,358750000
SE121,03,0305,no,Håbo,Håbo,20279,143550000
SE121,03,0319,no,Älvkarleby,Älvkarleby,9293,215240000
SE121,03,0330,no,Knivsta,Knivsta,16869,282130000
SE121,03,0331,no,Heby,Heby,13594,1166900000
SE121,03,0360,no,Tierp,Tierp,20547,1546330000
SE121,03,0380,no,Uppsala,Uppsala,210126,2182410000
SE121,03,0381,no,Enköping,Enköping,41893,1178350000
SE121,03,0382,no,Östhammar,Östhammar,21563,1474610000
SE122,04,0428,no,Vingåker,Vingåker,8953,370320000
SE122,04,0461,no,Gnesta,Gnesta,10649,461110000
SE122,04,0480,no,Nyköping,Nyköping,54262,1420460000
SE122,04,0481,no,Oxelösund,Oxelösund,11701,35430000
SE122,04,0482,no,Flen,Flen,16440,718490000
SE122,04,0483,no,Katrineholm,Katrineholm,33462,1020160000
SE122,04,0484,no,Eskilstuna,Eskilstuna,102065,1099890000
SE122,04,0486,no,Strängnäs,Strängnäs,34102,739420000
SE122,04,0488,no,Trosa,Trosa,12078,209790000
SE123,05,0509,no,Ödeshög,Ödeshög,5236,433970000
SE123,05,0512,no,Ydre,Ydre,3658,675390000
SE123,05,0513,no,Kinda,Kinda,9795,1129400000
SE123,05,0560,no,Boxholm,Boxholm,5328,525740000
SE123,05,0561,no,Åtvidaberg,Åtvidaberg,11545,686600000
SE123,05,0562,no,Finspång,Finspång,21199,1055250000
SE123,05,0563,no,Valdemarsvik,Valdemarsvik,7747,733970000
SE123,05,0580,no,Linköping,Linköping,152966,1427720000
SE123,05,0581,no,Norrköping,Norrköping,137035,1495520000
SE123,05,0582,no,Söderköping,Söderköping,14240,674270000
SE123,05,0583,no,Motala,Motala,42903,982990000
SE123,05,0584,no,Vadstena,Vadstena,7407,191600000
SE123,05,0586,no,Mjölby,Mjölby,26602,547000000
SE211,06,0604,no,Aneby,Aneby,6537,517680000
SE211,06,0617,no,Gnosjö,Gnosjö,9514,420550000
SE211,06,0642,no,Mullsjö,Mullsjö,7157,200130000
SE211,06,0643,no,Habo,Habo,11314,328490000
SE211,06,0662,no,Gislaved,Gislaved,29272,1137070000
SE211,06,0665,no,Vaggeryd,Vaggeryd,13372,824880000
SE211,06,0680,no,Jönköping,Jönköping,133310,1480210000
SE211,06,0682,no,Nässjö,Nässjö,30451,930220000
SE211,06,0683,no,Värnamo,Värnamo,33473,1215820000
SE211,06,0684,no,Sävsjö,Sävsjö,11228,679300000
SE211,06,0685,no,Vetlanda,Vetlanda,26873,1500350000
SE211,06,0686,no,Eksjö,Eksjö,16790,799400000
SE211,06,0687,no,Tranås,Tranås,18546,402600000
SE212,07,0760,no,Uppvidinge,Uppvidinge,9319,1171880000
SE212,07,0761,no,Lessebo,Lessebo,8516,412540000
SE212,07,0763,no,Tingsryd,Tingsryd,12260,1044760000
SE212,07,0764,no,Alvesta,Alvesta,19581,974110000
SE212,07,0765,no,Älmhult,Älmhult,16168,890500000
SE212,07,0767,no,Markaryd,Markaryd,9779,517150000
SE212,07,0780,no,Växjö,Växjö,88108,1665450000
SE212,07,0781,no,Ljungby,Ljungby,27638,1747880000
SE213,08,0821,no,Högsby,Högsby,5857,751100000
SE213,08,0834,no,Torsås,Torsås,6943,468350000
SE213,08,0840,no,Mörbylånga,Mörbylånga,14669,667250000
SE213,08,0860,no,Hultsfred,Hultsfred,13919,1121500000
SE213,08,0861,no,Mönsterås,Mönsterås,13144,599410000
SE213,08,0862,no,Emmaboda,Emmaboda,9090,689540000
SE213,08,0880,no,Kalmar,Kalmar,65704,956620000
SE213,08,0881,no,Nybro,Nybro,19754,1171720000
SE213,08,0882,no,Oskarshamn,Oskarshamn,26450,1046660000
SE213,08,0883,no,Västervik,Västervik,36049,1874470000
SE213,08,0884,no,Vimmerby,Vimmerby,15419,1140220000
SE213,08,0885,no,Borgholm,Borgholm,10681,677840000
SE214,09,0980,no,Gotland,Gotland,57391,3134980000
SE221,10,1060,no,Olofström,Olofström,13170,389790000
SE221,10,1080,no,Karlskrona,Karlskrona,65380,1042050000
SE221,10,1081,no,Ronneby,Ronneby,28697,825290000
SE221,10,1082,no,Karlshamn,Karlshamn,31846,488680000
SE221,10,1083,no,Sölvesborg,Sölvesborg,17160,185310000
SE224,12,1214,no,Svalöv,Svalöv,13655,387180000
SE224,12,1230,no,Staffanstorp,Staffanstorp,23119,106780000
SE224,12,1231,no,Burlöv,Burlöv,17430,18900000
SE224,12,1233,no,Vellinge,Vellinge,34667,142660000
SE224,12,1256,no,Östra Göinge,Östra Göinge,14102,431840000
SE224,12,1257,no,Örkelljunga,Örkelljunga,9831,319500000
SE224,12,1260,no,Bjuv,Bjuv,14962,115310000
SE224,12,1261,no,Kävlinge,Kävlinge,30104,152540000
SE224,12,1262,no,Lomma,Lomma,23324,55510000
SE224,12,1263,no,Svedala,Svedala,20462,217910000
SE224,12,1264,no,Skurup,Skurup,15149,193510000
SE224,12,1265,no,Sjöbo,Sjöbo,18514,492010000
SE224,12,1266,no,Hörby,Hörby,15020,419370000
SE224,12,1267,no,Höör,Höör,15970,290550000
SE224,12,1270,no,Tomelilla,Tomelilla,13132,395930000
SE224,12,1272,no,Bromölla,Bromölla,12513,162490000
SE224,12,1273,no,Osby,Osby,12954,576380000
SE224,12,1275,no,Perstorp,Perstorp,7211,158770000
SE224,12,1276,no,Klippan,Klippan,16917,374320000
SE224,12,1277,no,Åstorp,Åstorp,15193,92350000
SE224,12,1278,no,Båstad,Båstad,14373,217130000
SE224,12,1280,no,Malmö,Malmö,322574,156600000
SE224,12,1281,no,Lund,Lund,116834,427070000
SE224,12,1282,no,Landskrona,Landskrona,43961,140260000
SE224,12,1283,no,Helsingborg,Helsingborg,137909,343890000
SE224,12,1284,no,Höganäs,Höganäs,25610,143500000
SE224,12,1285,no,Eslöv,Eslöv,32438,419020000
SE224,12,1286,no,Ystad,Ystad,28985,350000000
SE224,12,1287,no,Trelleborg,Trelleborg,43359,339800000
SE224,12,1290,no,Kristianstad,Kristianstad,82510,1245220000
SE224,12,1291,no,Simrishamn,Simrishamn,19065,392340000
SE224,12,1292,no,Ängelholm,Ängelholm,40732,419870000
SE224,12,1293,no,Hässleholm,Hässleholm,51048,1268970000
SE231,13,1315,no,Hylte,Hylte,10514,946530000
SE231,13,1380,no,Halmstad,Halmstad,96952,1013970000
SE231,13,1381,no,Laholm,Laholm,24195,882800000
SE231,13,1382,no,Falkenberg,Falkenberg,42949,1108530000
SE231,13,1383,no,Varberg,Varberg,61030,868620000
SE231,13,1384,no,Kungsbacka,Kungsbacka,79144,606600000
SE232,14,1401,no,Härryda,Härryda,36651,266700000
SE232,14,1402,no,Partille,Partille,36977,56800000
SE232,14,1407,no,Öckerö,Öckerö,12682,25750000
SE232,14,1415,no,Stenungsund,Stenungsund,25508,251870000
SE232,14,1419,no,Tjörn,Tjörn,15315,167360000
SE232,14,1421,no,Orust,Orust,15010,386490000
SE232,14,1427,no,Sotenäs,Sotenäs,9006,138200000
SE232,14,1430,no,Munkedal,Munkedal,10205,634020000
SE232,14,1435,no,Tanum,Tanum,12455,917210000
SE232,14,1438,no,Dals-Ed,Dals-Ed,4799,724310000
SE232,14,1439,no,Färgelanda,Färgelanda,6495,588980000
SE232,14,1440,no,Ale,Ale,28862,317010000
SE232,14,1441,no,Lerum,Lerum,40181,258550000
SE232,14,1442,no,Vårgårda,Vårgårda,11165,426580000
SE232,14,1443,no,Bollebygd,Bollebygd,8799,263160000
SE232,14,1444,no,Grästorp,Grästorp,5644,264640000
