NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP,AREA
SK032,606,511226,no,Ábelová,Ábelová,226,52170765
SK032,609,557757,no,Abovce,Abovce,624,8199569
SK021,202,503673,no,Abrahám,Abrahám,1031,15779514
SK041,701,519014,no,Abrahámovce,Abrahámovce,370,5899305
SK041,703,523399,no,Abrahámovce,Abrahámovce,262,6653165
SK031,509,512044,no,Abramová,Abramová,178,12635439
SK041,707,524158,no,Abranovce,Abranovce,655,9583406
SK022,309,505838,no,Adamovské Kochanovce,Adamovské Kochanovce,843,9662581
SK041,702,520012,no,Adidovce,Adidovce,211,20765157
SK023,403,500020,no,Alekšince,Alekšince,1678,15072464
SK023,404,503029,no,Andovce,Andovce,1418,10778309
SK041,701,519022,no,Andrejová,Andrejová,361,11662554
SK023,406,556220,no,Ardanovce,Ardanovce,212,6725756
SK042,808,525537,no,Ardovo,Ardovo,167,11207585
SK042,810,526363,no,Arnutovce,Arnutovce,769,2228054
SK023,403,500046,no,Báb,Báb,1085,20091033
SK041,713,544060,no,Babie,Babie,234,7998378
SK031,507,509558,no,Babín,Babín,1439,17393651
SK032,611,518166,no,Babiná,Babiná,536,22170021
SK023,403,581623,no,Babindol,Babindol,725,5413972
SK032,609,514489,no,Babinec,Babinec,71,4913094
SK032,603,508446,no,Bacúch,Bacúch,966,38190647
SK032,611,518174,no,Bacúrov,Bacúrov,160,9602420
SK021,201,501441,no,Báč,Báč,558,3923116
SK042,811,528102,no,Bačka,Bačka,638,9576699
SK042,811,528111,no,Bačkov,Bačkov,676,27675694
SK042,806,521141,no,Bačkovík,Bačkovík,538,4179772
SK032,602,516601,no,Baďan,Baďan,195,15091117
SK023,403,582697,no,Bádice,Bádice,321,4111735
SK032,601,508454,no,Badín,Badín,1936,34382468
SK010,107,507806,no,Báhoň,Báhoň,1794,10574864
SK042,807,522287,no,Bajany,Bajany,474,5545722
SK023,401,501034,no,Bajč,Bajč,1248,36475732
SK041,707,524174,no,Bajerov,Bajerov,449,6631992
SK041,708,524182,no,Bajerovce,Bajerovce,295,16112612
SK023,402,502049,no,Bajka,Bajka,319,5755095
SK023,404,503037,no,Bajtava,Bajtava,404,9329969
SK021,201,501450,no,Baka,Baka,1096,19989125
SK032,601,508471,no,Baláže,Baláže,211,14218587
SK041,704,526371,no,Baldovce,Baldovce,182,2204013
SK032,610,515868,no,Balog nad Ipľom,Balog nad Ipľom,837,8350666
SK021,201,501468,no,Baloň,Baloň,749,16073223
SK041,711,527114,no,Baňa,Baňa,172,1912484
SK021,204,581399,no,Banka,Banka,2127,8582677
SK023,404,503045,no,Bánov,Bánov,3726,19762698
SK022,301,542652,no,Bánovce nad Bebravou,Bánovce nad Bebravou,18823,26548124
SK042,807,522295,no,Bánovce nad Ondavou,Bánovce nad Ondavou,730,12235546
SK032,602,516627,no,Banská Belá,Banská Belá,1186,21075182
SK032,601,508438,no,Banská Bystrica,Banská Bystrica,78758,103376386
SK032,602,516643,no,Banská Štiavnica,Banská Štiavnica,10210,46736203
SK041,713,544078,no,Banské,Banské,1823,29861439
SK032,602,516651,no,Banský Studenec,Banský Studenec,457,19195693
SK042,811,528129,no,Bara,Bara,299,6252189
SK032,609,514501,no,Barca,Barca,566,11502513
SK041,701,519006,no,Bardejov,Bardejov,32912,72335257
SK023,404,503053,no,Bardoňovo,Bardoňovo,736,23810439
SK032,613,516660,no,Bartošova Lehôtka,Bartošova Lehôtka,371,8635884
SK041,701,519049,no,Bartošovce,Bartošovce,713,11231942
SK042,806,521159,no,Baška,Baška,581,4502714
SK041,702,520021,no,Baškovce,Baškovce,426,6629585
SK042,809,522309,no,Baškovce,Baškovce,248,6214218
SK021,204,558354,no,Bašovce,Bašovce,345,4044281
SK041,706,523402,no,Batizovce,Batizovce,2349,14380515
SK032,609,514519,no,Bátka,Bátka,900,12017790
SK032,610,515876,no,Bátorová,Bátorová,384,5942859
SK023,401,501395,no,Bátorove Kosihy,Bátorove Kosihy,3398,45885515
SK023,402,502057,no,Bátovce,Bátovce,1135,31627607
SK022,304,505846,no,Beckov,Beckov,1349,28628764
SK041,704,526380,no,Beharovce,Beharovce,160,2649380
SK041,701,519057,no,Becherov,Becherov,279,19093100
SK023,404,503061,no,Belá,Belá,344,8692344
SK031,511,517429,no,Belá,Belá,3374,38609908
SK041,709,520039,no,Belá nad Cirochou,Belá nad Cirochou,3361,17348273
SK023,407,500062,no,Beladice,Beladice,1610,22408290
SK031,506,512052,no,Belá-Dulice,Belá-Dulice,1268,51171997
SK041,712,527122,no,Belejovce,Belejovce,19,3083796
SK032,609,514535,no,Belín,Belín,194,4196168
SK032,606,511234,no,Belina,Belina,626,6483223
SK023,406,542661,no,Belince,Belince,318,2098415
SK021,201,555517,no,Bellova Ves,Bellova Ves,272,6929431
SK041,701,519065,no,Beloveža,Beloveža,804,10151551
SK032,602,516678,no,Beluj,Beluj,115,22813911
SK022,308,512851,no,Beluša,Beluša,5833,51330983
SK042,806,521167,no,Belža,Belža,411,5487975
SK031,505,510271,no,Beňadiková,Beňadiková,491,4974616
SK041,712,527131,no,Beňadikovce,Beňadikovce,213,12564448
SK031,507,509566,no,Beňadovo,Beňadovo,824,6699221
SK042,809,522317,no,Beňatina,Beňatina,191,18638432
SK042,806,521175,no,Beniakovce,Beniakovce,679,3805432
SK031,506,512061,no,Benice,Benice,355,2150764
SK041,713,544086,no,Benkovce,Benkovce,537,8239515
