NUTS3_13,NUTS3_10,LAU1_NAT_CODE_NEW,LAU1_NAT_CODE,LAU2_NAT_CODE_NEW,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP,AREA
UKC11,UKC11,E06000001,00EB,E05008942,00EBNM,no,Burn Valley,Burn Valley,8774,1467502
UKC11,UKC11,E06000001,00EB,E05008943,00EBNN,no,De Bruce,De Bruce,7932,4005266
UKC11,UKC11,E06000001,00EB,E05008944,00EBNP,no,Fens and Rossmere,Fens and Rossmere,8867,1868489
UKC11,UKC11,E06000001,00EB,E05008945,00EBNQ,no,Foggy Furze,Foggy Furze,8258,1849587
UKC11,UKC11,E06000001,00EB,E05008946,00EBNR,no,Hart,Hart,8242,12157805
UKC11,UKC11,E06000001,00EB,E05008947,00EBNS,no,Headland and Harbour,Headland and Harbour,7397,5488167
UKC11,UKC11,E06000001,00EB,E05008948,00EBNT,no,Jesmond,Jesmond,8080,1739699
UKC11,UKC11,E06000001,00EB,E05008949,00EBNU,no,Manor House,Manor House,9929,2713384
UKC11,UKC11,E06000001,00EB,E05008950,00EBNW,no,Rural West,Rural West,7098,47650433
UKC11,UKC11,E06000001,00EB,E05008951,00EBNX,no,Seaton,Seaton,8706,18099612
UKC11,UKC11,E06000001,00EB,E05008952,00EBNY,no,Victoria,Victoria,8745,1401741
UKC11,UKC11,E06000004,00EF,E05001527,00EFNH,no,Billingham Central,Billingham Central,7244,1575833
UKC11,UKC11,E06000004,00EF,E05001528,00EFNJ,no,Billingham East,Billingham East,7574,9548812
UKC11,UKC11,E06000004,00EF,E05001529,00EFNK,no,Billingham North,Billingham North,9141,1831495
UKC11,UKC11,E06000004,00EF,E05001530,00EFNL,no,Billingham South,Billingham South,6762,28362611
UKC11,UKC11,E06000004,00EF,E05001531,00EFNM,no,Billingham West,Billingham West,5444,2544959
UKC11,UKC11,E06000004,00EF,E05001532,00EFNN,no,Bishopsgarth and Elm Tree,Bishopsgarth and Elm Tree,6689,2965156
UKC11,UKC11,E06000004,00EF,E05001533,00EFNP,no,Eaglescliffe,Eaglescliffe,10449,23517867
UKC11,UKC11,E06000004,00EF,E05001534,00EFNQ,no,Fairfield,Fairfield,5736,1324895
UKC11,UKC11,E06000004,00EF,E05001535,00EFNR,no,Grangefield,Grangefield,6717,1916392
UKC11,UKC11,E06000004,00EF,E05001536,00EFNS,no,Hardwick and Salters Lane,Hardwick and Salters Lane,6881,2046801
UKC11,UKC11,E06000004,00EF,E05001537,00EFNT,no,Hartburn,Hartburn,6615,4006604
UKC11,UKC11,E06000004,00EF,E05001538,00EFNU,no,Ingleby Barwick East,Ingleby Barwick East,10165,13819593
UKC11,UKC11,E06000004,00EF,E05001539,00EFNW,no,Ingleby Barwick West,Ingleby Barwick West,10880,4065017
UKC11,UKC11,E06000004,00EF,E05001540,00EFNX,no,Mandale and Victoria,Mandale and Victoria,11260,4694193
UKC11,UKC11,E06000004,00EF,E05001541,00EFNY,no,Newtown,Newtown,7410,1844159
UKC11,UKC11,E06000004,00EF,E05001542,00EFNZ,no,Northern Parishes,Northern Parishes,3361,27415569
UKC11,UKC11,E06000004,00EF,E05001543,00EFPA,no,Norton North,Norton North,6700,1598155
UKC11,UKC11,E06000004,00EF,E05001544,00EFPB,no,Norton South,Norton South,7843,2606818
UKC11,UKC11,E06000004,00EF,E05001545,00EFPC,no,Norton West,Norton West,6286,2186479
UKC11,UKC11,E06000004,00EF,E05001546,00EFPD,no,Parkfield and Oxbridge,Parkfield and Oxbridge,7840,4526182
UKC11,UKC11,E06000004,00EF,E05001547,00EFPE,no,Roseworth,Roseworth,7500,1654691
UKC11,UKC11,E06000004,00EF,E05001548,00EFPF,no,Stainsby Hill,Stainsby Hill,6518,3016678
UKC11,UKC11,E06000004,00EF,E05001549,00EFPG,no,Stockton Town Centre,Stockton Town Centre,6512,4218821
UKC11,UKC11,E06000004,00EF,E05001550,00EFPH,no,Village,Village,6963,2288725
UKC11,UKC11,E06000004,00EF,E05001551,00EFPJ,no,Western Parishes,Western Parishes,3375,37961108
UKC11,UKC11,E06000004,00EF,E05001552,00EFPK,no,Yarm,Yarm,9745,18193211
UKC12,UKC12,E06000002,00EC,E05009853,00ECPC,07/05/2015,Acklam,Acklam,5676,1808288
UKC12,UKC12,E06000002,00EC,E05009854,00ECPD,07/05/2015,Ayresome,Ayresome,6072,1723938
UKC12,UKC12,E06000002,00EC,E05009855,00ECPE,07/05/2015,Berwick Hills & Pallister,Berwick Hills & Pallister,9368,2176752
UKC12,UKC12,E06000002,00EC,E05009856,00ECPF,07/05/2015,Brambles & Thorntree,Brambles & Thorntree,9051,2375372
UKC12,UKC12,E06000002,00EC,E05009857,00ECPG,07/05/2015,Central,Central,10897,6317047
UKC12,UKC12,E06000002,00EC,E05009858,00ECPH,07/05/2015,Coulby Newham,Coulby Newham,8967,3671090
