NAME_1,LAU1_NAT_CODE,POP,AREA,LAU2_NAT_CODE
Reykjavíkurborg,IS-1,121822,273,IS-0000
Kópavogsbær,IS-1,33205,80,IS-1000
Seltjarnarneskaupstaður,IS-1,4411,2,IS-1100
Garðabær,IS-1,14453,76,IS-1300
Hafnarfjarðarkaupstaður,IS-1,27875,143,IS-1400
Mosfellsbær,IS-1,9300,185,IS-1604
Kjósarhreppur,IS-1,216,284,IS-1606
Seyðisfjarðarkaupstaður,IS-7,653,213,IS-7000
Fjarðabyggð,IS-7,4747,1164,IS-7300
Vopnafjarðarhreppur,IS-7,674,1903,IS-7502
Fljótsdalshreppur,IS-7,75,1516,IS-7505
Borgarfjarðarhreppur,IS-7,135,441,IS-7509
Breiðdalshreppur,IS-7,186,452,IS-7613
Djúpavogshreppur,IS-7,422,1133,IS-7617
Fljótsdalshérað,IS-7,3454,8884,IS-7620
Sveitarfélagið Hornafjörður,IS-7,2150,6280,IS-7708
Akureyrarkaupstaður,IS-6,18191,138,IS-6000
Norðurþing,IS-6,2806,3729,IS-6100
Fjallabyggð,IS-6,2037,364,IS-6250
Dalvíkurbyggð,IS-6,1861,598,IS-6400
Eyjafjarðarsveit,IS-6,1032,1775,IS-6513
Hörgársveit,IS-6,567,893,IS-6515
Svalbarðsstrandarhreppur,IS-6,414,55,IS-6601
Grýtubakkahreppur,IS-6,364,432,IS-6602
Skútustaðahreppur,IS-6,395,6036,IS-6607
Tjörneshreppur,IS-6,59,199,IS-6611
Þingeyjarsveit,IS-6,920,5988,IS-6612
Svalbarðshreppur,IS-6,98,1155,IS-6706
Langanesbyggð,IS-6,513,1332,IS-6709
Sveitarfélagið Skagafjörður,IS-5,3910,4180,IS-5200
Húnaþing vestra,IS-5,1171,3019,IS-5508
Blönduósbær,IS-5,861,183,IS-5604
Sveitarfélagið Skagaströnd,IS-5,488,53,IS-5609
Skagabyggð,IS-5,99,489,IS-5611
Húnavatnshreppur,IS-5,414,3817,IS-5612
Akrahreppur,IS-5,194,1364,IS-5706
Reykjanesbær,IS-2,14924,145,IS-2000
Grindavíkurbær,IS-2,2995,425,IS-2300
Sandgerðisbær,IS-2,1580,62,IS-2503
Sveitarfélagið Garður,IS-2,1425,21,IS-2504
Sveitarfélagið Vogar,IS-2,1102,165,IS-2506
Vestmannaeyjabær,IS-8,4272,17,IS-8000
Sveitarfélagið Árborg,IS-8,8052,158,IS-8200
Mýrdalshreppur,IS-8,480,755,IS-8508
Skaftárhreppur,IS-8,460,6946,IS-8509
Ásahreppur,IS-8,216,2942,IS-8610
Rangárþing eystra,IS-8,1749,1841,IS-8613
Rangárþing ytra,IS-8,1548,3188,IS-8614
Hrunamannahreppur,IS-8,794,1375,IS-8710
Hveragerðisbær,IS-8,2384,9,IS-8716
Sveitarfélagið Ölfus,IS-8,1885,737,IS-8717
Grímsnes- og Grafningshreppur,IS-8,431,900,IS-8719
Skeiða- og Gnúpverjahreppur,IS-8,518,2231,IS-8720
Bláskógabyggð,IS-8,961,3300,IS-8721
Flóahreppur,IS-8,616,289,IS-8722
Akraneskaupstaður,IS-3,6767,9,IS-3000
Skorradalshreppur,IS-3,62,216,IS-3506
Hvalfjarðarsveit,IS-3,635,482,IS-3511
Borgarbyggð,IS-3,3539,4926,IS-3609
Grundarfjarðarbær,IS-3,900,148,IS-3709
Helgafellssveit,IS-3,53,243,IS-3710
Stykkishólmsbær,IS-3,1107,10,IS-3711
Eyja- og Miklaholtshreppur,IS-3,144,383,IS-3713
Snæfellsbær,IS-3,1679,684,IS-3714
Dalabyggð,IS-3,680,2421,IS-3811
Bolungarvíkurkaupstaður,IS-4,923,109,IS-4100
Ísafjarðarbær,IS-4,3629,2379,IS-4200
Reykhólahreppur,IS-4,268,1090,IS-4502
Tálknafjarðarhreppur,IS-4,305,176,IS-4604
Vesturbyggð,IS-4,1002,1339,IS-4607
Súðavíkurhreppur,IS-4,204,749,IS-4803
Árneshreppur,IS-4,54,707,IS-4901
Kaldrananeshreppur,IS-4,112,387,IS-4902
Strandabyggð,IS-4,473,1906,IS-4911
