LAU2_NAT_CODE,NAME_1,NUTS_3,POP,AREA
NO-0101,Halden,NO031,28092,642340
NO-0104,Moss,NO031,29073,63480
NO-0105,Sarpsborg,NO031,51053,405610
NO-0106,Fredrikstad,NO031,71976,288110
NO-0111,Hvaler,NO031,3961,89540
NO-0118,Aremark,NO031,1429,318930
NO-0119,Marker,NO031,3463,412910
NO-0121,Rømskog,NO031,649,183130
NO-0122,Trøgstad,NO031,5039,204490
NO-0123,Spydeberg,NO031,5073,141990
NO-0124,Askim,NO031,14472,69140
NO-0125,Eidsberg,NO031,10509,235910
NO-0127,Skiptvet,NO031,3525,101200
NO-0128,Rakkestad,NO031,7515,434710
NO-0135,Råde,NO031,6825,118570
NO-0136,Rygge,NO031,13914,74140
NO-0137,Våler,NO031,4268,256960
NO-0138,Hobøl,NO031,4622,140390
NO-0211,Vestby,NO012,13825,133930
NO-0213,Ski,NO012,27479,165540
NO-0214,Ås,NO012,15324,103120
NO-0215,Frogn,NO012,14245,85660
NO-0216,Nesodden,NO012,16868,61470
NO-0217,Oppegård,NO012,24201,37030
NO-0219,Bærum,NO012,108144,192310
NO-0220,Asker,NO012,52922,100710
NO-0221,Aurskog-Høland,NO012,13995,961650
NO-0226,Sørum,NO012,14279,206580
NO-0227,Fet,NO012,9963,176360
NO-0228,Rælingen,NO012,15112,71680
NO-0229,Enebakk,NO012,9893,232580
NO-0230,Lørenskog,NO012,31853,70530
NO-0231,Skedsmo,NO012,46146,77080
NO-0233,Nittedal,NO012,20256,186220
NO-0234,Gjerdrum,NO012,5464,83190
NO-0235,Ullensaker,NO012,26934,252460
NO-0236,Nes,NO012,18510,637340
NO-0237,Eidsvoll,NO012,19916,456600
NO-0238,Nannestad,NO012,10657,340990
NO-0239,Hurdal,NO012,2581,284950
NO-0301,Oslo,NO011,586860,453990
NO-0402,Kongsvinger,NO021,17361,1036140
NO-0403,Hamar,NO021,27976,350940
NO-0412,Ringsaker,NO021,32144,1281080
NO-0415,Løten,NO021,7251,369440
NO-0417,Stange,NO021,18821,724210
NO-0418,Nord-Odal,NO021,5091,508120
