NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP,AREA
EL513,0101,01010101,no,Δημοτική Κοινότητα Κομοτηνής,Municipal Commune of Komotini,54272,66855000
EL513,0101,01010102,no,Τοπική Κοινότητα Ανθοχωρίου,Local Commune of Anthochori,82,15207000
EL513,0101,01010103,no,Τοπική Κοινότητα Γρατίνης,Local Commune of Gratini,365,13879000
EL513,0101,01010104,no,Δημοτική Κοινότητα Θρυλορίου,Municipal Commune of Thrylorio,1910,26754000
EL513,0101,01010105,no,Τοπική Κοινότητα Ιτέας,Local Commune of Itea,77,4577000
EL513,0101,01010106,no,Τοπική Κοινότητα Κάλχαντος,Local Commune of Kalchas,1160,114992000
EL513,0101,01010107,no,Τοπική Κοινότητα Καρυδιάς,Local Commune of Karydia,357,9674000
EL513,0101,01010108,no,Τοπική Κοινότητα Κηκιδίου,Local Commune of Kikidio,610,3018000
EL513,0101,01010109,no,Τοπική Κοινότητα Κοσμίου,Local Commune of Kosmio,922,23031000
EL513,0101,01010110,no,Τοπική Κοινότητα Πανδρόσου,Local Commune of Pandrossos,394,86677000
EL513,0101,01010111,no,Τοπική Κοινότητα Σιδηράδων,Local Commune of Sidirades,199,14592000
EL513,0101,01010112,no,Τοπική Κοινότητα Στυλάριου,Local Commune of Stylario,300,6331000
EL513,0101,01010201,no,Τοπική Κοινότητα Αιγείρου,Local Commune of Aegiros,1207,29358000
EL513,0101,01010202,no,Τοπική Κοινότητα Αρωγής,Local Commune of Arogi,9,4100000
EL513,0101,01010203,no,Τοπική Κοινότητα Γλυφάδας,Local Commune of Glyfada,136,21857000
EL513,0101,01010204,no,Τοπική Κοινότητα Καλλίστης,Local Commune of Kallisti,122,4282000
EL513,0101,01010205,no,Τοπική Κοινότητα Μελέτης,Local Commune of Meleti,497,4785000
EL513,0101,01010206,no,Τοπική Κοινότητα Μέσης,Local Commune of Messi,183,11599000
EL513,0101,01010207,no,Τοπική Κοινότητα Νέας Καλλίστης,Local Commune of Nea Kallisti,391,15872000
EL513,0101,01010208,no,Τοπική Κοινότητα Παραλίας Μέσης,Local Commune of Paralia Messis,6,7923000
EL513,0101,01010209,no,Τοπική Κοινότητα Πόρπης,Local Commune of Porpi,452,25327000
EL513,0101,01010210,no,Τοπική Κοινότητα Φαναρίου,Local Commune of Fanari,490,13969000
EL513,0101,01010301,no,Τοπική Κοινότητα Νέου Σιδηροχωρίου,Local Commune of Neo Sidirochori,1327,48112000
EL513,0101,01010302,no,Τοπική Κοινότητα Αγίων Θεοδώρων,Local Commune of Aghii Theodori,491,12431000
EL513,0101,01010303,no,Τοπική Κοινότητα Μεγάλου Δουκάτου,Local Commune of Megalo Doukato,418,14060000
EL513,0101,01010304,no,Τοπική Κοινότητα Παγουρίων,Local Commune of Pagouria,542,47355000
EL513,0102,01020101,no,Τοπική Κοινότητα Φιλλύρας,Local Commune of Fillyra,909,9307000
EL513,0102,01020102,no,Τοπική Κοινότητα Άγρας,Local Commune of Agra,197,6613000
EL513,0102,01020103,no,Τοπική Κοινότητα Άνω Δροσίνης,Local Commune of Ano Drossini,106,9443000
EL513,0102,01020104,no,Τοπική Κοινότητα Αράτου,Local Commune of Aratos,1158,4234000
EL513,0102,01020105,no,Τοπική Κοινότητα Αρδείας,Local Commune of Ardia,27,7183000
EL513,0102,01020106,no,Τοπική Κοινότητα Αρχοντικών,Local Commune of Archontika,365,4518000
EL513,0102,01020107,no,Τοπική Κοινότητα Βραγιάς,Local Commune of Vragia,521,5010000
EL513,0102,01020108,no,Τοπική Κοινότητα Δοκού,Local Commune of Dokos,970,16579000
EL513,0102,01020109,no,Τοπική Κοινότητα Δροσιάς,Local Commune of Drossia,223,14388000
EL513,0102,01020110,no,Τοπική Κοινότητα Δρύμης,Local Commune of Drymi,302,24930000
EL513,0102,01020111,no,Τοπική Κοινότητα Εσοχής,Local Commune of Essochi,323,28120000
EL513,0102,01020112,no,Τοπική Κοινότητα Κάτω Δροσινής,Local Commune of Kato Drossini,66,4757000
