NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP,AREA
HU211,085,17376,no,Aba,Aba,4426,88010000
HU322,164,12441,no,Abádszalók,Abádszalók,4279,132180000
HU231,028,12548,no,Abaliget,Abaliget,650,16090000
HU312,106,24554,no,Abasár,Abasár,2538,20820000
HU311,057,15662,no,Abaújalpár,Abaújalpár,66,8480000
HU311,057,26718,no,Abaújkér,Abaújkér,631,17270000
HU311,067,02820,no,Abaújlak,Abaújlak,70,7060000
HU311,057,03595,no,Abaújszántó,Abaújszántó,3062,47390000
HU311,067,26338,no,Abaújszolnok,Abaújszolnok,183,8670000
HU311,057,02273,no,Abaújvár,Abaújvár,250,7350000
HU221,087,11882,no,Abda,Abda,3117,19030000
HU311,055,10357,no,Abod,Abod,231,31160000
HU102,124,27872,no,Abony,Abony,14563,127970000
HU213,189,04561,no,Ábrahámhegy,Ábrahámhegy,423,14880000
HU212,112,04428,no,Ács,Ács,6771,103920000
HU102,138,18573,no,Acsa,Acsa,1416,26940000
HU222,181,07214,no,Acsád,Acsád,651,14330000
HU221,086,33385,no,Acsalag,Acsalag,493,10430000
HU212,111,18139,no,Ácsteszér,Ácsteszér,696,17720000
HU312,106,23241,no,Adács,Adács,2642,37940000
HU232,146,06080,no,Ádánd,Ádánd,2125,29510000
HU213,187,07302,no,Adásztevel,Adásztevel,795,8370000
HU211,078,08925,no,Adony,Adony,3679,61030000
HU213,186,31307,no,Adorjánháza,Adorjánháza,362,11420000
HU231,030,06868,no,Adorjás,Adorjás,180,8100000
HU231,025,25812,no,Ág,Ág,189,12030000
HU331,038,17686,no,Ágasegyháza,Ágasegyháza,1894,55870000
HU221,091,04880,no,Ágfalva,Ágfalva,2147,13070000
HU311,063,09362,no,Aggtelek,Aggtelek,557,43810000
HU221,088,29407,no,Agyagosszergény,Agyagosszergény,936,19890000
HU323,153,08776,no,Ajak,Ajak,3730,24740000
HU213,183,06673,no,Ajka,Ajka,28487,95040000
HU212,111,06682,no,Aka,Aka,243,18090000
HU331,039,21944,no,Akasztó,Akasztó,3333,64880000
HU311,058,33093,no,Alacska,Alacska,778,8560000
HU211,084,26824,no,Alap,Alap,1907,48300000
HU322,161,25265,no,Alattyán,Alattyán,1989,34300000
HU102,124,31653,no,Albertirsa,Albertirsa,12212,72940000
HU211,077,15176,no,Alcsútdoboz,Alcsútdoboz,1452,50710000
HU312,105,06345,no,Aldebrő,Aldebrő,718,21780000
HU333,075,34245,no,Algyő,Algyő,5088,75770000
HU223,197,02644,no,Alibánfa,Alibánfa,394,5840000
HU231,033,13329,no,Almamellék,Almamellék,381,44320000
HU212,112,32346,no,Almásfüzitő,Almásfüzitő,2047,8180000
HU223,197,23384,no,Almásháza,Almásháza,70,4990000
HU332,049,29595,no,Almáskamarás,Almáskamarás,886,14710000
HU231,033,20376,no,Almáskeresztúr,Almáskeresztúr,81,13030000
HU321,101,27641,no,Álmosd,Álmosd,1653,34130000
HU311,065,20482,no,Alsóberecki,Alsóberecki,705,6860000
HU232,143,34184,no,Alsóbogát,Alsóbogát,239,12010000
