NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP,AREA
MT001,MT011,MT01101,no,Valletta,Citta' Umilissima,5744,840981
MT001,MT011,MT01103,no,Birgu,Citta' Vittoriosa,2506,524472
MT001,MT011,MT01104,no,L-Isla,Citta' Invicta,2739,159823
MT001,MT011,MT01105,no,Bormla,Citta' Cospicua,5238,907853
MT001,MT011,MT01108,no,Ħaż-Żabbar,Citta' Hompesch,14995,5349343
MT001,MT011,MT01117,no,Il-Fgura,Fgura,11715,1142706
MT001,MT011,MT01118,no,Il-Furjana,Floriana,2020,943432
MT001,MT011,MT01129,no,Il-Kalkara,Kalkara,2989,1758936
MT001,MT011,MT01133,no,Ħal Luqa,Luqa,5781,6724748
MT001,MT011,MT01134,no,Il-Marsa,Marsa,5417,2756263
MT001,MT011,MT01145,no,Paola,Paola,8267,2497489
MT001,MT011,MT01157,no,Santa Luċija,Santa Luċija,3004,722354
MT001,MT011,MT01162,no,Ħal Tarxien,Tarxien,8612,877011
MT001,MT011,MT01165,no,Ix-Xgħajra,Xgħajra,1653,965565
MT001,MT012,MT01206,no,Ħal Qormi,Citta' Pinto,16507,5029875
MT001,MT012,MT01214,no,Birkirkara,Birkirkara,22306,2742235
MT001,MT012,MT01221,no,Il-Gżira,Gżira,7666,972219
MT001,MT012,MT01227,no,Il-Ħamrun,Ħamrun,9057,1053754
MT001,MT012,MT01241,no,L-Imsida,Msida,8622,1699707
MT001,MT012,MT01246,no,Pembroke,Pembroke,3642,2302712
MT001,MT012,MT01247,no,Tal-Pieta',Pieta',4082,451660
MT001,MT012,MT01252,no,San Ġiljan,San Ġiljan,9151,1608904
MT001,MT012,MT01253,no,San Ġwann,San Ġwann,12563,2617466
MT001,MT012,MT01258,no,Santa Venera,Santa Venera,6993,905798
MT001,MT012,MT01259,no,Tas-Sliema,Sliema,15079,1295996
MT001,MT012,MT01260,no,Is-Swieqi,Swieqi,10244,3053000
MT001,MT012,MT01261,no,Ta' Xbiex,Ta' Xbiex,1599,291943
MT001,MT013,MT01310,no,Iż-Żejtun,Citta' Beland,11358,5367370
MT001,MT013,MT01315,no,Birżebbuġa,Birżebbuġa,12104,9214623
MT001,MT013,MT01320,no,Il-Gudja,Gudja,3085,2250139
MT001,MT013,MT01326,no,Ħal Għaxaq,Għaxaq,4701,3851221
MT001,MT013,MT01331,no,Ħal Kirkop,Kirkop,2345,1140803
MT001,MT013,MT01335,no,Marsaskala,Marsaskala,11807,5376186
MT001,MT013,MT01336,no,Marsaxlokk,Marsaxlokk,3462,4714331
MT001,MT013,MT01340,no,L-Imqabba,Mqabba,3305,2602727
MT001,MT013,MT01349,no,Il-Qrendi,Qrendi,2722,4904386
MT001,MT013,MT01351,no,Ħal Safi,Safi,2147,2283579
MT001,MT013,MT01367,no,Iż-Żurrieq,Żurrieq,10541,8456515
MT001,MT014,MT01402,no,L-Imdina,Citta' Notabile,236,885165
MT001,MT014,MT01407,no,Ħaż-Żebbuġ,Citta' Rohan,11755,8659844
MT001,MT014,MT01409,no,Is-Siġġiewi,Citta' Ferdinand,8425,19880617
MT001,MT014,MT01412,no,Ħ'Attard,Attard,10888,6638777
MT001,MT014,MT01413,no,Ħal Balzan,Balzan,4545,596924
MT001,MT014,MT01416,yes,Ħad-Dingli,Dingli,3642,5665595
MT001,MT014,MT01428,no,L-Iklin,Iklin,3243,1726336
MT001,MT014,MT01432,no,Ħal Lija,Lija,3106,1095424
MT001,MT014,MT01450,no,Ir-Rabat,Rabat (Malta),11308,26599210
MT001,MT014,MT01468,no,L-Imtarfa,Mtarfa,2612,724656
MT001,MT015,MT01524,no,Ħal Għargħur,Għargħur,2721,2015935
MT001,MT015,MT01537,no,Il-Mellieħa,Mellieħa,9031,22644390
MT001,MT015,MT01538,yes,L-Imġarr,Mġarr,3585,16120338
MT001,MT015,MT01539,no,Il-Mosta,Mosta,20038,6778015
MT001,MT015,MT01544,no,In-Naxxar,Naxxar,13534,11571380
MT001,MT015,MT01555,no,San Pawl Il-Baħar,San Pawl Il-Baħar,18001,14528091
MT002,MT026,MT02611,yes,"Ir-Rabat, Għawdex",Citta' Victoria,6298,2898555
MT002,MT026,MT02619,yes,Il-Fontana,Fontana,897,473702
MT002,MT026,MT02622,yes,Għajnsielem and Comino,Għajnsielem and Comino,2715,7176193
MT002,MT026,MT02623,no,L-Għarb,Għarb,1248,4633356
MT002,MT026,MT02625,no,L-Għasri,Għasri,429,5004763
MT002,MT026,MT02630,yes,Ta' Kerċem,Kerċem,1771,5494022
MT002,MT026,MT02642,yes,Il-Munxar,Munxar,1100,2823285
MT002,MT026,MT02643,yes,In-Nadur,Nadur,4021,7174466
MT002,MT026,MT02648,yes,Il-Qala,Qala,1857,5858314
MT002,MT026,MT02654,no,San Lawrenz,San Lawrenz,637,3572717
MT002,MT026,MT02656,yes,Ta' Sannat,Sannat,1886,3849186
MT002,MT026,MT02663,yes,Ix-Xagħra,Xagħra,4015,7624233
MT002,MT026,MT02664,yes,Ix-Xewkija,Xewkija,3180,4527101
MT002,MT026,MT02666,no,Iż-Żebbuġ,Żebbuġ (Gozo),1911,7557976
