NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP,AREA
SI043,01,001,no,Ajdovščina,Ajdovščina,19047,245233520
SI031,36,002,no,Beltinci,Beltinci,8261,62247680
SI042,44,003,no,Bled,Bled,8035,72288010
SI042,44,004,no,Bohinj,Bohinj,5139,333725360
SI041,60,005,no,Borovnica,Borovnica,4275,42316220
SI043,55,006,no,Bovec,Bovec,3124,367323940
SI043,37,007,no,Brda,Brda,5659,71966440
SI041,24,008,no,Brezovica,Brezovica,11974,91170750
SI036,02,009,no,Brežice,Brežice,24254,268112880
SI031,36,010,no,Tišina,Tišina,4039,38815020
SI034,03,011,no,Celje,Celje,49077,94904910
SI042,18,012,no,Cerklje na Gorenjskem,Cerklje na Gorenjskem,7506,78038570
SI038,04,013,no,Cerknica,Cerknica,11402,240950690
SI043,11,014,no,Cerkno,Cerkno,4644,131542790
SI031,22,015,no,Črenšovci,Črenšovci,4002,33692630
SI033,45,016,no,Črna na Koroškem,Črna na Koroškem,3337,155961130
SI037,05,017,no,Črnomelj,Črnomelj,14407,339659120
SI032,42,018,no,Destrnik,Destrnik,2539,34354150
SI044,48,019,no,Divača,Divača,3955,145045870
SI041,09,020,no,Dobrepolje,Dobrepolje,3898,103147950
SI041,24,021,no,Dobrova - Polhov Gradec,Dobrova - Polhov Gradec,7582,117479630
SI041,24,022,no,Dol pri Ljubljani,Dol pri Ljubljani,5934,33281400
SI041,06,023,no,Domžale,Domžale,35278,72297680
SI032,42,024,no,Dornava,Dornava,2882,28401060
SI033,07,025,no,Dravograd,Dravograd,8885,105000790
SI032,64,026,no,Duplek,Duplek,6726,39983390
SI042,53,027,no,Gorenja vas - Poljane,Gorenja vas - Poljane,7429,153251070
SI032,42,028,31/01/2015,Gorišnica,Gorišnica,3978,29100580
SI031,08,029,no,Gornja Radgona,Gornja Radgona,8467,74601930
SI034,35,030,no,Gornji Grad,Gornji Grad,2547,90095470
SI031,36,031,no,Gornji Petrovci,Gornji Petrovci,2057,66844050
SI041,09,032,no,Grosuplje,Grosuplje,20059,133794420
SI031,36,033,no,Šalovci,Šalovci,1437,58159920
SI035,10,034,no,Hrastnik,Hrastnik,9316,58576680
SI044,48,035,no,Hrpelje - Kozina,Hrpelje - Kozina,4366,194937440
SI043,11,036,no,Idrija,Idrija,11927,293633970
SI041,24,037,no,Ig,Ig,7163,98779020
SI038,12,038,no,Ilirska Bistrica,Ilirska Bistrica,13594,480011570
SI041,09,039,no,Ivančna Gorica,Ivančna Gorica,16182,227007470
SI044,13,040,no,Izola,Isola,15962,28561420
SI042,14,041,no,Jesenice,Jesenice,20858,75837940
SI032,42,042,no,Juršinci,Juršinci,2356,36256930
SI041,15,043,no,Kamnik,Kamnik,29362,265635090
SI043,37,044,no,Kanal,Kanal,5431,146531480
SI032,42,045,no,Kidričevo,Kidričevo,6449,71504680
SI043,55,046,no,Kobarid,Kobarid,4121,192626170
SI031,22,047,no,Kobilje,Kobilje,574,19735620
SI037,16,048,no,Kočevje,Kočevje,16005,555385710
SI044,48,049,no,Komen,Komen,3518,102717460
SI044,17,050,no,Koper,Capodistria,51045,303152510
SI034,54,051,no,Kozje,Kozje,3092,89689780
SI042,18,052,no,Kranj,Kranj,56115,150913280
SI042,14,053,no,Kranjska Gora,Kranjska Gora,5294,256312320
SI036,19,054,no,Krško,Krško,25884,286528770
SI032,65,055,no,Kungota,Kungota,4761,48986700
SI031,36,056,no,Kuzma,Kuzma,1582,22852030
SI034,20,057,no,Laško,Laško,13156,197460250
SI032,21,058,no,Lenart,Lenart,8275,62103410
SI031,22,059,no,Lendava,Lendva,10538,122940040
SI035,23,060,no,Litija,Litija,15099,221378900
SI041,24,061,no,Ljubljana,Ljubljana,288307,274986470
SI034,35,062,no,Ljubno,Ljubno,2604,78908330
SI031,29,063,no,Ljutomer,Ljutomer,11491,107235840
