a	b	c	d		e	f	g
/wiki/List_of_municipalities_in_Kastamonu_Province	Abana	1101	Abana	99901	/wiki/Kastamonu_Province	Kastamonu Province	TR821
/wiki/List_of_municipalities_in_Denizli_Province	Acıpayam	1102	Acıpayam	99902	/wiki/Denizli_Province	Denizli Province	TR322
/wiki/List_of_municipalities_in_Denizli_Province	Acıpayam	1102	Akalan	99903	/wiki/Denizli_Province	Denizli Province	TR322
/wiki/List_of_municipalities_in_Denizli_Province	Acıpayam	1102	Alaattin	99904	/wiki/Denizli_Province	Denizli Province	TR322
/wiki/List_of_municipalities_in_Denizli_Province	Acıpayam	1102	Darıveren	99905	/wiki/Denizli_Province	Denizli Province	TR322
/wiki/List_of_municipalities_in_Denizli_Province	Acıpayam	1102	Dedebağı	99906	/wiki/Denizli_Province	Denizli Province	TR322
/wiki/List_of_municipalities_in_Denizli_Province	Acıpayam	1102	Dodurgalar	99907	/wiki/Denizli_Province	Denizli Province	TR322
/wiki/List_of_municipalities_in_Denizli_Province	Acıpayam	1102	Gölcük	99908	/wiki/Denizli_Province	Denizli Province	TR322
/wiki/List_of_municipalities_in_Denizli_Province	Acıpayam	1102	Kelekçi	99909	/wiki/Denizli_Province	Denizli Province	TR322
/wiki/List_of_municipalities_in_Denizli_Province	Acıpayam	1102	Kumafşarı	99910	/wiki/Denizli_Province	Denizli Province	TR322
/wiki/List_of_municipalities_in_Denizli_Province	Acıpayam	1102	Yassıhüyük	99911	/wiki/Denizli_Province	Denizli Province	TR322
/wiki/List_of_municipalities_in_Denizli_Province	Acıpayam	1102	Yazır	99912	/wiki/Denizli_Province	Denizli Province	TR322
/wiki/List_of_municipalities_in_Denizli_Province	Acıpayam	1102	Yeşildere	99913	/wiki/Denizli_Province	Denizli Province	TR322
/wiki/List_of_municipalities_in_Denizli_Province	Acıpayam	1102	Yeşilyuva	99914	/wiki/Denizli_Province	Denizli Province	TR322
/wiki/List_of_municipalities_in_Denizli_Province	Acıpayam	1102	Yumrutaş	99915	/wiki/Denizli_Province	Denizli Province	TR322
/wiki/List_of_municipalities_in_%C4%B0stanbul_Province	Adalar	1103	Adalar	99916	/wiki/%C4%B0stanbul_Province	İstanbul Province	TR100
/wiki/List_of_municipalities_in_Bitlis_Province	Adilcevaz	1106	Adilcevaz	99917	/wiki/Bitlis_Province	Bitlis Province	TRB23
/wiki/List_of_municipalities_in_Bitlis_Province	Adilcevaz	1106	Aydınlar	99918	/wiki/Bitlis_Province	Bitlis Province	TRB23
/wiki/List_of_municipalities_in_Kahramanmara%C5%9F_Province	Afşin	1107	Alemdar	99919	/wiki/Kahramanmara%C5%9F_Province	Kahramanmaraş Province	TR632
/wiki/List_of_municipalities_in_Kahramanmara%C5%9F_Province	Afşin	1107	Altınelma	99920	/wiki/Kahramanmara%C5%9F_Province	Kahramanmaraş Province	TR632
/wiki/List_of_municipalities_in_Kahramanmara%C5%9F_Province	Afşin	1107	Arıtaş	99921	/wiki/Kahramanmara%C5%9F_Province	Kahramanmaraş Province	TR632
/wiki/List_of_municipalities_in_Kahramanmara%C5%9F_Province	Afşin	1107	Bakraç	99922	/wiki/Kahramanmara%C5%9F_Province	Kahramanmaraş Province	TR632
/wiki/List_of_municipalities_in_Kahramanmara%C5%9F_Province	Afşin	1107	Büyüktatlı	99923	/wiki/Kahramanmara%C5%9F_Province	Kahramanmaraş Province	TR632
/wiki/List_of_municipalities_in_Kahramanmara%C5%9F_Province	Afşin	1107	Çobanbeyli	99924	/wiki/Kahramanmara%C5%9F_Province	Kahramanmaraş Province	TR632
/wiki/List_of_municipalities_in_Kahramanmara%C5%9F_Province	Afşin	1107	Çoğulhan	99925	/wiki/Kahramanmara%C5%9F_Province	Kahramanmaraş Province	TR632
/wiki/List_of_municipalities_in_Kahramanmara%C5%9F_Province	Afşin	1107	Dağlıca	99926	/wiki/Kahramanmara%C5%9F_Province	Kahramanmaraş Province	TR632
/wiki/List_of_municipalities_in_Kahramanmara%C5%9F_Province	Afşin	1107	Esence	99927	/wiki/Kahramanmara%C5%9F_Province	Kahramanmaraş Province	TR632
/wiki/List_of_municipalities_in_Kahramanmara%C5%9F_Province	Afşin	1107	Tanır	99928	/wiki/Kahramanmara%C5%9F_Province	Kahramanmaraş Province	TR632
/wiki/List_of_municipalities_in_Burdur_Province	Ağlasun	1109	Ağlasun	99929	/wiki/Burdur_Province	Burdur Province	TR613
/wiki/List_of_municipalities_in_Burdur_Province	Ağlasun	1109	Çanaklı	99930	/wiki/Burdur_Province	Burdur Province	TR613
/wiki/List_of_municipalities_in_Burdur_Province	Ağlasun	1109	Yeşilbaşköy	99931	/wiki/Burdur_Province	Burdur Province	TR613
/wiki/List_of_municipalities_in_Elaz%C4%B1%C4%9F_Province	Ağın	1110	Ağın	99932	/wiki/Elaz%C4%B1%C4%9F_Province	Elazığ Province	TRB12
/wiki/List_of_municipalities_in_Bitlis_Province	Ahlat	1112	Ahlat	99933	/wiki/Bitlis_Province	Bitlis Province	TRB23
/wiki/List_of_municipalities_in_Bitlis_Province	Ahlat	1112	Ovakışla	99934	/wiki/Bitlis_Province	Bitlis Province	TRB23
/wiki/List_of_municipalities_in_Trabzon_Province	Akçaabat	1113	Adacık	99935	/wiki/Trabzon_Province	Trabzon Province	TR901
/wiki/List_of_municipalities_in_Trabzon_Province	Akçaabat	1113	Akçaabat	99936	/wiki/Trabzon_Province	Trabzon Province	TR901
/wiki/List_of_municipalities_in_Trabzon_Province	Akçaabat	1113	Akçakale	99937	/wiki/Trabzon_Province	Trabzon Province	TR901
/wiki/List_of_municipalities_in_Trabzon_Province	Akçaabat	1113	Akçaköy	99938	/wiki/Trabzon_Province	Trabzon Province	TR901
/wiki/List_of_municipalities_in_Trabzon_Province	Akçaabat	1113	Akpınar	99939	/wiki/Trabzon_Province	Trabzon Province	TR901
/wiki/List_of_municipalities_in_Trabzon_Province	Akçaabat	1113	Darıca	99940	/wiki/Trabzon_Province	Trabzon Province	TR901
/wiki/List_of_municipalities_in_Trabzon_Province	Akçaabat	1113	Derecik	99941	/wiki/Trabzon_Province	Trabzon Province	TR901
/wiki/List_of_municipalities_in_Trabzon_Province	Akçaabat	1113	Doğanköy	99942	/wiki/Trabzon_Province	Trabzon Province	TR901
/wiki/List_of_municipalities_in_Trabzon_Province	Akçaabat	1113	Dörtyol	99943	/wiki/Trabzon_Province	Trabzon Province	TR901
/wiki/List_of_municipalities_in_Trabzon_Province	Akçaabat	1113	Işıklar	99944	/wiki/Trabzon_Province	Trabzon Province	TR901
/wiki/List_of_municipalities_in_Trabzon_Province	Akçaabat	1113	Kavaklı	99945	/wiki/Trabzon_Province	Trabzon Province	TR901
/wiki/List_of_municipalities_in_Trabzon_Province	Akçaabat	1113	Mersin	99946	/wiki/Trabzon_Province	Trabzon Province	TR901
/wiki/List_of_municipalities_in_Trabzon_Province	Akçaabat	1113	Söğütlü	99947	/wiki/Trabzon_Province	Trabzon Province	TR901
/wiki/List_of_municipalities_in_Trabzon_Province	Akçaabat	1113	Şinik	99948	/wiki/Trabzon_Province	Trabzon Province	TR901
/wiki/List_of_municipalities_in_Trabzon_Province	Akçaabat	1113	Yıldızlı	99949	/wiki/Trabzon_Province	Trabzon Province	TR901
/wiki/List_of_municipalities_in_Malatya_Province	Akçadağ	1114	Akçadağ	99950	/wiki/Malatya_Province	Malatya Province	TRB11
/wiki/List_of_municipalities_in_Malatya_Province	Akçadağ	1114	Bahri	99951	/wiki/Malatya_Province	Malatya Province	TRB11
/wiki/List_of_municipalities_in_Malatya_Province	Akçadağ	1114	Kozluca	99952	/wiki/Malatya_Province	Malatya Province	TRB11
/wiki/List_of_municipalities_in_Malatya_Province	Akçadağ	1114	Ören	99953	/wiki/Malatya_Province	Malatya Province	TRB11
/wiki/List_of_municipalities_in_%C5%9Eanl%C4%B1urfa_Province	Akçakale	1115	Akçakale	99954	/wiki/%C5%9Eanl%C4%B1urfa_Province	Şanlıurfa Province	TRC21
/wiki/List_of_municipalities_in_%C5%9Eanl%C4%B1urfa_Province	Akçakale	1115	Pekmezli	99955	/wiki/%C5%9Eanl%C4%B1urfa_Province	Şanlıurfa Province	TRC21
/wiki/List_of_municipalities_in_D%C3%BCzce_Province	Akçakoca	1116	Akçakoca	99956	/wiki/D%C3%BCzce_Province	Düzce Province	TR423
/wiki/List_of_municipalities_in_Yozgat_Province	Akdağmadeni	1117	Akdağmadeni	99957	/wiki/Yozgat_Province	Yozgat Province	TR723
/wiki/List_of_municipalities_in_Yozgat_Province	Akdağmadeni	1117	Belekçehan	99958	/wiki/Yozgat_Province	Yozgat Province	TR723
/wiki/List_of_municipalities_in_Yozgat_Province	Akdağmadeni	1117	Oluközü	99959	/wiki/Yozgat_Province	Yozgat Province	TR723
/wiki/List_of_municipalities_in_Yozgat_Province	Akdağmadeni	1117	Umutlu	99960	/wiki/Yozgat_Province	Yozgat Province	TR723
/wiki/List_of_municipalities_in_Manisa_Province	Akhisar	1118	Akhisar	99961	/wiki/Manisa_Province	Manisa Province	TR331
/wiki/List_of_municipalities_in_Manisa_Province	Akhisar	1118	Akselendi	99962	/wiki/Manisa_Province	Manisa Province	TR331
/wiki/List_of_municipalities_in_Manisa_Province	Akhisar	1118	Ballıca	99963	/wiki/Manisa_Province	Manisa Province	TR331
/wiki/List_of_municipalities_in_Manisa_Province	Akhisar	1118	Beyoba	99964	/wiki/Manisa_Province	Manisa Province	TR331
/wiki/List_of_municipalities_in_Manisa_Province	Akhisar	1118	Dağdere	99965	/wiki/Manisa_Province	Manisa Province	TR331
/wiki/List_of_municipalities_in_Manisa_Province	Akhisar	1118	Kayalıoğlu	99966	/wiki/Manisa_Province	Manisa Province	TR331
/wiki/List_of_municipalities_in_Manisa_Province	Akhisar	1118	Mecidiye	99967	/wiki/Manisa_Province	Manisa Province	TR331
/wiki/List_of_municipalities_in_Manisa_Province	Akhisar	1118	Medar	99968	/wiki/Manisa_Province	Manisa Province	TR331
/wiki/List_of_municipalities_in_Manisa_Province	Akhisar	1118	Süleymanlı	99969	/wiki/Manisa_Province	Manisa Province	TR331
/wiki/List_of_municipalities_in_Ordu_Province	Akkuş	1119	Akkuş	99970	/wiki/Ordu_Province	Ordu Province	TR902
/wiki/List_of_municipalities_in_Ordu_Province	Akkuş	1119	Akpınar	99971	/wiki/Ordu_Province	Ordu Province	TR902
/wiki/List_of_municipalities_in_Ordu_Province	Akkuş	1119	Çayıralan	99972	/wiki/Ordu_Province	Ordu Province	TR902
/wiki/List_of_municipalities_in_Ordu_Province	Akkuş	1119	Kızılelma	99973	/wiki/Ordu_Province	Ordu Province	TR902
/wiki/List_of_municipalities_in_Ordu_Province	Akkuş	1119	Salman	99974	/wiki/Ordu_Province	Ordu Province	TR902
/wiki/List_of_municipalities_in_Ordu_Province	Akkuş	1119	Seferli	99975	/wiki/Ordu_Province	Ordu Province	TR902
/wiki/List_of_municipalities_in_Antalya_Province	Akseki	1121	Akseki	99976	/wiki/Antalya_Province	Antalya Province	TR611
/wiki/List_of_municipalities_in_Antalya_Province	Akseki	1121	Bademli	99977	/wiki/Antalya_Province	Antalya Province	TR611
/wiki/List_of_municipalities_in_Antalya_Province	Akseki	1121	Cevizli	99978	/wiki/Antalya_Province	Antalya Province	TR611
/wiki/List_of_municipalities_in_Antalya_Province	Akseki	1121	Güçlüköy	99979	/wiki/Antalya_Province	Antalya Province	TR611
/wiki/List_of_municipalities_in_Antalya_Province	Akseki	1121	Kuyucak	99980	/wiki/Antalya_Province	Antalya Province	TR611
/wiki/List_of_municipalities_in_Antalya_Province	Akseki	1121	Süleymaniye	99981	/wiki/Antalya_Province	Antalya Province	TR611
/wiki/List_of_municipalities_in_Antalya_Province	Akseki	1121	Yarpuz	99982	/wiki/Antalya_Province	Antalya Province	TR611
/wiki/List_of_municipalities_in_Konya_Province	Akşehir	1122	Adsız	99983	/wiki/Konya_Province	Konya Province	TR521
/wiki/List_of_municipalities_in_Konya_Province	Akşehir	1122	Altuntaş	99984	/wiki/Konya_Province	Konya Province	TR521
/wiki/List_of_municipalities_in_Konya_Province	Akşehir	1122	Atakent	99985	/wiki/Konya_Province	Konya Province	TR521
/wiki/List_of_municipalities_in_Konya_Province	Akşehir	1122	Çakıllar	99986	/wiki/Konya_Province	Konya Province	TR521
/wiki/List_of_municipalities_in_Konya_Province	Akşehir	1122	Doğrugöz	99987	/wiki/Konya_Province	Konya Province	TR521
/wiki/List_of_municipalities_in_Konya_Province	Akşehir	1122	Engili	99988	/wiki/Konya_Province	Konya Province	TR521
/wiki/List_of_municipalities_in_Konya_Province	Akşehir	1122	Gölçayır	99989	/wiki/Konya_Province	Konya Province	TR521
/wiki/List_of_municipalities_in_Konya_Province	Akşehir	1122	Karahüyük	99990	/wiki/Konya_Province	Konya Province	TR521
/wiki/List_of_municipalities_in_Konya_Province	Akşehir	1122	Ortaköy	99991	/wiki/Konya_Province	Konya Province	TR521
/wiki/List_of_municipalities_in_Konya_Province	Akşehir	1122	Reis	99992	/wiki/Konya_Province	Konya Province	TR521
/wiki/List_of_municipalities_in_Konya_Province	Akşehir	1122	Yazla	99993	/wiki/Konya_Province	Konya Province	TR521
/wiki/List_of_municipalities_in_Sakarya_Province	Akyazı	1123	Akyazı	99994	/wiki/Sakarya_Province	Sakarya Province	TR422
/wiki/List_of_municipalities_in_Sakarya_Province	Akyazı	1123	Altındere	99995	/wiki/Sakarya_Province	Sakarya Province	TR422
/wiki/List_of_municipalities_in_Sakarya_Province	Akyazı	1123	Dokurcun	99996	/wiki/Sakarya_Province	Sakarya Province	TR422
/wiki/List_of_municipalities_in_Sakarya_Province	Akyazı	1123	Gücücek	99997	/wiki/Sakarya_Province	Sakarya Province	TR422
/wiki/List_of_municipalities_in_Sakarya_Province	Akyazı	1123	Kuzuluk	99998	/wiki/Sakarya_Province	Sakarya Province	TR422
/wiki/List_of_municipalities_in_%C3%87orum_Province	Alaca	1124	Alaca	99999	/wiki/%C3%87orum_Province	Çorum Province	TR833
/wiki/List_of_municipalities_in_%C3%87orum_Province	Alaca	1124	Alacahöyük	100000	/wiki/%C3%87orum_Province	Çorum Province	TR833
/wiki/List_of_municipalities_in_%C3%87orum_Province	Alaca	1124	Büyükhırka	100001	/wiki/%C3%87orum_Province	Çorum Province	TR833
/wiki/List_of_municipalities_in_%C3%87orum_Province	Alaca	1124	Çopraşık	100002	/wiki/%C3%87orum_Province	Çorum Province	TR833
/wiki/List_of_municipalities_in_Samsun_Province	Alaçam	1125	Alaçam	100003	/wiki/Samsun_Province	Samsun Province	TR831
