Type,Scope,Prefix,Tag,Subtag,Suppress-Script,Description,Macrolanguage,Added,Deprecated,Preferred-Value,Comments
language,,,,aa,,Afar,,10/16/2005,,,
language,,,,ab,Cyrl,Abkhazian,,10/16/2005,,,
language,,,,ae,,Avestan,,10/16/2005,,,
language,,,,af,Latn,Afrikaans,,10/16/2005,,,
language,macrolanguage,,,ak,,Akan,,10/16/2005,,,
language,,,,am,Ethi,Amharic,,10/16/2005,,,
language,,,,an,,Aragonese,,10/16/2005,,,
language,macrolanguage,,,ar,Arab,Arabic,,10/16/2005,,,
language,,,,as,Beng,Assamese,,10/16/2005,,,
language,,,,av,,Avaric,,10/16/2005,,,
language,macrolanguage,,,ay,Latn,Aymara,,10/16/2005,,,
language,macrolanguage,,,az,,Azerbaijani,,10/16/2005,,,
language,,,,ba,,Bashkir,,10/16/2005,,,
language,,,,be,Cyrl,Belarusian,,10/16/2005,,,
language,,,,bg,Cyrl,Bulgarian,,10/16/2005,,,
language,collection,,,bh,,Bihari languages,,10/16/2005,,,
language,,,,bi,,Bislama,,10/16/2005,,,
language,,,,bm,,Bambara,,10/16/2005,,,
language,,,,bn,Beng,"Bengali, Bangla",,10/16/2005,,,
language,,,,bo,,Tibetan,,10/16/2005,,,
language,,,,br,,Breton,,10/16/2005,,,
language,,,,bs,Latn,Bosnian,sh,10/16/2005,,,
language,,,,ca,Latn,"Catalan, Valencian",,10/16/2005,,,
language,,,,ce,,Chechen,,10/16/2005,,,
language,,,,ch,Latn,Chamorro,,10/16/2005,,,
language,,,,co,,Corsican,,10/16/2005,,,
language,macrolanguage,,,cr,,Cree,,10/16/2005,,,
language,,,,cs,Latn,Czech,,10/16/2005,,,
language,,,,cu,,"Church Slavic, Church Slavonic, Old Bulgarian, Old Church Slavonic, Old Slavonic",,10/16/2005,,,
language,,,,cv,,Chuvash,,10/16/2005,,,
language,,,,cy,Latn,Welsh,,10/16/2005,,,
language,,,,da,Latn,Danish,,10/16/2005,,,
