Jurisd,Local name,Lang,English Name,Count,Register,Notation,Code,Parent code,,,,
AL,Limited-Liability Company,,,37310,,,,,,,,
AL,Joint-Stock Company,,,1434,,,,,,,,
AL,Unlimited Partnership,,,452,,,,,,,,
AL,Branch Foreign Company,,,418,,,,,,,,
AL,Credit or Union Company,,,138,,,,,,,,
AL,Representative Office,,,136,,,,,,,,
AL,Perfaqesues Tatimor,,,135,,,,,,,,
AL,Limited Partnership,,,134,,,,,,,,
AL,Simple Partnership,,,30,,,,,,,,
AL,Mutual Aid and Cooperation Company,,,15,,,,,,,,
AL,Shoqeri e Bashkepunimit Bujqesor,,,11,,,,,,,,
BE,Société privée à responsabilité limitée,,,414555,,,,,,,,
BE,Association sans but lucratif,,,148889,,,,,,,,
BE,Société anonyme,,,120445,,,,,,,,
BE,Association des copropriétaires,,,77191,,,,,,,,
BE,Entreprise étrangère,,,53920,,,,,,,,
BE,Société civile sous forme de société privée à responsabilité limitée,,,38202,,,,,,,,
BE,Société en commandite simple,,,36921,,,,,,,,
BE,Société privée à responsabilité limitée unipersonnelle,,,32100,,,,,,,,
BE,Société en nom collectif,,,22555,,,,,,,,
BE,Société coopérative (ancien statut),,,18568,,,,,,,,
BE,Société ou association sans personnalité juridique,,,16451,,,,,,,,
BE,Société étrangère sans établissement belge avec représentant responsable TVA,,,15814,,,,,,,,
BE,Société coopérative à responsabilité limitée,,,12219,,,,,,,,
BE,Société coopérative à responsabilité illimitée,,,7182,,,,,,,,
BE,Etablissement public,,,5527,,,,,,,,
BE,Unité TVA,,,5510,,,,,,,,
BE,Société étrangère avec un bien immobilier en Belgique (avec personnalité juridique),,,4544,,,,,,,,
BE,Société en commandite par actions,,,2501,,,,,,,,
BE,Société civile sous forme de société en commandite simple,,,2444,,,,,,,,
BE,Société agricole,,,2431,,,,,,,,
BE,Association internationale sans but lucratif,,,2044,,,,,,,,
BE,Union professionnelle,,,1843,,,,,,,,
BE,Mutualité / Société Mutualiste / Union nationale de mutualités,,,1753,,,,,,,,
BE,Société civile sous forme de société anonyme,,,1449,,,,,,,,
BE,Fondation privée,,,1341,,,,,,,,
BE,Société civile sous forme de société coopérative à responsabilité limitée,,,1216,,,,,,,,
BE,Forme juridique inconnue (ONSS),,,1126,,,,,,,,
BE,Organisation scientifique internationale de droit belge,,,979,,,,,,,,
BE,Société civile sous forme de société en nom collectif,,,879,,,,,,,,
BE,Société coopérative à responsabilité limitée à finalité sociale,,,690,,,,,,,,
BE,Centre public d'action sociale,,,598,,,,,,,,
BE,Ville / commune,,,594,,,,,,,,
BE,Etablissement d'utilité publique,,,446,,,,,,,,
BE,Groupement d'intérêt économique,,,414,,,,,,,,
BE,Autre forme juridique,,,362,,,,,,,,
BE,Association momentanée,,,355,,,,,,,,
BE,"Associations étrangères privées avec établissement, agence, bureau, succursale en Belgique",,,352,,,,,,,,
BE,Polder / wateringue,,,337,,,,,,,,
BE,Groupement européen d'intérêt économique,,,333,,,,,,,,
BE,Société étrangère avec un bien immobilier en Belgique (sans personnalité juridique),,,298,,,,,,,,
BE,Fondation d'utilité publique,,,293,,,,,,,,
BE,Autre forme de droit privé avec personnalité juridique,,,289,,,,,,,,
BE,Régie communale autonome,,,265,,,,,,,,
BE,Société étrangère sans établissement belge cotée en bourse,,,206,,,,,,,,
BE,Zone de police locale,,,203,,,,,,,,
BE,Organisme de financement de pensions,,,200,,,,,,,,
BE,Organismes immatriculés pour l'O.N.P.,,,179,,,,,,,,
BE,Société civile sous forme de société en commandite par actions,,,166,,,,,,,,
BE,Société civile sous forme de société coopérative à responsabilité illimitée,,,158,,,,,,,,
BE,Organisme public étranger ou international,,,153,,,,,,,,
BE,Société privée à responsabilité limitée à finalité sociale,,,116,,,,,,,,
BE,Ministère de l'Intérieur,,,108,,,,,,,,
BE,Association de CPAS,,,104,,,,,,,,
